,Scn11a_Scn9a,Scn11a_Scn7a_Scn9a,Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn7a,Scn10a_Scn11a_Scn7a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a,Scn10a_Scn7a,Scn10a_Scn11a,Scn7a,Scn10a
Nlgn1,3.3051628317609527,3.3689212275469345,2.258614584391421,2.4408816015023778,1.3900916473519156,1.1072017563446679,0.2546402265598929,2.321979550226478,1.4622024968000116,1.0346972935284204,0.7875786405944215,0.17216530418848278,0.0700118502201722,0.86681752366715
Foxp1,1.0978750141506832,0.7389895470071495,0.644197755465211,0.8423869734340552,0.3934521918994463,0.07995894058739586,0.18184280556280202,0.2856438393480681,0.025557454700944695,0.4433274228358185,0.6188709523694708,0.19157280459810086,0.36243152381209653,0.2461760869085217
Gria4,0.1429947223522287,0.2566517864855724,0.4243571785005087,0.14920751593567808,0.42926517639886597,0.16863881182891718,0.16239591010166282,0.5381045670652672,0.5436750114833606,0.2833898893822082,0.12004048737069453,0.27707672689990553,0.11431949381407304,0.0055704407135118185
Cntnap2,0.21137673389097297,0.26595438136120936,0.027841033521666572,0.004494516797182593,0.18835674641214933,0.244288518375155,0.024287676025066582,0.0809109065581756,0.13510440500759405,0.1898453117836077,0.1668637359844095,0.03152884285330721,0.053732526069349584,0.22175829592383764
Atp1a2,0.024847937516326142,0.0034934016313953884,0.0018452326103429273,0.003959188425412898,0.019016644722148195,0.0055446554144541445,0.026505064000579247,0.025815340776826637,0.046596601902309784,0.022277153031675278,0.048038748548399186,0.00114655231412003,0.027015638561442668,0.021130601108285598
Dlg2,1.9285408237210682,1.5401744894708036,0.10814029959539391,1.467399268427404,0.3553480111756405,1.4212526006395714,0.9698237706945494,0.28503590557925557,0.7447832151606297,1.8092239538313455,0.8449535614625728,1.3531943859204298,0.3924326470946769,0.45758635542377557
Cav1,0.34467513837797714,0.3144497255470237,0.19560716686758675,0.3241112940699202,0.1759144594246275,0.11270510012196926,0.09248443939757638,0.16515738640339495,0.1455042768959045,0.1441579958068085,0.05074963263071836,0.12404292662446313,0.03141329774937044,0.019243943832137702
Dcdc2a,0.10668494273246654,0.05619474050846186,0.017914262665451056,0.06735362617962809,0.06038140774585914,0.08270751841165908,0.05672849974652933,0.06928849474248752,0.10501694371429034,0.1314379801043667,0.07786199089045885,0.10081360006870259,0.04928924113992216,0.03319309315066849
Casr,0.01773074377755712,0.010000696440506872,0.007352971341968242,0.018853773348773112,0.006443071929761828,0.016591320018813794,0.01719791948025514,0.014837099264776669,0.013853424248342102,0.024182011920905043,0.0071070525878595995,0.024780416048937874,0.007582495468460761,0.0004098646121855084
Igsf11,0.23657611681830934,0.28200485625353944,0.09551909110779414,0.19567934326068862,0.054547236711855025,0.18851284701299,0.14853065168811883,0.14019022036354295,0.09978486170230502,0.14435361132786273,0.0026208883026875387,0.10288351275723844,0.04276689011979773,0.041367718940433125
