,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn11a_Scn9a,Scn11a_Scn7a,Scn10a_Scn7a,Scn9a,Scn7a,Scn10a_Scn11a,Scn10a,Scn11a
Ccr2,0.07249913065974463,0.07129344565729392,0.07071036957121284,0.07334903610672242,0.003281040275311066,0.07130333019129306,0.07274125664420548,0.002767142344611465,0.0014873390420629103,0.07072025410521199,0.0009783824763925175,0.002302657745861468,0.0005435458025323719,0.0017492293193848395
Iapp,0.007328553602769619,0.007324763963320002,0.007324763963320002,0.009689302458960899,0.002334223821297627,0.009685513226386893,0.009689302458960899,0.002334223821297627,0.002334223821297627,0.009685513226386893,0.002334223821297627,0.0,0.0,0.0
Cxcl12,0.022383013473891197,0.016973632892785882,0.006991282245814282,0.06858547860554369,0.03086528381472023,0.03940210284646762,0.04686613705795205,0.006291244830625727,0.00207283790010648,0.017273649167553997,0.023119415462799036,0.05263917405323024,0.023655808635571943,0.02955612285909391
Gpr39,3.857219173029774,3.3682552311117337,3.2859212402595728,4.6303853571940365,0.0898954411940897,4.042564386076054,4.585134331957999,0.13645343897486578,0.616899304084578,3.9904755043566174,0.6668878790750049,0.582220007000657,0.030175183219096294,0.5590927023240773
Dpp6,0.3017943342282634,0.3193600500556782,0.2665084169745278,0.19341760845068234,0.24939276949245262,0.15743309352453125,0.13829553518812973,0.19283992832896013,0.2112184178208853,0.10318426960644603,0.15541790619721887,0.09454584017547436,0.05678795724576115,0.03640098817590126
Nlgn1,0.4524755212776993,0.04031277155944722,0.28126402299994285,0.05293154284931976,0.022982990684148094,0.1947833769804389,0.27784853995668457,0.3387551436190896,0.14191913182837268,0.13101650686251057,0.16939439552816526,0.16989914942835346,0.31255858133145903,0.14701711375840038
Foxp1,4.291607395482469,5.949068782709949,5.032525456216333,3.5669460859306326,1.8804318365727866,4.301029836571322,2.6543577768469495,0.9451016894696563,2.605064115340525,3.388150853712415,1.6683088982768643,0.21261733986778064,0.9314041604772955,0.7167801469445587
Gria4,0.3493698509304205,0.37006350424227286,0.4394768759448409,0.11827433213019418,0.0017706387876148047,0.20767529275829297,0.19122899708130164,0.07473616625372355,0.09067191479551343,0.2806190957411425,0.16262720030034436,0.16904712654466392,0.0758333107042328,0.09274671293330551
Cntnap2,0.3357519014898981,0.2683447511215824,0.24910378252994098,0.03605024456377775,0.491550184324005,0.10640773445018605,0.05277449729602875,0.4744093085869165,0.4065430064761964,0.12507903991695898,0.38649433137033173,0.09901063269792047,0.027224735834402734,0.07391150524884846
Atp1a2,0.41649704246985275,0.28930556398489254,0.39341243423171907,0.15336023977702976,0.08301650567929822,0.12408416550341815,0.25701493315406077,0.18909444021680774,0.059294192160872214,0.2287011921935521,0.1659402549342745,0.07848306170119064,0.10720259742887064,0.028429674430475088
Dlg2,0.1143595097829117,0.18233609135066614,0.13683980705810092,0.17751493015703454,0.0033618850651013885,0.19981050736579206,0.13084567886600074,0.04128468847141317,0.027698608935951368,0.153556872350392,0.016698594835182937,0.021482815114598184,0.04528385389186632,0.024438319132619894
Cav1,0.5256523799805547,1.43896125128672,1.2012647019218845,1.0153123667613178,0.6521013183683285,1.6811798882831706,0.7703739039609281,0.8902651042099715,0.011279950795995707,1.4415643379589467,0.2208767864656514,0.4256512769777275,0.23542725822332,0.6662179068869649
Dcdc2a,0.26675497259907965,0.010466824814159656,0.12657902054657802,0.06974018806096088,0.20993270581143136,0.21064484743998005,0.06396024877110418,0.3433930039295325,0.057054130988269204,0.07499016394317182,0.19294067868569834,0.013762549585952022,0.13675602177847468,0.1485229132333086
Casr,1.4262282226070793,1.2084753477989925,1.268467221867577,0.30882045336114466,1.091072928768642,0.1510097749038377,0.3698299877384785,1.1696556026917913,0.9107622018395813,0.216214038206136,0.9897916487465537,0.08300077268306515,0.09095584033330976,0.1698735889972383
Igsf11,0.04626010246706227,0.14251518290112278,0.08085689331285435,0.40269002147143557,0.4174657549933134,0.518471315873417,0.3462627591426743,0.4859167060740216,0.3031150565899388,0.46500357551893573,0.36939282503372606,0.04617273631541812,0.05949599382478656,0.10797299864839338
Cacna1e,0.28061278062397926,0.4363299184649573,0.26160313259155105,0.5541815308110534,0.09980578703042693,0.5317575190007029,0.3805108575199296,0.07600783973593918,0.07492098852165226,0.35944028131808853,0.09996984452297064,0.19778648821321662,0.17215319739228235,0.02449517529569742
Hoxb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcne2,0.0049156340585991476,0.014874078792565174,0.0049156340585991476,0.015891487273848207,0.018296776153955398,0.015891487273848207,0.0034835201475831782,0.001067173631571173,0.018296776153955398,0.0034835201475831782,0.001067173631571173,0.019231244202377804,0.019386067135336985,0.00015482312294782578
Kcnab1,0.3500852228418756,0.3573486900652863,0.3900937670650115,0.13895705032036845,0.0880473418570801,0.1772359178877021,0.18060017782514817,0.12287278960109804,0.13341136285943475,0.21713746984890447,0.16648930356603642,0.08214502681936706,0.04316477506395203,0.037559654992088014
Slc6a11,0.01842488885950711,0.07056229388966513,0.08207213046323425,0.05133348063990564,0.08857541736832913,0.04546418395790723,0.043660257427182984,0.07415707603682441,0.011464084864586558,0.05334655934410889,0.02623536895366261,0.10786958869850505,0.01066016135157675,0.09772576969175345
Nalcn,0.2474133693177877,0.2539080252479712,0.19515544149268227,0.13731990642360345,0.5592321186478084,0.18290278522199171,0.20261226960595763,0.4959242308638161,0.5130328463240997,0.25026982035097456,0.4485523277443927,0.116648259945645,0.0740721698499877,0.043538259756474365
Pias3,0.35196761011703653,0.20651860670552594,0.3832604973381912,0.12984382151475218,0.09714821771718637,0.09901506584656594,0.04704246867734966,0.27349817830701517,0.12811105448813065,0.07794342066442693,0.3045125727530794,0.2073643636879614,0.17664907124372617,0.030488388491710885
