pathway,overlap,pathway_size,p_value,enrichment
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY,9,18,9.101256685153712e-08,0.5
GOBP_LOCALIZATION_WITHIN_MEMBRANE,15,91,6.850022183735729e-05,0.16483516483516483
GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE,5,13,0.00036634352070599366,0.38461538461538464
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,6,20,0.0004335129270943864,0.3
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,7,28,0.0004916848795984156,0.25
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,8,38,0.00068131892690118,0.21052631578947367
GOBP_GLIAL_CELL_FATE_COMMITMENT,5,15,0.0007831268111777056,0.3333333333333333
GOBP_POSITIVE_REGULATION_OF_GLIOGENESIS,8,39,0.0008186882389740577,0.20512820512820512
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,21,190,0.0009310178656005263,0.11052631578947368
GOBP_AORTA_DEVELOPMENT,7,31,0.0009529001006744154,0.22580645161290322
GOBP_LOCOMOTION,34,373,0.0009687924271716318,0.09115281501340483
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,10,60,0.0010506406926660045,0.16666666666666666
GOBP_VESICLE_MEDIATED_TRANSPORT,25,250,0.0013429410416055012,0.1
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY,3,5,0.0013672674765607931,0.6
GOBP_ELASTIC_FIBER_ASSEMBLY,3,5,0.0013672674765607931,0.6
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,7,33,0.0014139327570552678,0.21212121212121213
GOBP_CATECHOLAMINE_TRANSPORT,5,17,0.0014787235862197357,0.29411764705882354
GOBP_MONOAMINE_TRANSPORT,6,25,0.0015841906052172783,0.24
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,7,34,0.0017016914486097429,0.20588235294117646
GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_URETERIC_BUD_MORPHOGENESIS,4,11,0.0019038162381566491,0.36363636363636365
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,6,26,0.001969696088806308,0.23076923076923078
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,12,88,0.0021061028025303368,0.13636363636363635
GOBP_REGULATION_OF_CELL_ADHESION,25,260,0.002336722485880853,0.09615384615384616
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,26,275,0.002425544075595219,0.09454545454545454
GOBP_AORTA_MORPHOGENESIS,5,19,0.0025468125942991553,0.2631578947368421
GOBP_REGULATION_OF_LOCOMOTION,29,320,0.0025954010233829997,0.090625
GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS,3,6,0.0026275963418303377,0.5
GOBP_CATECHOLAMINE_UPTAKE,3,6,0.0026275963418303377,0.5
GOBP_RESPONSE_TO_MONOAMINE,3,6,0.0026275963418303377,0.5
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT,3,6,0.0026275963418303377,0.5
GOBP_METANEPHRIC_NEPHRON_TUBULE_MORPHOGENESIS,3,6,0.0026275963418303377,0.5
GOBP_PHOSPHORYLATION,23,236,0.0029486712431375083,0.09745762711864407
GOBP_RESPONSE_TO_PEPTIDE,26,282,0.0034470995908235068,0.09219858156028368
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,6,29,0.00355637106230521,0.20689655172413793
GOBP_GLIOGENESIS,16,145,0.0038652205372207635,0.1103448275862069
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,7,39,0.0038816724676404945,0.1794871794871795
GOBP_GLIAL_CELL_DIFFERENTIATION,13,107,0.0039507902342639685,0.12149532710280374
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE,5,21,0.004085901295007279,0.23809523809523808
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS,5,21,0.004085901295007279,0.23809523809523808
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,3,7,0.004418934373577264,0.42857142857142855
GOBP_NOREPINEPHRINE_TRANSPORT,3,7,0.004418934373577264,0.42857142857142855
GOBP_ASTROCYTE_DIFFERENTIATION,7,40,0.004497714762387706,0.175
GOBP_INTRACELLULAR_SIGNALING_CASSETTE,34,409,0.004635603376428747,0.08312958435207823
GOBP_CALCIUM_MEDIATED_SIGNALING,10,73,0.004735161174359318,0.136986301369863
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,9,62,0.004926784841850683,0.14516129032258066
GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,5,22,0.005063202973507434,0.22727272727272727
GOBP_TOLERANCE_INDUCTION,4,14,0.005090617894910973,0.2857142857142857
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,4,14,0.005090617894910973,0.2857142857142857
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS,4,14,0.005090617894910973,0.2857142857142857
GOBP_COLLAGEN_METABOLIC_PROCESS,7,41,0.0051848890387612215,0.17073170731707318
