pathway,overlap,pathway_size,p_value,enrichment
GOBP_AXON_DEVELOPMENT,22,186,0.00026876045488333716,0.11827956989247312
GOBP_POSITIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,5,13,0.00036634352070599366,0.38461538461538464
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,6,20,0.0004335129270943864,0.3
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,36,387,0.0004542794555136663,0.09302325581395349
GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,6,21,0.0005803482861198376,0.2857142857142857
GOBP_POSITIVE_REGULATION_OF_GLIOGENESIS,8,39,0.0008186882389740577,0.20512820512820512
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,14,106,0.0012518888143807612,0.1320754716981132
GOBP_LIMBIC_SYSTEM_DEVELOPMENT,9,55,0.0021315736563877748,0.16363636363636364
GOBP_OSTEOCLAST_DIFFERENTIATION,8,45,0.0021790061718470477,0.17777777777777778
GOBP_COPULATION,3,6,0.0026275963418303377,0.5
GOBP_SPINAL_CORD_DEVELOPMENT,9,57,0.0027502647946976502,0.15789473684210525
GOBP_FOREBRAIN_DEVELOPMENT,19,182,0.003179863049174025,0.1043956043956044
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,12,93,0.003379818360026059,0.12903225806451613
GOBP_REGULATION_OF_BLOOD_PRESSURE,9,59,0.0035033093746131665,0.15254237288135594
GOBP_DIENCEPHALON_DEVELOPMENT,8,49,0.003797647445400632,0.16326530612244897
GOBP_REGULATION_OF_GLIOGENESIS,9,61,0.004409778896244389,0.14754098360655737
GOBP_CARDIAC_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_OUTFLOW_TRACT_MORPHOGENESIS,3,7,0.004418934373577264,0.42857142857142855
GOBP_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION,3,7,0.004418934373577264,0.42857142857142855
GOBP_INHIBITORY_SYNAPSE_ASSEMBLY,3,7,0.004418934373577264,0.42857142857142855
GOBP_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,7,40,0.004497714762387706,0.175
GOBP_POSITIVE_REGULATION_OF_TRANSPORT,23,245,0.004738186570071703,0.09387755102040816
GOBP_POSITIVE_REGULATION_OF_SECRETION,14,122,0.004762372865663434,0.11475409836065574
GOBP_NEURON_DEVELOPMENT,32,380,0.004972829834199731,0.08421052631578947
GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,4,14,0.005090617894910973,0.2857142857142857
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,18,179,0.006052077506887399,0.1005586592178771
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,15,139,0.006292610373905559,0.1079136690647482
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,44,578,0.006637397305994382,0.07612456747404844
GOBP_HYPOTHALAMUS_DEVELOPMENT,4,15,0.006656978288995795,0.26666666666666666
GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,9,65,0.006764096389028472,0.13846153846153847
GOBP_CARDIAC_NEURAL_CREST_CELL_DEVELOPMENT_INVOLVED_IN_OUTFLOW_TRACT_MORPHOGENESIS,3,8,0.00679523610559798,0.375
GOBP_CARDIAC_NEURAL_CREST_CELL_DIFFERENTIATION_INVOLVED_IN_HEART_DEVELOPMENT,3,8,0.00679523610559798,0.375
GOBP_HEAD_DEVELOPMENT,26,297,0.006904808450821858,0.08754208754208755
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,6,33,0.0069451294622441375,0.18181818181818182
GOBP_CYTOKINE_PRODUCTION,24,269,0.007456803655506723,0.08921933085501858
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION,7,44,0.00772255855229312,0.1590909090909091
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,8,55,0.007802131175603503,0.14545454545454545
GOBP_ENSHEATHMENT_OF_NEURONS,8,56,0.008698274044052531,0.14285714285714285
GOBP_INFLAMMATORY_RESPONSE,22,243,0.008736210723390432,0.09053497942386832
GOBP_GENERATION_OF_NEURONS,41,541,0.009617780215541966,0.07578558225508318
GOBP_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,3,9,0.009797369034313198,0.3333333333333333
GOBP_ASTROCYTE_DEVELOPMENT,3,9,0.009797369034313198,0.3333333333333333
GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,4,17,0.010676753675917765,0.23529411764705882
GOBP_SMOOTH_MUSCLE_CONTRACTION,6,36,0.01069854700649951,0.16666666666666666
GOBP_CELL_DIFFERENTIATION_IN_SPINAL_CORD,6,36,0.01069854700649951,0.16666666666666666
GOBP_REGULATION_OF_CELL_GROWTH,11,95,0.0111381059125368,0.11578947368421053
GOBP_REGULATION_OF_GROWTH,17,176,0.011188028762834458,0.09659090909090909
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,37,482,0.011521916926156143,0.07676348547717843
GOBP_REGULATION_OF_NEUROGENESIS,15,149,0.011759165385971129,0.10067114093959731
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,23,265,0.012074013133753241,0.08679245283018867
GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,5,27,0.012506804698896066,0.18518518518518517
