gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3
Tbx20,0,9.274284354379594,18.03702103916904,33.33957621286885,20.209184188100867
Gata4,1,9.184368572179514,6.47224104591034,31.672630153486754,27.1757614729683
Dnah11,0,1.147379635241287,14.294473750898346,31.23636244429186,20.5152896401816
Hand2,0,1.2896852533067849,14.411946943734993,31.11936571845239,20.32225302580496
Pitx2,0,1.2046128438902821,14.524687573742685,31.23344780445973,20.296982110907493
Sall1,0,0.8811542229525042,14.252274631187657,31.191064751494427,20.554011960144667
Nr2f2,0,4.297076522563731,10.493305528383667,30.49879187499941,23.856399952954398
Aff4,0,3.7946670735765866,11.396517924172707,30.527562219242935,22.87393708856089
Sema3a,0,8.136133687884342,18.239275631769107,30.379070179725815,22.204347281194526
Zeb2,0,2.8290850817029907,11.359690027120148,30.93226309832808,22.43619976208181
Smad3,0,1.0454768657953009,13.144244864430284,31.10555723646973,21.382690688678732
Arid1b,0,2.133294427656147,12.157991758718978,31.188511421481717,22.39040566566561
Plxnd1,0,1.0475048842585715,14.20268204979025,31.221145681330178,20.529840820033733
Mybpc3,0,3.6370092500693345,12.868577796833979,30.247202618379788,21.1586103913119
Actc1,2,30.985462759398512,32.34729284628846,0.0,37.31316617914203
Igf2,1,24.335029847604666,16.01547789974787,36.69810175453066,36.94999670197199
Flt4,0,0.9531222765497298,13.851746121575227,31.159622285150615,20.722101992862758
Kdr,0,1.1411804766305984,14.121081762652649,31.116149268979434,20.66176791718573
Zfpm2,1,20.1031488599023,11.87601765849159,34.93520605370145,35.444032322775264
Smad2,0,1.4203056690087272,14.01580443246698,31.57449823897214,20.871632077194885
Foxc1,0,1.111390834372899,14.290239149619845,31.233114883870527,20.516615094255915
Nkx2-5,0,1.00764719090365,14.216744067665884,30.64094950254875,20.45426844274459
Tfap2b,0,1.116588937974852,14.27195537940176,31.22858354827267,20.521292889405515
Smad6,0,2.838546894349128,14.529193281890587,31.955389344355137,20.247504772047105
Pbx1,1,11.991550909853164,6.910901144278753,33.199403748540895,30.580817228614816
Prdm6,0,5.547190032378418,10.835285295559116,31.808170416001367,23.307237500728103
Sall4,0,0.8173524788358604,13.610225769212196,31.127612017490723,20.83650504657327
Smarce1,0,1.4515679710144245,13.00377223314506,31.037815829052168,21.33139056735167
Gata5,0,1.0009192885633555,13.777399503386482,31.28306851600667,20.872645252776884
Rere,0,4.805495460694003,12.723851622849335,31.73452595864211,23.692610398535585
Tbx3,0,1.371883427029789,13.978346286169359,31.187932730525695,20.913674958341097
Myh7,3,20.990634018357973,30.85491974959105,37.31316617914203,0.0
Arid1a,0,1.7716074629321334,12.298869100569558,30.746202715297432,22.045592688367826
Kynu,0,1.164759744498831,14.361088265415095,31.24591622825546,20.504172950981634
Nodal,0,1.144965295796153,14.354482482725459,31.23191989064472,20.498499926711343
Hand1,0,1.0735659238468511,14.107225087493102,31.17523630727098,20.498533949900548
Fbn1,0,2.202444508668389,15.00658090781546,31.28335672020058,20.54230494246319
Tbx5,0,2.4668840409555024,12.846227063872988,31.349045806597612,22.17369847477906
Foxp1,0,6.815030990621366,8.818544084359695,31.316151058151195,25.2433568669121
Myh11,0,1.0853751962995521,14.24401666472984,31.23104083782271,20.598232751560467
Meis2,0,13.62344841644285,21.646693756719916,33.91741128339625,24.941565740071514
Gli3,0,1.9530246511192833,13.602009290994683,31.03360560522489,21.329071424808454
Son,0,2.3943934028608127,13.559685529801841,31.00832555210237,21.22839979903684
Dnah9,0,1.1576339391117851,14.302925746481998,31.23947585651911,20.51445216191234
Tbx1,0,1.0498052314362245,14.234487614353371,31.243635017636684,20.579260142601537
Aldh1a2,0,1.109962850547216,13.803787304306956,31.153543294986488,20.79292531560483
Smad4,0,0.578572856555642,13.53169411177151,31.08338727897093,20.91480953351015
Gata6,0,2.9745674172680796,10.930493655252521,30.506998367764822,22.836404073803564
Foxh1,0,1.0636730989932393,14.276334942375838,31.233032943764325,20.51563922822048
Tll1,0,1.0587945365819202,14.053596605279095,31.178395506904074,20.6585298551377
Nkx2-6,0,1.1383711025457184,14.305981314840691,31.237574747833783,20.509856314968292
Adamts19,0,2.081006567006683,14.73743984354227,31.037646420989436,20.634053281739195
Pkd1l1,0,1.1546375065982286,14.307163392453706,31.23478400430657,20.512519287885496
Myh6,0,20.237787439061105,24.46226218058671,33.88471760994893,28.16358304687451
Eln,0,1.2649065797071293,14.110479804832291,31.264565384052695,20.538527481125072
Foxc2,0,1.0562442244736598,14.194704768111682,31.160000502820502,20.58568972636331
Mesp1,0,1.1515340198812858,14.302280463649158,31.23566659376553,20.512766404433236
Dnah5,0,1.1501885570905008,14.305677285792653,31.237892968032227,20.51279714087806
