gene,cluster
Tbx20,0
Gata4,1
Dnah11,0
Hand2,0
Pitx2,0
Sall1,0
Nr2f2,0
Aff4,0
Sema3a,0
Zeb2,0
Smad3,0
Arid1b,0
Plxnd1,0
Mybpc3,0
Actc1,2
Igf2,1
Flt4,0
Kdr,0
Zfpm2,1
Smad2,0
Foxc1,0
Nkx2-5,0
Tfap2b,0
Smad6,0
Pbx1,1
Prdm6,0
Sall4,0
Smarce1,0
Gata5,0
Rere,0
Tbx3,0
Myh7,3
Arid1a,0
Kynu,0
Nodal,0
Hand1,0
Fbn1,0
Tbx5,0
Foxp1,0
Myh11,0
Meis2,0
Gli3,0
Son,0
Dnah9,0
Tbx1,0
Aldh1a2,0
Smad4,0
Gata6,0
Foxh1,0
Tll1,0
Nkx2-6,0
Adamts19,0
Pkd1l1,0
Myh6,0
Eln,0
Foxc2,0
Mesp1,0
Dnah5,0
