,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Fgd5,0.00026717782,0.00026375055,-3.4362078e-05,-1.347065e-05,0.0004989505,0.0001924932,0.00027173758,0.00022754073,0.00024974346,-2.9951334e-05,0.00042572618,0.00050103664,0.00021547079,0.00023409724
Plvap,1.3411045e-06,-1.7628074e-05,1.7806888e-06,1.6145408e-05,-1.6272068e-05,3.1217933e-06,1.745671e-05,-1.5549362e-05,-1.8253922e-06,1.8052757e-05,-1.4163554e-05,-5.1409006e-07,1.938641e-05,4.917383e-07
Rslcan18,-2.6516616e-05,8.560717e-06,-3.196299e-06,7.942319e-06,-2.1465123e-05,-2.861023e-05,-1.8447638e-05,5.275011e-06,1.590699e-05,4.976988e-06,-2.4199486e-05,-1.4618039e-05,-2.0131469e-05,1.2971461e-05
Zfp971,9.715557e-06,-3.9458275e-05,5.567074e-05,8.1181526e-05,-2.9712915e-05,6.830692e-05,9.089708e-05,1.5586615e-05,4.145503e-05,0.00013756752,2.771616e-05,5.1021576e-05,0.00014710426,9.8109245e-05
Zbtb17,8.34465e-07,-8.416176e-05,-8.940697e-07,3.0755997e-05,-8.326769e-05,5.9604645e-08,3.1232834e-05,-8.457899e-05,-5.364418e-05,3.0457973e-05,-8.356571e-05,-5.3048134e-05,3.105402e-05,-5.340576e-05
Ccr2,0.0,0.0,-3.3527613e-08,-7.711351e-07,0.0,-3.3527613e-08,-7.711351e-07,-3.3527613e-08,-7.711351e-07,-8.009374e-07,-3.3527613e-08,-7.711351e-07,-8.009374e-07,-8.009374e-07
Sulf1,0.00029790401,-0.00044310093,2.7865171e-05,-0.0003530085,-0.00017607212,0.0003119111,-3.9070845e-05,-0.0004220903,-0.00079768896,-0.00032123923,-0.0001565218,-0.0005027056,-1.8000603e-05,-0.000772357
Clcnkb,0.0,-1.15484e-07,-1.1175871e-08,5.032867e-06,-1.15484e-07,-1.1175871e-08,5.032867e-06,-1.2665987e-07,4.8801303e-06,5.017966e-06,-1.2665987e-07,4.8801303e-06,5.017966e-06,4.8689544e-06
Cd160,0.0,0.0,1.6093254e-06,4.7683716e-07,0.0,1.6093254e-06,4.7683716e-07,1.6093254e-06,4.7683716e-07,2.0749867e-06,1.6093254e-06,4.7683716e-07,2.0749867e-06,2.0749867e-06
Bpifb3,-3.0966476e-08,-2.3283064e-09,4.7963113e-08,7.459894e-07,-3.3294782e-08,1.6996637e-08,7.1548857e-07,4.5867637e-08,7.436611e-07,7.939525e-07,1.5133992e-08,7.1292743e-07,7.6321885e-07,7.91857e-07
Cdkn1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Six2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heyl,0.0,-3.5762787e-07,-1.3411045e-07,9.23872e-07,-3.5762787e-07,-1.3411045e-07,9.164214e-07,-4.917383e-07,7.301569e-07,7.8231096e-07,-4.917383e-07,7.301569e-07,7.8231096e-07,5.9604645e-07
Ccdc136,0.000115036964,0.0002913475,-7.045269e-05,-0.0008223653,0.0004197359,4.7326088e-05,-0.0006787777,0.00022518635,-0.00051164627,-0.0008907318,0.0003515482,-0.00036638975,-0.0007464886,-0.0005797148
Hnf4a,5.349517e-06,2.5346875e-05,3.97861e-06,2.3007393e-05,3.067404e-05,9.227544e-06,2.7609989e-05,2.9407442e-05,4.8113987e-05,2.6889145e-05,3.459677e-05,5.267188e-05,3.156811e-05,5.197525e-05
Dnah2,0.0001770258,5.38826e-05,-0.00028842688,-0.0007199049,0.00020581484,-8.922815e-05,-0.0005685985,-0.00023779273,-0.00066155195,-0.0010077357,-7.18534e-05,-0.00054064393,-0.0008340776,-0.0009455681
