pathway,overlap,pathway_size,p_value,enrichment
GOBP_EMBRYO_DEVELOPMENT,50,495,7.923040346010963e-07,0.10101010101010101
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,69,807,2.1681939406528014e-06,0.08550185873605948
GOBP_CHROMOSOME_ORGANIZATION,12,52,7.962027998614363e-06,0.23076923076923078
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS,55,651,5.323070101548927e-05,0.08448540706605223
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,9,36,5.734611680584814e-05,0.25
GOBP_APPENDAGE_MORPHOGENESIS,14,83,6.279587135959115e-05,0.1686746987951807
GOBP_DNA_METABOLIC_PROCESS,18,127,6.355087413361202e-05,0.14173228346456693
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,10,46,8.054941897567863e-05,0.21739130434782608
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,7,23,0.00010165148853381298,0.30434782608695654
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,14,87,0.00010700462747851844,0.16091954022988506
GOBP_NEGATIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,53,636,0.00011203790980279667,0.08333333333333333
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM,27,250,0.00013557067631184903,0.108
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME,5,12,0.00019842760064451697,0.4166666666666667
GOBP_WNT_SIGNALING_PATHWAY,16,115,0.00020538048732462267,0.1391304347826087
GOBP_APPENDAGE_DEVELOPMENT,14,95,0.00028080932520860617,0.14736842105263157
GOBP_CARDIAC_SEPTUM_DEVELOPMENT,10,55,0.00038550591371894335,0.18181818181818182
GOBP_VENTRICULAR_SEPTUM_DEVELOPMENT,8,37,0.00044141515578645135,0.21621621621621623
GOBP_DNA_REPAIR,9,47,0.000507523199902182,0.19148936170212766
