gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,mean_distance,max_distance,min_distance,distance_std
Mesp1,3,1.1842660081653478,1.2733456465196529,1.1655618970974253,1.0137499559677263,1.159230876937538,1.2733456465196529,1.0137499559677263,0.10778639155734877
Gata6,0,0.9550152519639952,1.1240396694030188,1.1889278353209365,1.2585767994204595,1.1316398890271024,1.2585767994204595,0.9550152519639952,0.12993448832236582
Actc1,3,1.171233426736067,1.2158761287223498,1.2621859320375906,0.9662039427024998,1.153874857549627,1.2621859320375906,0.9662039427024998,0.1305081589882778
Smarce1,1,1.3067649648438218,0.947106396701203,1.127040403832181,1.1361737066670248,1.1292713680110578,1.3067649648438218,0.947106396701203,0.14690209116850703
Nkx2-5,0,0.9425324465186552,1.313284277224987,1.189275233001155,1.1251189030042787,1.142552714937269,1.313284277224987,0.9425324465186552,0.15453619385352665
Smad6,2,1.1671358952740432,1.2100333330700033,0.8930171816064755,1.2618969246204157,1.1330208336427343,1.2618969246204157,0.8930171816064755,0.16462640767767922
Arid1b,1,1.3610802229550465,0.9611195905163968,1.2313713041872136,1.1279477505618165,1.1703797170551185,1.3610802229550465,0.9611195905163968,0.16899401270545153
Zfpm2,1,1.205044064508919,0.8899652799146993,1.2315798460084382,1.2583678391046218,1.1462392573841698,1.2583678391046218,0.8899652799146993,0.17223065133165497
Mybpc3,2,1.0320135262553491,1.2912302493079633,0.8645940938835337,1.2560509780125184,1.110972211864841,1.2912302493079633,0.8645940938835337,0.2003974879275088
Dnah11,3,1.171289595717559,1.2813395105774168,1.3219853142708229,0.863568920690742,1.1595458353141352,1.3219853142708229,0.863568920690742,0.20733269042471675
Foxp1,3,1.174106411103075,1.2030272458647648,1.3919220447761769,0.85768514274926,1.1566852111233192,1.3919220447761769,0.85768514274926,0.22150131014467786
Nodal,1,1.3632963557646909,0.8405154082204581,1.129133595715635,1.2356944922495312,1.1421599629875787,1.3632963557646909,0.8405154082204581,0.22271741141312254
Smad4,3,1.306928493667107,1.24919817826853,1.3222400743393807,0.849151061470733,1.1818794519364377,1.3222400743393807,0.849151061470733,0.22403746702726146
Myh11,3,1.105175944576563,1.3398011929685774,1.3211057084044426,0.8607830889762103,1.1567164837314483,1.3398011929685774,0.8607830889762103,0.22418506436481456
Flt4,2,1.2507764501404195,1.0295013439813396,0.8181386439858253,1.317771303267271,1.104046935343714,1.317771303267271,0.8181386439858253,0.22694217487835538
Eln,1,1.3348952479209988,0.9567797199478376,1.3959408232041943,0.9858979579231888,1.1683784372490549,1.3959408232041943,0.9567797199478376,0.2291910631158133
Dnah9,1,1.3748872410310096,0.8619429805790232,1.014208162397253,1.264899026740233,1.1289843526868797,1.3748872410310096,0.8619429805790232,0.23339929833775003
Nr2f2,0,0.7976949696680297,1.3103388041282316,1.2702699046283796,1.161748611728775,1.1350130725383538,1.3103388041282316,0.7976949696680297,0.233475062454496
Myh7,2,1.3959306270281229,1.054653060610244,0.8067949551551757,1.2018982099480966,1.1148192131854098,1.3959306270281229,0.8067949551551757,0.248398395137475
Tbx3,0,0.8414370128961682,1.3627606626328024,1.354781746451775,1.0823001279633335,1.1603198874860199,1.3627606626328024,0.8414370128961682,0.24937993277802198
