gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance,mean_rank
Son,3,1.134939055869839,1.3379618758501417,1.547840790230179,0.590574915774151,21,44,58,1,1.1528291594310776,31.0
Arid1a,3,1.0230422207931726,1.397524922415076,1.5189419420650352,0.6626262385986268,15,50,56,2,1.1505338309679778,30.75
Zeb2,3,1.302387028426186,1.150816198166772,1.5357714769643145,0.727105232946189,35,31,57,3,1.1790199841258655,31.5
Rere,3,1.1006014721261566,1.3550392894084302,1.3692341744261538,0.8392227096434786,18,46,52,4,1.1660244114010547,30.0
Igf2,3,1.001878729876048,1.4118646007219566,1.3188597381742904,0.840196004377912,14,52,46,5,1.1431997682875519,29.25
