gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance,mean_rank
Hand1,2,1.1684039198196243,1.080180770052288,0.5541547816653984,1.4663520166288984,24,27,1,58,1.0672728720415523,27.5
Sall4,2,1.0802072259295346,1.170395461876592,0.6477955566034215,1.4074197030341442,17,33,2,56,1.0764544868609232,27.0
Gli3,1,1.4996080803492482,0.4557385558535449,1.0799970183609784,1.3040665026413147,54,1,22,45,1.0848525393012716,30.5
Gata4,0,0.5207988545834586,1.4227243840603307,1.2039295786180797,1.211323518633464,1,53,36,28,1.0896940839738334,29.5
Hand2,2,1.294607795097957,1.0335978404933022,0.6560668963695359,1.38381456190866,34,24,3,53,1.0920217734673638,28.5
