gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance,mean_rank
Hand1,2,1.1684039198196243,1.080180770052288,0.5541547816653984,1.4663520166288984,24,27,1,58,1.0672728720415523,27.5
Sall4,2,1.0802072259295346,1.170395461876592,0.6477955566034215,1.4074197030341442,17,33,2,56,1.0764544868609232,27.0
Hand2,2,1.294607795097957,1.0335978404933022,0.6560668963695359,1.38381456190866,34,24,3,53,1.0920217734673638,28.5
Meis2,2,1.3300952003144462,1.1617933102872668,0.6889970662087048,1.2865553368346865,39,32,4,44,1.116860228411276,29.75
Pbx1,2,1.368867018163782,1.0804024613972785,0.7105020282397201,1.266822206158211,46,28,5,38,1.1066484284897478,29.25
