gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance,mean_rank
Mybpc3,2,1.0320135262553491,1.2912302493079633,0.8645940938835337,1.2560509780125184,16,41,12,33,1.110972211864841,25.5
Smarce1,1,1.3067649648438218,0.947106396701203,1.127040403832181,1.1361737066670248,36,19,25,23,1.1292713680110578,25.75
Gata5,0,0.7090960677700177,1.5373813985178546,1.1191964528819411,1.080825289024613,6,58,24,17,1.1116248020486066,26.25
Smad6,2,1.1671358952740432,1.2100333330700033,0.8930171816064755,1.2618969246204157,23,35,13,36,1.1330208336427343,26.75
Sall4,2,1.0802072259295346,1.170395461876592,0.6477955566034215,1.4074197030341442,17,33,2,56,1.0764544868609232,27.0
