gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3,mean_distance,mean_rank
Gata4,0,0.5207988545834586,1.4227243840603307,1.2039295786180797,1.211323518633464,1,53,36,28,1.0896940839738334,29.5
Tbx5,0,0.6472280982003523,1.3901786706478818,1.4924128822811198,0.9433771414931156,2,49,55,10,1.1182991981556174,29.0
Tbx20,0,0.6682795938476815,1.460010816620659,1.2606129273844235,1.0813631781094148,3,54,41,18,1.1175666289905446,29.0
Myh6,0,0.6920111276227502,1.4078916806257733,1.2102469041125985,1.1710113433408855,4,51,37,25,1.120290263925502,29.25
Prdm6,0,0.7058603043911188,1.5021284022269965,1.3445594961949006,0.9581853778261088,5,57,50,11,1.127683395159781,30.75
