pathway,overlap,pathway_size,p_value,enrichment
GOBP_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,6,36,0.00901894904494449,0.16666666666666666
GOBP_ENDODERM_FORMATION,5,26,0.00916148052338614,0.19230769230769232
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,11,96,0.00928403989964671,0.11458333333333333
GOBP_PRESYNAPSE_ASSEMBLY,4,17,0.009409754296442066,0.23529411764705882
GOBP_POSTSYNAPSE_ORGANIZATION,8,59,0.009629385017617984,0.13559322033898305
GOBP_HEAD_DEVELOPMENT,25,302,0.010304226828564187,0.08278145695364239
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,6,37,0.010316709351614387,0.16216216216216217
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,6,37,0.010316709351614387,0.16216216216216217
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,6,37,0.010316709351614387,0.16216216216216217
GOBP_CHONDROCYTE_DIFFERENTIATION,8,60,0.010635837674278104,0.13333333333333333
GOBP_CELLULAR_COMPONENT_MAINTENANCE,5,27,0.010786130824943825,0.18518518518518517
GOBP_LOCOMOTION,30,383,0.010892531152170946,0.0783289817232376
GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT,4,18,0.011621974702405431,0.2222222222222222
GOBP_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT,3,10,0.012179975898806004,0.3
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,14,141,0.012296299496402876,0.09929078014184398
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,9,74,0.012430637965567117,0.12162162162162163
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,10,87,0.012626461131799245,0.11494252873563218
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,21,245,0.012678464586841146,0.08571428571428572
GOBP_FOREBRAIN_DEVELOPMENT,17,185,0.012772953730900009,0.0918918918918919
GOBP_RENAL_SYSTEM_DEVELOPMENT,16,171,0.013213303660296528,0.0935672514619883
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,6,39,0.013300688445174217,0.15384615384615385
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,11,101,0.013383380147134796,0.10891089108910891
GOBP_NEGATIVE_CHEMOTAXIS,4,19,0.014142675688149886,0.21052631578947367
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,5,29,0.014604083654847307,0.1724137931034483
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,8,64,0.015453433320591905,0.125
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,30,394,0.01588840196716841,0.07614213197969544
GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT,3,11,0.016123933185040257,0.2727272727272727
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,3,11,0.016123933185040257,0.2727272727272727
GOBP_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,3,11,0.016123933185040257,0.2727272727272727
GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,3,11,0.016123933185040257,0.2727272727272727
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,3,11,0.016123933185040257,0.2727272727272727
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,34,461,0.016331682259618174,0.0737527114967462
GOBP_EMBRYO_DEVELOPMENT,36,495,0.016575769295869673,0.07272727272727272
GOBP_STEM_CELL_DIFFERENTIATION,13,132,0.01661990613744379,0.09848484848484848
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,5,30,0.016814688480306133,0.16666666666666666
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION,4,20,0.01698491535712936,0.2
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,4,20,0.01698491535712936,0.2
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY,4,20,0.01698491535712936,0.2
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,9,78,0.01720120729300931,0.11538461538461539
GOBP_GENERATION_OF_NEURONS,39,550,0.01866753042462996,0.07090909090909091
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,7,54,0.01908178766436977,0.12962962962962962
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT,5,31,0.019236929205595804,0.16129032258064516
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE,10,93,0.0195469875637749,0.10752688172043011
