pathway,overlap,pathway_size,p_value,enrichment
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,37,116,6.0325366671785785e-21,0.31896551724137934
GOBP_MUSCLE_TISSUE_DEVELOPMENT,49,213,9.470780275749495e-21,0.2300469483568075
GOBP_CARDIAC_MUSCLE_CONTRACTION,24,44,1.9884505893946066e-20,0.5454545454545454
GOBP_MUSCLE_SYSTEM_PROCESS,40,145,5.18603264283469e-20,0.27586206896551724
GOBP_MUSCLE_CONTRACTION,34,103,8.090687811007446e-20,0.3300970873786408
GOBP_HEART_PROCESS,30,78,9.396661619010788e-20,0.38461538461538464
GOBP_HEART_DEVELOPMENT,52,255,1.6617254383633304e-19,0.20392156862745098
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,55,286,2.108332034450356e-19,0.19230769230769232
GOBP_MUSCLE_CELL_DEVELOPMENT,31,91,1.4166796630140276e-18,0.34065934065934067
GOBP_STRIATED_MUSCLE_CONTRACTION,25,58,5.026683224672128e-18,0.43103448275862066
GOBP_ACTIN_FILAMENT_BASED_PROCESS,41,174,9.562848799703328e-18,0.23563218390804597
GOBP_MUSCLE_CELL_DIFFERENTIATION,38,164,3.347743619037402e-16,0.23170731707317074
GOBP_CIRCULATORY_SYSTEM_PROCESS,41,192,4.245658241594343e-16,0.21354166666666666
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,33,126,7.828009546911783e-16,0.2619047619047619
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,65,461,1.112151964929397e-15,0.14099783080260303
GOBP_REGULATION_OF_HEART_CONTRACTION,24,65,1.7520192932997099e-15,0.36923076923076925
GOBP_MUSCLE_ORGAN_DEVELOPMENT,36,163,1.1449510288536935e-14,0.22085889570552147
GOBP_HEART_MORPHOGENESIS,33,137,1.148875795994704e-14,0.24087591240875914
GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,19,43,3.5596133381067e-14,0.4418604651162791
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,17,34,6.438365463065028e-14,0.5
GOBP_CARDIAC_CELL_DEVELOPMENT,19,46,1.6119541495449043e-13,0.41304347826086957
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,21,58,1.7956704001264761e-13,0.3620689655172414
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,16,31,1.9161879323539736e-13,0.5161290322580645
GOBP_REGULATION_OF_BLOOD_CIRCULATION,25,86,2.532253260003865e-13,0.29069767441860467
GOBP_CARDIOCYTE_DIFFERENTIATION,24,80,3.64670235130141e-13,0.3
GOBP_MUSCLE_ORGAN_MORPHOGENESIS,20,54,4.2457743614145937e-13,0.37037037037037035
GOBP_MYOFIBRIL_ASSEMBLY,17,38,6.617034937290531e-13,0.4473684210526316
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS,18,49,7.951262597150957e-12,0.3673469387755102
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,22,81,3.426654821081158e-11,0.2716049382716049
