category,0,1,2,3
ASD,27.272727272727273,33.333333333333336,15.151515151515152,24.242424242424242
Functional single ventricle,27.272727272727273,36.36363636363637,18.181818181818183,18.181818181818183
Heterotaxy,37.5,62.5,0.0,0.0
Malformation of outflow tracts,25.806451612903224,41.935483870967744,25.806451612903224,6.451612903225806
Obstructive lesions,26.08695652173913,39.130434782608695,13.043478260869565,21.73913043478261
VSD,27.5,27.5,20.0,25.0
