gene,assigned_cluster,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3
Tbx20,0,0.6682795938476815,1.460010816620659,1.2606129273844235,1.0813631781094148
Gata4,0,0.5207988545834586,1.4227243840603307,1.2039295786180795,1.211323518633464
Dnah11,3,1.171289595717559,1.2813395105774168,1.3219853142708229,0.863568920690742
Hand2,2,1.2946077950979573,1.0335978404933022,0.6560668963695359,1.3838145619086601
Pitx2,1,1.3284013106081551,0.82965155552298,0.9109253721800694,1.3719445217713335
Sall1,1,1.5258509563156784,0.8114915411050897,1.1788351361629217,1.0930575755911176
Nr2f2,0,0.7976949696680297,1.3103388041282316,1.2702699046283796,1.161748611728775
Aff4,0,0.8835597321379941,1.4715451494240182,1.2660368587090243,1.015163299138013
Sema3a,1,1.5217367671752866,0.7514628215448408,0.9449293195770103,1.279721632668726
Zeb2,3,1.302387028426186,1.150816198166772,1.5357714769643145,0.727105232946189
Smad3,1,1.3613391186984554,0.6973745136029018,1.1972256049093166,1.2531170181221345
Arid1b,1,1.3610802229550465,0.9611195905163967,1.2313713041872136,1.1279477505618163
Plxnd1,2,1.3600875138803976,0.9729002964729417,0.8191646898302143,1.3378225683875378
Mybpc3,2,1.0320135262553491,1.2912302493079633,0.8645940938835337,1.2560509780125184
Actc1,3,1.1712334267360667,1.2158761287223498,1.2621859320375906,0.9662039427024998
Igf2,3,1.001878729876048,1.4118646007219566,1.3188597381742904,0.840196004377912
Flt4,2,1.2507764501404195,1.0295013439813396,0.8181386439858253,1.317771303267271
Kdr,1,1.2631382540484966,0.8610471112139283,0.9157993522374884,1.4042515239551978
Zfpm2,1,1.205044064508919,0.8899652799146993,1.2315798460084382,1.2583678391046218
Smad2,0,0.7516775437967342,1.3824093691485027,1.054138679767254,1.268334186101836
Foxc1,1,1.4539334888290236,0.5817143187889331,1.0595916719168716,1.3210384134780813
Nkx2-5,0,0.9425324465186553,1.313284277224987,1.189275233001155,1.1251189030042787
Tfap2b,2,1.2883732723381875,1.0438591141998528,0.7882106617558908,1.3454569148540285
Smad6,2,1.1671358952740432,1.2100333330700033,0.8930171816064755,1.2618969246204157
Pbx1,2,1.3688670181637819,1.0804024613972785,0.7105020282397201,1.266822206158211
Prdm6,0,0.7058603043911188,1.5021284022269965,1.3445594961949006,0.9581853778261088
Sall4,2,1.0802072259295346,1.170395461876592,0.6477955566034215,1.4074197030341442
Smarce1,1,1.3067649648438218,0.947106396701203,1.127040403832181,1.1361737066670248
Gata5,0,0.7090960677700177,1.5373813985178546,1.1191964528819411,1.080825289024613
Rere,3,1.1006014721261566,1.3550392894084302,1.3692341744261538,0.8392227096434786
Tbx3,0,0.8414370128961682,1.3627606626328024,1.354781746451775,1.0823001279633335
Myh7,2,1.3959306270281227,1.054653060610244,0.8067949551551757,1.2018982099480966
Arid1a,3,1.0230422207931726,1.3975249224150759,1.5189419420650352,0.6626262385986268
Kynu,1,1.4039407854323098,0.67725409500031,1.1379592295133143,1.2787169057584107
Nodal,1,1.3632963557646909,0.8405154082204581,1.129133595715635,1.2356944922495312
Hand1,2,1.1684039198196243,1.080180770052288,0.5541547816653984,1.4663520166288984
Fbn1,1,1.5074024902565184,0.6431782923087044,0.9286372195590722,1.3456769686848322
Tbx5,0,0.6472280982003523,1.3901786706478818,1.4924128822811198,0.9433771414931155
Foxp1,3,1.174106411103075,1.2030272458647648,1.3919220447761769,0.85768514274926
Myh11,3,1.105175944576563,1.3398011929685774,1.3211057084044426,0.8607830889762103
Meis2,2,1.3300952003144462,1.1617933102872668,0.6889970662087048,1.2865553368346865
Gli3,1,1.4996080803492482,0.45573855585354495,1.0799970183609784,1.3040665026413147
Son,3,1.1349390558698387,1.3379618758501415,1.547840790230179,0.590574915774151
Dnah9,1,1.3748872410310096,0.8619429805790232,1.014208162397253,1.264899026740233
Tbx1,1,1.5161791094766979,0.5678194454107254,1.1702827079701696,1.2327678385002756
Aldh1a2,1,1.3538627109592658,0.7060041436072214,1.2847076166673839,1.215694999350171
Smad4,3,1.306928493667107,1.24919817826853,1.3222400743393807,0.849151061470733
Gata6,0,0.9550152519639951,1.1240396694030188,1.1889278353209365,1.2585767994204595
Foxh1,0,0.8259146723998249,1.4812660957289752,1.1653349164029303,1.0718953989593276
Tll1,2,1.1489207372638748,1.0954344591714706,0.7961750372309755,1.4080325242959137
Nkx2-6,2,1.124763397652108,1.2304866563209966,0.7792438797757077,1.365958518129762
Adamts19,1,1.4098113767227403,0.6902159674047575,1.2330159204623037,1.2753742738332516
Pkd1l1,1,1.2904336223688286,0.8167381529789551,0.9732846355749263,1.397708043042421
Myh6,0,0.6920111276227502,1.4078916806257733,1.2102469041125985,1.1710113433408855
Eln,1,1.3348952479209988,0.9567797199478375,1.3959408232041945,0.9858979579231887
Foxc2,1,1.4908413506665534,0.6934722257203143,1.127983601812266,1.209338263938427
Mesp1,3,1.1842660081653478,1.2733456465196527,1.1655618970974253,1.0137499559677263
Dnah5,1,1.4350561308420644,0.6670889174643675,1.1121891745699457,1.2761919049712445
