,0
Cd38,0.22527665
Zbtb12,0.21250485
Klf2,0.074533276
Myrfl,0.087892465
Mag,0.029506922
Crocc2,0.11306619
Tmem132b,0.2560115
Zic2,0.24099682
Irf2,0.81523186
Car6,0.018181145
Gm10130,0.3230907
Zfp936,0.061073124
Col8a1,0.44687513
Ccdc162,0.32295328
Relb,0.37127966
Smoc1,0.6382361
Pax3,0.44467494
Ube2o,0.7571027
Pip5k1b,0.3585353
Mptx1,0.0
Zfp335,0.44784468
Keg1,0.006792491
Panx3,0.3251352
Lcor,0.9775845
A430033K04Rik,0.80251545
Zfp11,0.44817185
Ebf4,0.6860186
Gm21994,0.037408344
Cntnap5a,0.13406315
Cxcl13,0.1318839
Crygd,0.01003057
Xcr1,0.014952369
Rgs22,0.37378404
Hsf1,0.6859706
Zfp574,0.4472448
Ptprb,0.10036463
Jhy,0.05890052
A2m,0.24055047
Dgkg,0.07667388
Ckm,0.0401054
Zfp36l2,0.3064727
Fev,0.02026632
Gabrg3,0.32624266
Prg2,0.016132688
Nkx6-1,0.136373
Cadm2,0.42247438
Olfr1437,0.006821761
Zfp219,0.46360713
Nts,0.09358912
S100a3,0.05713515
Trim9,0.15700631
Tnnc1,0.06506162
Msc,0.09229154
Zfp395,0.7616874
Sdk1,0.79562116
Nccrp1,0.003302531
Cx3cr1,0.1831147
Snai1,0.24286667
Ubtf,0.68522155
Etv5,0.39221328
E2f1,0.68343985
Irf3,0.46275243
Zfp592,0.8561215
Kcnq3,0.3578964
Eya4,0.7638936
Klk7,0.0331654
Alb,0.3161906
Sox17,0.0675657
Cldn6,0.13334061
Tchh,0.05206257
Foxb1,0.046189554
Myo16,0.37858877
Cxcr2,0.013234816
Pdzrn3,0.89251685
Ly6g,0.009430996
Usp53,0.61568815
Zfp296,0.02857489
Hey2,0.29219884
Kcnh1,0.28056476
Zfp683,0.01252582
Rimbp2,0.15050691
2210017I01Rik,0.016782193
Alx1,0.39837998
Ncf2,0.07257695
Nxph1,0.31904346
Gm12606,0.038315773
Zfp113,0.6103752
Il15,0.2091365
Rab27b,0.30432978
Ifng,0.00375849
Hoxa9,0.5602364
Hpse2,0.6285212
Tubb1,0.01277952
Elf5,0.057910092
Serpina1a,0.06400609
Cd300lf,0.023662094
Tbx4,0.49907672
Ereg,0.04027094
Ovol2,0.121823475
Etv1,0.67207843
Trpm2,0.08667581
Ins1,0.0
Krt17,0.064376496
Mier1,1.0943024
Lyar,0.5360444
Ccser1,0.50461376
Pou5f2,0.20221348
D930020B18Rik,0.13049123
Slfn1,0.011142115
Tbr1,0.096209735
Zfp583,0.4741171
Susd1,0.23662782
Zbtb4,0.54343265
Dlgap2,0.14141293
Iqca,0.07496632
Stat5a,0.28324136
Nfe2l3,0.20226833
Atp6v0d2,0.009209082
Sctr,0.16545394
Ptprz1,0.5202925
Myo1g,0.030197674
H2-Eb1,0.038300477
Gm43020,0.019886622
D5Ertd615e,0.09067746
Zbtb48,0.28713545
Qrfpr,0.030597895
4930544I03Rik,0.087814935
Negr1,0.78224224
Zfp663,0.20131473
Ptprn2,0.06501947
Slc46a2,0.019080881
Gfi1b,0.052390598
Zfp641,0.20357458
Sntb1,0.33398622
Fam65b,0.29783675
Epb41,0.9102864
Krt16,0.034980215
Otof,0.20312826
Plin1,0.02782227
Clec12a,0.02817022
Chn2,0.6523768
Prg3,0.009809641
Tpm2,0.29596964
Ifi207,0.021766633
Bmp5,0.7312808
Nfia,1.1351659
Tmeff2,0.47309017
Mef2a,1.0884689
Duxbl1,0.048375152
Veph1,0.23504706
Hlx,0.22816162
Sox13,0.40741375
Junb,0.05939465
Aox3,0.1096704
Tulp3,0.84805304
Zfp14,0.48569965
Pard3b,1.0013125
Gm31784,0.028666519
Ptch1,0.711263
Zfp30,0.48348528
Hopx,0.10269539
Msr1,0.047336653
Usp32,0.8914342
Nfil3,0.31472054
Lcn3,0.027752364
Zfp707,0.2304281
Hspa1b,0.12307037
Myb,0.1819637
Fbn2,1.0654533
Zfp977,0.45103362
Kcnq5,0.8377207
Crtam,0.025547318
Rbpjl,0.07334206
Cntnap5c,0.12886207
Dcpp3,0.0033564204
Zfp979,0.18278387
RP23-384F19.1,0.058833364
Gm5141,0.6199022
Nkx3-2,0.049159203
Pbx1,0.98783207
Grxcr1,0.04153065
2310057N15Rik,0.0
Cldn5,0.06214041
Gp6,0.020959023
Ccdc175,0.05591001
Slc39a8,0.2928556
Fam198b,0.29824644
Themis,0.041191302
Cntn2,0.20322832
Lce1c,0.009844189
Gfra1,0.47145182
Gm2007,0.007792352
Zbtb45,0.31659633
Onecut2,0.16491151
Rhag,0.11574679
Selenop,0.32440388
Cdh16,0.019925844
Zfp940,0.29786345
Limch1,0.6741789
Sele,0.01813424
Obox8,0.0
Mmp8,0.029992864
Tspear,0.10013377
Figla,0.020216728
Zfp787,0.5270993
Zfp616,0.031739034
Foxj3,0.9388095
Ccl3,0.013925679
Vwc2,0.28826284
9130023H24Rik,0.11112011
Crygc,0.016211743
Lama1,0.53481615
Lrrfip2,0.94206744
Adarb2,0.49630922
Nfya,0.6566838
Tax1bp1,0.90986687
Cldn11,0.36852708
Etv3,0.4751138
Ccdc180,0.034820795
Fcrlb,0.017859275
Trf,0.32973477
Zfp988,0.023819374
Gm30978,0.017958183
BC049730,0.0
Zfp41,0.30350712
Rerg,0.5528139
Ppm1h,0.49373
Hey1,0.17752512
Rap1b,0.66767895
Srgn,0.0646915
