,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli1,Gli2_Gli3,Gli2,Gli3
Col11a1,1.2834502268949217,1.42369011360642,3.0080030901193933,0.3185772710240224,0.9476694377166266,1.754843522817076,2.697999173888396
Fmod,0.3656113453266208,0.3549265688222789,0.0517902474564624,0.042081923739900495,0.32730386181186205,0.31360516866572646,0.011792703238059088
Slc7a1,0.1171600207282482,0.09089718838551278,0.14321142777691664,0.11896232133679464,0.0012790510264632765,0.02625225894987516,0.02619411947685647
Pitx2,0.47903948895924137,1.0243254739577485,0.6508514105935458,0.11155797388448487,0.5613525426256588,1.1235525062404665,0.5587756643997008
Itga2,0.8028163960604691,0.8118439042270165,0.7903477413333221,0.7970745992160654,0.011379929170414646,0.022571920872069103,0.018404896966746992
Tgfb2,1.2089594027165886,1.022649965601669,1.0551683634723983,0.854251475155561,0.34552020933756517,0.16785653879775086,0.19170332060397527
Mybl2,0.04974413737662283,0.030288937443073215,0.03000440138323732,0.010933324772436075,0.0397426718401219,0.019810871798494938,0.020002933459869122
Col4a2,3.2261727898885746,2.7302757668418547,2.515043830889678,2.017153780520751,1.2172305048361192,0.7145427932167632,0.5036287554858171
C3ar1,0.08989579946741286,0.08317188678300473,0.011206522510887544,0.007712314937925869,0.07806282450558559,0.07440852445857501,4.8724010591952e-05
Sgms2,1.2559556362646354,0.5186534461699084,1.4368931282696673,0.7065916306150742,0.5723687871586755,0.1906086555896065,0.763482850351071
Timp3,0.04219233709369406,0.11645493486411133,0.15679762261245073,0.21281133481382497,0.18629002217316573,0.10263355486951381,0.06572799980061378
Lgals3,1.465334604967697,0.5476528597806488,2.2055196380288606,1.308641393978815,0.12519478979553328,0.7701543690388576,0.8644624332947777
Nrp1,8.928076110033716,7.209059530541455,6.616940508185707,4.865779464560871,4.011717264142553,2.3232171638785846,1.7110667462652083
Comp,0.3654065839802661,0.37042964629884717,0.029275976354595886,0.021323338204013494,0.4001401207823826,0.4037609414688684,0.0037788195482363895
Xbp1,0.08922351969486945,0.04510384968866841,0.048522572479824895,0.004053260103345428,0.08327312765548905,0.04146497938396934,0.0425721804404445
Sgcd,16.543870242323262,15.616127524165236,11.015174927262258,10.029119087776152,6.530240726681036,5.61697485728456,0.947585514616337
Cd38,0.5197095216037704,0.031101874073500298,0.5614940119182349,0.07404389225425716,0.4250412992203143,0.05131610843822473,0.47606638326697415
Nkx6-1,0.07681517602457964,0.05905918033628358,0.10444897450375076,0.08742506947856246,0.013560118938499559,0.027142091176405887,0.014882258218269013
E2f1,0.2263606080330259,0.17548943041585885,0.05638302039308946,0.007055508688877303,0.22731994629812705,0.17461729806946436,0.05186540117612399
Hey2,0.41960039950877276,0.17402095093875114,0.3653399856070612,0.12316710429103687,0.29534198356160485,0.05040508716598601,0.24054099598752685
Il15,1.0722118329416432,1.2347208641246268,1.5669352791119675,1.7601819385903466,0.6697583635568158,0.5189629739428555,0.1754054409440724
Ereg,0.10151572324857579,0.07910159782711802,0.02818647764368053,0.007673345345303586,0.0926074236161361,0.06885197117325795,0.01782121748337635
Lyar,0.1008191299078957,0.08141030854906794,0.0683283959313818,0.049903636713675224,0.05081542312539782,0.0322627901718589,0.01866938634187765
Sntb1,2.95087294320107,1.9348037772336835,0.10640046766001304,0.9331188873600833,3.873105303566117,2.8693860483225926,1.047942846264735
Tpm2,0.26125019106689457,0.2396513709987281,0.1742909847104588,0.15321576226534586,0.1042282039468643,0.08587171305813664,0.019252663888093387
Junb,0.033003777276236164,0.033223300415104726,0.02656233179250993,0.027841840973892428,0.010029083427547767,0.005902043702589375,0.0007714679689163924
Ptch1,0.30951110911153823,1.8118140547167503,0.5784624534103419,0.8484361902699845,0.5374166658465294,0.9736350688845055,1.4406084669102708
Msr1,0.04727376690531965,0.013512411618962583,0.010388108766371801,0.020390598803003666,0.07322042815321142,0.038097602718130494,0.03600424178701439
Fbn2,13.071504870274467,10.086655604708342,9.650390120336576,6.596976516943541,6.49977000399736,3.5277202670450225,3.0390022725538515
Sele,2.4981033668904793,2.2941231614889843,1.3808187164171204,1.186041653799663,1.2898035980553912,1.0946464809112486,0.14396431281377106
Lama1,0.45337393046189794,0.2454438034453522,0.9653810940451217,0.2411307324956436,0.22367783770179717,0.4663131433110238,0.7313607863188124
Nfya,0.05028443369548631,0.4308123483478654,0.14327432776627047,0.3298259527644812,0.3798199376929962,0.09915291651781269,0.4743800897783682
Hey1,0.001871824674727723,6.715066014319551e-05,0.0028287215352959627,0.0007806264262770249,0.000486842284629916,0.0019221876881423878,0.0016451911706917874
Vav3,6.7464513646792135,4.852101536824258,5.535999738205719,3.6202333598650274,3.1111436977290583,1.2253953279487186,1.9185899593876314
Has2,0.7139362356470643,0.574297445717265,0.733136564427727,0.5903032174283515,0.10292871571398146,0.03294465415004548,0.1399461653711922
E2f2,0.3424086656396812,0.19106344795411692,0.29315249575455316,0.1449865964281235,0.19393749998792123,0.04362326638214877,0.14701974173845808
Ccr7,0.00391073746021864,0.0031625964086549395,0.005282329514870523,0.0017003206547222935,0.004806239713291227,0.0012695727027833793,0.006438547821766121
Vcan,8.614703288541325,7.452923148373303,3.6740043381394236,2.5009153754210773,6.133544420686561,4.988568879750216,1.1584191441237432
Igfbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atf4,0.006026476323276593,0.0036429330838837976,0.0008874895088566621,0.0009466554307359353,0.00879882453249554,0.006719563233775587,0.0019355723760485226
Egfr,1.904274928376062,1.0957883191109707,3.048536940949509,2.227840493934707,0.3380954850128422,1.1075404447834714,0.7722227535523257
Arid4b,0.17017292803346495,0.1056238543700803,0.06118365823552017,0.004525542040163099,0.18143974978438684,0.11676525794717671,0.06657668354719594
Prkcb,1.1205445242022438,0.6349975069416492,0.8959014575688224,0.42628664456267523,0.6769697797760542,0.21135082263342655,0.4503236150359441
Postn,1.213221985777168,2.372455448992029,1.648511112335093,2.789894934620424,1.5865834355792892,0.42590658777989415,1.1431970052283875
