,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Gm14618,-7.2140247e-06,6.8377703e-06,7.853843e-06,-5.3085387e-08,4.8521906e-07,1.3364479e-05,6.2920153e-06
B4galnt2,2.7066097e-05,7.3658302e-06,0.00016097724,3.4254976e-05,0.00018824823,0.00016772561,0.00019429065
Msgn1,-1.7511396e-05,7.851602e-06,-8.978255e-06,-9.5943105e-06,-2.6424023e-05,-1.1417869e-06,-1.8522813e-05
Foxg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppbp,6.464869e-05,-1.3515353e-05,7.362664e-05,5.1267445e-05,0.0001641959,6.142259e-05,0.00015208125
Hmg20a,0.0012722611,-6.258488e-05,0.0005835891,0.001208663,0.00190413,0.0005193949,0.0018342137
Gm4924,-0.0005879402,-7.033348e-06,-0.0006414056,-0.00060606,-0.0011950731,-0.0006517172,-0.0012184381
Nfkb2,2.5257468e-06,-6.2584877e-06,7.934868e-06,-3.7178397e-06,1.0207295e-05,5.811453e-07,2.7939677e-06
Clec4f,-1.3357028e-05,-9.9428e-06,-1.2479722e-06,-2.2986904e-05,-1.3735145e-05,-1.1203811e-05,-2.322346e-05
Caln1,0.00072956085,0.001150012,0.0014024377,0.0018869638,0.0022240877,0.002574563,0.0034041405
Cfap69,-0.0018011332,-6.2584877e-07,-9.712577e-05,-0.0017949343,-0.0018907189,-8.8989735e-05,-0.001879096
Trpm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samd5,0.0071992874,-0.0007662177,0.008426547,0.006456673,0.015648842,0.007617831,0.014867902
Pakap,0.0025953054,0.0002874136,0.0010291934,0.002863884,0.0035886765,0.0012881756,0.0038427114
Zfp326,-0.00018543005,-1.4603138e-05,-8.928776e-05,-0.00020515919,-0.00029873848,-9.506941e-05,-0.00029981136
Zp2,9.806827e-07,-1.8626451e-09,2.7287751e-06,9.452924e-07,3.744848e-06,2.7250499e-06,3.742054e-06
Zfp646,0.0001848638,2.592802e-05,0.00013494492,0.00021055341,0.00034424663,0.00016149879,0.00037062168
Fmo6,3.9488077e-07,1.4878809e-05,-8.97795e-06,1.3224781e-05,-9.9129975e-06,5.736947e-06,4.1276217e-06
Bank1,0.00051467866,-0.00014010072,0.0004342422,0.00037380308,0.0009617582,0.00029662997,0.0008217022
Cd38,3.9514154e-05,3.3732504e-05,7.734075e-05,7.3459e-05,0.00011263788,0.000109959394,0.00014604256
Zbtb12,0.000302732,-2.3141503e-05,9.11206e-05,0.00027869642,0.00039079785,7.019937e-05,0.00036913157
Klf2,-1.0728836e-06,1.8626451e-08,-5.066395e-06,-1.0728836e-06,-5.096197e-06,-5.0459057e-06,-5.096197e-06
Myrfl,4.979968e-05,6.5118074e-06,-2.066791e-05,5.696714e-05,3.4332275e-05,-1.4737248e-05,4.10527e-05
Mag,-0.00029085204,8.158386e-06,-0.00012496114,-0.000279814,-0.00041774288,-0.00012191385,-0.00040775537
Crocc2,3.9493665e-05,1.9579194e-05,-3.770739e-05,5.4065138e-05,8.422881e-06,-1.4537945e-05,2.6408583e-05
Tmem132b,0.0013952255,-5.3703785e-05,0.005186498,0.001339972,0.0063596964,0.0051168203,0.006280899
