gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Anxa1,5.7056546e-05,3.889762e-05,0.6699954213604096,1,1
Lef1,0.00019428134,0.00012651086,0.6478389589092333,0,0
Slc7a5,0.00030349195,0.00019456446,0.6389806364339023,1,1
Ptch1,0.00263983,0.0016348362,0.6190615071776676,1,0
Mest,0.0005534589,0.00033161044,0.5980793887518082,1,0
Itgb3,0.00080379844,0.0004682392,0.5818092788549639,0,0
Prkcb,0.0035440922,0.002039194,0.5752160691335474,1,1
Adgre1,0.00044733286,0.0002574958,0.5743406807165551,1,1
Ccnd2,0.0012000799,0.0006816387,0.5675215279183341,1,1
Edil3,0.012724638,0.007178545,0.5641009904572172,1,1
Nrp1,0.008864939,0.0049915314,0.5630008733423498,0,0
Ssrp1,0.00013703108,7.605553e-05,0.5510029335422139,1,0
Col11a1,0.003911376,0.002155304,0.5508938813651857,1,1
Smad1,0.0008570254,0.00046819448,0.545665058400369,1,0
Nfkb1,0.00027123094,0.00014835596,0.5449636253689606,1,0
Khsrp,0.00030082464,0.00016313791,0.5405056061691981,0,0
Tgfbr3,0.0015975982,0.00083585083,0.5228648637287343,0,0
Nrcam,0.03338933,0.017239094,0.5162900157021508,1,1
Atf6,0.00046426058,0.00023698807,0.5093663211269693,1,0
Pitx2,0.00030107796,0.00015240908,0.5045355841253695,1,0
Fbln5,0.00011057034,5.54882e-05,0.49733827108530815,0,0
E2f4,0.00016602874,8.21054e-05,0.4915645056054425,1,0
Atf3,5.10104e-05,2.5391579e-05,0.4882019557626936,0,0
Tcf7l2,0.007817745,0.0036998093,0.47319733537799236,1,1
Lama1,0.0018842518,0.0008779466,0.46569195690464266,0,0
Wnt6,0.00015661493,7.28108e-05,0.46195369943697595,0,1
Sla,3.694743e-05,1.7046928e-05,0.4492248355158703,0,1
Adam12,0.006205201,0.0027861,0.44892197336180384,1,1
Has2,0.00028645247,0.000127621,0.44397252874536086,1,1
Slit2,0.01564908,0.0065972805,0.4215493147638862,0,1
Il1b,7.263385e-05,3.015995e-05,0.40959354970573997,1,1
Rbpj,0.00018757582,7.271767e-05,0.38561502741974024,1,0
Smad7,0.00017115474,6.508827e-05,0.37808003427614023,0,1
Ddit3,0.0006594658,0.00024473667,0.37055161675290377,0,1
Klf10,0.00015966594,5.9440732e-05,0.36996473552515236,0,0
Marco,2.9951334e-06,1.4603138e-06,0.3655231637571852,1,0
Dcn,0.00036136806,0.00013130158,0.3623431380790017,1,1
Vcam1,0.0013065636,0.0004669875,0.3571432395334346,1,1
Tcf7,5.826354e-06,2.413988e-06,0.35362771986334146,0,1
Olr1,0.00014276896,5.0528906e-05,0.3514590771192892,1,1
Pde4b,0.008716822,0.0030409098,0.348815311897857,1,1
Ptpre,0.0021935552,0.00067301095,0.3066730561163374,1,0
Csf1,0.00011393428,3.476441e-05,0.3024720736058903,1,1
Krt18,1.4882535e-05,4.68269e-06,0.29483265738120523,0,0
Lyn,0.00031977892,9.454787e-05,0.29474464843263387,1,1
Mep1a,0.00025532022,7.481128e-05,0.2918664785790212,0,0
Atf1,0.00020438433,5.9843063e-05,0.2913711235905875,0,0
Col3a1,0.0007762015,0.00022110343,0.2844866228384788,1,0
Tpm2,4.10825e-05,1.1771917e-05,0.27973426008435814,0,1
Col1a1,2.2605062e-05,6.482005e-06,0.27460232894113984,1,0
Ncor2,0.001947701,0.0005322099,0.27311008718115304,0,0
Hoxc10,0.00016576052,4.5210123e-05,0.27110807162270784,1,1
Hey2,0.00020040572,5.325675e-05,0.2644252109622308,1,0
Trp53,9.2446804e-05,2.4437904e-05,0.2615167448637409,1,1
Plg,0.00011514127,2.913922e-05,0.2508946216964908,1,1
Ppard,0.0009650588,0.00022894144,0.2369849951162393,1,1
Hgf,0.0001596883,3.6980957e-05,0.23014094367791557,1,0
Col6a2,5.081296e-05,1.1816621e-05,0.2280630367382987,1,1
Sgms2,0.00016253442,3.7051737e-05,0.2265684312819283,1,0
Emp1,0.00015992671,3.6291778e-05,0.22551742964235086,1,0
Eng,0.00018690526,4.1417778e-05,0.2204184065948979,1,0
Klf6,0.0002772212,6.0349703e-05,0.2169126687685913,1,1
Fbln2,0.0004221797,8.870661e-05,0.2096192468589585,1,1
Tgfb2,0.0003722608,7.468462e-05,0.20008696332430298,1,0
Ecm1,1.6391277e-06,4.7683716e-07,0.180679835992779,1,1
Adcy2,0.0036144257,0.00064373016,0.1780509996374701,1,1
Snai2,7.715076e-06,1.5161932e-06,0.17397360619689375,1,0
Rara,0.00078076124,0.00013560057,0.17345522272247726,0,0
Col1a2,0.0010294169,0.00017374754,0.1686186823993279,1,1
Scg2,0.00036785007,6.0610473e-05,0.16432279110045986,1,0
C3ar1,1.0915101e-05,1.7769635e-06,0.1491354122806009,1,0
Gp1ba,1.8397346e-05,2.849847e-06,0.14691942908065878,1,1
Dapp1,0.00036908686,5.3696334e-05,0.14509116589548735,0,0
Timp3,0.000488773,7.0258975e-05,0.1434521196554322,0,1
Rasgrp1,0.0006637573,9.046495e-05,0.1360871855036417,1,0
Cdh11,0.0063793063,0.0008595586,0.13472058543647034,0,0
Cebpb,1.623109e-05,2.2826716e-06,0.13247401064006978,0,1
Col4a2,0.0025810301,0.00033202767,0.12859171161482588,0,0
