,0
Bank1,0.11582189
Cd38,0.03456822
Zbtb12,0.27814814
Klf2,0.022414802
Myrfl,0.045027945
Mag,0.113861166
Crocc2,0.047728263
Tmem132b,0.66011983
Zic2,0.066341035
Irf2,0.30463618
Car6,0.002752975
Gm10130,0.10686056
Zfp936,0.036058486
Col8a1,0.1691917
Ccdc162,0.1237048
Relb,0.22063123
Smoc1,0.53291726
Pax3,0.072953224
Ube2o,0.7629089
Pip5k1b,0.39794815
Mptx1,0.00064250804
Zfp335,0.36447737
Keg1,0.023879059
Panx3,0.006057569
Lcor,0.869718
A430033K04Rik,0.69271255
Zfp11,0.26605996
Ebf4,0.58291787
Gm21994,0.020522974
Cntnap5a,0.6225015
Cxcl13,0.01389766
Crygd,0.0026241348
Xcr1,0.004306693
Rgs22,0.19833405
Hsf1,0.5607567
Zfp574,0.3182186
Ptprb,0.10885905
Jhy,0.082726195
A2m,0.2258528
Dgkg,0.067331664
Ckm,0.058380466
Zfp36l2,0.06805246
Fev,0.021066992
Gabrg3,0.56694627
Prg2,0.018302396
Nkx6-1,0.44043106
Cadm2,1.0365667
Olfr1437,0.00794219
Zfp219,0.3558907
Nts,0.07947079
S100a3,0.004885332
Trim9,0.7128949
Tnnc1,0.09559527
Msc,0.048190344
Zfp395,0.19544433
Sdk1,0.8645464
Nccrp1,0.021248428
Cx3cr1,0.19661766
Snai1,0.043297075
Ubtf,0.4502359
Etv5,0.06502785
E2f1,0.077133544
Irf3,0.36078373
Zfp592,0.6101193
Kcnq3,0.86756504
Eya4,0.13622248
Klk7,0.027889704
Alb,0.27593428
Sox17,0.032392636
Cldn6,0.014280625
Tchh,0.025051538
Foxb1,0.10762765
Myo16,0.7504935
Cxcr2,0.004696381
Pdzrn3,0.2339594
Ly6g,0.0006522686
Usp53,0.6319927
Zfp296,0.029576922
Hey2,0.06366779
Kcnh1,0.20553839
Zfp683,0.0043767076
Rimbp2,0.63019174
2210017I01Rik,0.0
Alx1,0.038977683
Ncf2,0.09612678
Nxph1,0.6232338
Gm12606,0.0117708985
Zfp113,0.3985927
Il15,0.03603576
Rab27b,0.5771083
Ifng,0.003159025
Hoxa9,0.45631745
Hpse2,0.13186699
Tubb1,0.0020688875
Elf5,0.010291147
Serpina1a,0.055191197
Cd300lf,0.053466715
Tbx4,0.030441677
Ereg,0.020592442
Ovol2,0.010541652
Etv1,0.1041684
Trpm2,0.3275739
Ins1,0.015681608
Krt17,0.0139402505
