marker,marker_type,abs_change
Tbx20,Atrial,0.0005738735
Ttn,Ventricular,0.0005327463
Slc8a1,Ventricular,0.0005326569
Erbb4,Atrial,0.0005235523
Kcnh7,Atrial,0.0004788041
Myl4,Atrial,0.00047650933
Tnni1,Ventricular,0.00047519803
Nexn,Ventricular,0.00047269464
Ctnna3,Ventricular,0.00043690205
Ccdc141,Atrial,0.00043028593
