marker,marker_type,abs_change
Erbb4,Atrial,5.580485e-05
Esrrg,Ventricular,5.1945448e-05
Slit3,Atrial,4.696846e-05
Slc8a1,Ventricular,4.5329332e-05
Actn2,Ventricular,4.211068e-05
Cacna1c,Ventricular,4.0382147e-05
Plcb1,Atrial,3.990531e-05
Prkg1,Atrial,3.5978854e-05
Mpped2,Ventricular,3.376603e-05
Shox2,Atrial,3.3013523e-05
