marker,marker_type,abs_change
Dsp,Ventricular,0.0010075271
Kcnq3,Atrial,0.0007144138
Tmem163,Atrial,0.00067198277
Mpped2,Ventricular,0.0006710887
Angpt1,Atrial,0.00057406723
Myh6,Atrial,0.0005596876
Vsnl1,Atrial,0.0005145073
Igfbp5,Atrial,0.0004927814
Cacna1d,Atrial,0.000491187
Rgs6,Atrial,0.00047701597
