marker,marker_type,abs_change
Tmem163,Atrial,0.0018895566
Tnni1,Ventricular,0.0013313591
Dkk3,Atrial,0.0011870265
Angpt1,Atrial,0.0011284202
Kcnq3,Atrial,0.0011201054
Mast4,Atrial,0.0011181235
Dsp,Ventricular,0.0010684133
Rgs6,Atrial,0.0010429025
Myl4,Atrial,0.0009035766
Zfpm2,Ventricular,0.0008458793
