marker,marker_type,abs_change
Dsp,Ventricular,0.00020992756
Myl7,Atrial,0.00020685792
Rgs6,Atrial,0.00018155575
Myh7,Ventricular,0.00017893314
Esrrg,Ventricular,0.00016388297
Dkk3,Atrial,0.00016261637
Slc8a1,Ventricular,0.00013780594
Meis2,Ventricular,0.00013509393
Ctnna3,Ventricular,0.00013297796
Tbx5,Atrial,0.00013284385
