marker,marker_type,abs_change
Myocd,Ventricular,0.00029435754
Tnni1,Ventricular,0.00024789572
Myl7,Atrial,0.0002387166
Ttn,Ventricular,0.0002233386
Actn2,Ventricular,0.00020816922
Mpped2,Ventricular,0.00018262863
Erbb4,Atrial,0.00017936528
Nexn,Ventricular,0.00016018748
Cacna1c,Ventricular,0.00015747547
Cacna1d,Atrial,0.00015117228
