marker,marker_type,abs_change
Myh6,Atrial,9.3996525e-05
Kcnh7,Atrial,9.173155e-05
Tnni1,Ventricular,7.209182e-05
Tmem163,Atrial,7.173419e-05
Palld,Ventricular,6.425381e-05
Myl4,Atrial,6.0915947e-05
Ttn,Ventricular,5.978346e-05
Angpt1,Atrial,5.8799982e-05
Mpped2,Ventricular,5.5611134e-05
Trim55,Ventricular,5.3346157e-05
