marker,marker_type,abs_change
Nexn,Ventricular,5.7935715e-05
Ttn,Ventricular,5.5491924e-05
Sox5,Atrial,4.7773123e-05
Tnni1,Ventricular,4.6670437e-05
Mast4,Atrial,4.416704e-05
Ctnna3,Ventricular,4.181266e-05
Ddc,Ventricular,3.9100647e-05
Kcnh7,Atrial,3.8444996e-05
Myh6,Atrial,3.629923e-05
Myocd,Ventricular,3.6120415e-05
