marker,marker_type,abs_change
Myh6,Atrial,0.0011734366
Tnni1,Ventricular,0.0011093616
Myh7,Ventricular,0.0010789037
Actn2,Ventricular,0.001047641
Trim55,Ventricular,0.0009572208
Myocd,Ventricular,0.000902459
Cacna1c,Ventricular,0.0008535385
Dsp,Ventricular,0.00082618
Ttn,Ventricular,0.00080925226
Sorbs2,Ventricular,0.0007914305
