marker,marker_type,abs_change
Rgs6,Atrial,0.00096538663
Dsp,Ventricular,0.0007944107
Esr1,Atrial,0.0006187409
Mast4,Atrial,0.0005876422
Mybpc3,Ventricular,0.0005579591
Esrrg,Ventricular,0.00050744414
Zfpm2,Ventricular,0.00050497055
Arhgap31,Atrial,0.0004990101
Myl2,Ventricular,0.00049337745
Tnni1,Ventricular,0.000479877
