marker,marker_type,abs_change
Dsp,Ventricular,0.000101327896
Erbb4,Atrial,8.876622e-05
Rgs6,Atrial,7.805228e-05
Esrrg,Ventricular,7.6279044e-05
Myl2,Ventricular,7.465482e-05
Shox2,Atrial,7.367134e-05
Tmem163,Atrial,6.9603324e-05
Tnni1,Ventricular,5.4866076e-05
Myl3,Ventricular,5.249679e-05
Myl4,Atrial,5.054474e-05
