,Gli2_Gli1_Gli3,Gli2_Gli3,Gli2_Gli1,Gli1_Gli3,Gli2,Gli3,Gli1
Col11a1,0.6488826162048044,0.4526295508660646,0.5112353958237504,0.3183196496168228,0.31845468639937724,0.13153842690811304,0.1871348945823603
Fmod,0.04215447265795835,0.08905708000177709,0.004783570135744274,0.005799340260415342,0.05410749182479112,0.03714058101518951,0.04473523761044324
Slc7a1,2.777168422546956,1.1230671612304022,3.9763857330886756,0.4378171237318637,2.2760436385437,1.1449049671705607,1.6370259705637336
Pitx2,0.10495640526116859,0.4835968484098516,0.22202046162464548,0.5044194382218312,0.6015937393542932,0.1140163779609938,0.3892082842116705
Itga2,2.007014008643592,2.6460240034335825,1.3307778507177952,0.10906433565432984,2.061452838081812,0.5526984606581092,0.7476851959435138
Tgfb2,1.9466051595132268,0.7999106093729631,0.9318947995818561,2.1496864758394145,0.20672963482587886,1.01199025051707,1.1296518258868269
Mybl2,2.765962492883683,4.251001150324923,0.17283505623760673,1.0943498916085033,1.6401499621454252,2.6352780846972905,1.5244503067022515
Col4a2,1.9605590743799233,0.932515500804346,0.8875156870696362,2.1441935264349583,0.17915105921930094,1.1410504965964785,1.0415540837407071
C3ar1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgms2,1.2955305921564158,1.4522251740680048,0.7845070000753342,0.24741795162421618,0.9773305678560684,0.40766846746069635,0.18912813691670394
Timp3,0.23922963260361788,0.330940671785644,0.33874244479630017,0.1752853741114802,0.42170025748126544,0.08615463867893965,0.0840310280057327
Lgals3,0.42404060233010643,0.5648312763744069,0.09822078294619188,0.3548091780343744,0.04375438977269192,0.53470379445848,0.17603725681976065
Nrp1,3.2045837881473678,1.4468578042507079,3.9757588815529954,0.9812929892086493,2.2628596199606754,0.7492482467781365,1.6821985900914143
Comp,0.20962213801543364,0.1472439845167008,0.06594334972291524,0.33017202434108867,0.13276517504568505,0.27287235538592564,0.061166242218873096
Xbp1,0.00015350527474444393,1.918815987959531e-05,0.0,0.00044132765362294004,0.0003645750312738331,0.00013431711486484863,0.00039655529416289314
Sgcd,2.3009535694321896,2.103247148473411,0.9454619072697568,1.529104377345474,0.7482143407110377,1.3294589221560575,0.19546919296446352
Cd38,1.735727262854546,1.541336892047077,1.4335186137676565,0.5314643055674728,1.2136836740438501,0.3530343792221311,0.2041126323099741
Nkx6-1,0.00013741441662608558,0.00011778378097454006,1.963063038198823e-05,0.00013741441662608558,0.0,0.00011778378097454006,1.963063038198823e-05
E2f1,0.6052214233312475,0.007547616207728719,0.004090320883487548,1.226317196570751,0.6241391543537971,0.6049657777654327,0.6295929196165542
Hey2,0.16541769582400698,0.10075813818198,0.11584309539989981,0.10655029295197499,0.05674166141249738,0.04310962296604754,0.05773627483924205
Il15,0.423983334030797,0.9808516399326024,0.3863833155024507,0.64795411371534,0.9838954476429589,0.022454844859392815,0.6650470599122628
Ereg,0.007230352251918047,0.01714648055099894,0.004696314858049262,0.003034775306144748,0.01225290580007297,0.0053184437947906334,0.0075869383671920325
Lyar,0.978636026270697,0.23829938125762692,0.22645730216233673,1.476145047276754,0.515467763824652,0.7435490658406162,0.7332835547218682
Sntb1,0.779550583347023,0.41631319725834876,0.4071547275176796,0.7550030581870014,0.044523084345346776,0.3834869710248124,0.3684296134130773
Tpm2,0.3193944042014704,0.023771619042987115,0.3267217576207935,0.35269248190530006,0.027804780804367286,0.004131098004535752,0.36078551303124906
Junb,0.0006757291606654145,0.0007997161701033018,0.0,0.0006881278599450778,0.0,0.0008059155197431334,0.0
Ptch1,0.31113444525272743,0.40005895917066614,0.019067093208882377,0.27155409942022607,0.07202203297655402,0.3457315419524588,0.03387863302934095
