,0
404,Zfp697
405,Creb3l2
406,Rbpj
407,Sox8
408,Pou3f1
409,Fezf1
410,Dlx1
411,Zfp236
412,Zfp952
413,Creb3l1
414,Snai1
415,Zscan4f
416,Cux2
417,Mynn
418,Zfp457
419,Tcf21
420,Gsx2
421,Jdp2
422,Prrxl1
423,Zfp941
424,Pax7
425,Zfp61
426,Bnc2
427,Spz1
428,Sox10
429,Zfp212
430,Zfp354b
431,Hsf2
432,Zfp526
433,Nkx2-5
434,Crebl2
435,Zkscan7
436,Zfp362
437,Zfp764
438,Cebpe
439,Clock
440,Zfp410
441,Evx2
442,Zkscan4
443,Zfp966
444,Rarb
445,Gm2007
446,Insm1
447,Nr1h4
448,Hbp1
449,Klf16
450,Nkx3-2
451,Rest
452,Tfdp1
453,Irf1
454,Gata5
455,Zfp575
456,Ahctf1
457,Gm14443
458,Foxj1
459,Gm44973
460,Nfatc2
461,Hoxb13
462,Zfp971
463,Hey2
464,Prrx1
465,Irf9
466,Nrf1
467,Stat6
468,Zfp384
469,Sox11
470,D3Ertd254e
471,Mxi1
472,Foxb1
473,Zbtb39
474,Atf2
475,Tead1
476,Nr2e3
477,Zfp931
478,Zfp786
479,Zfp81
480,Dlx5
481,Arntl
482,Zfp945
483,Tfap2a
484,Foxo1
485,Prdm6
486,Zfp687
487,Grhl3
488,Foxk2
489,Mlxip
490,Hnf4g
491,Meox1
492,Foxg1
493,Myrf
494,Ovol2
495,Ebf1
496,E2f7
497,Zfp444
498,Zfp759
499,Zfp683
500,Zfp566
501,Irx6
502,Atf1
503,Zfp688
504,Zkscan14
505,Usf1
506,Zfp980
507,Zfp707
508,Lhx3
509,Rora
510,Zfp955a
511,Mlxipl
512,Arid3a
513,Zfp958
514,Sox13
515,Tbx19
516,Xbp1
517,Sp6
518,Zfp760
519,Otx2
520,Sp1
521,Neurog3
522,Zfp46
523,Dlx2
524,Zfp964
525,Gm4767
526,Hmx2
527,Rfx3
528,Zfp131
529,Zfp41
530,Klf15
531,Zfp874a
532,Gm3604
533,Zbtb6
534,Foxf1
535,Tfcp2
536,Zfp946
537,Nr1h3
538,Zfp57
539,Zbtb40
540,Foxl2
541,Zfp975
542,Crx
543,Ascl2
544,Zfp455
545,Zfp622
546,Tbx6
547,Gm2004
548,Maz
549,Tead4
550,Tcf3
551,Srebf1
552,Zbtb7c
553,Dmrt2
554,Hesx1
555,Zfp266
556,Zfp97
557,Cebpa
558,Nfil3
559,Homez
560,Zfp652
561,Figla
562,Nfic
563,Zfp367
564,Gm10778
565,Etv1
566,Zfp563
567,Sox1
568,Nkx2-1
569,Zfp523
570,Arid3b
571,E2f2
572,Nr1d2
573,Hmga1
574,Zfp646
575,Lhx1
576,Sall1
577,Mbd2
578,Mybl2
579,Nfx1
580,E2f1
581,Zfp248
582,Tsc22d4
583,Gm14434
584,Pou4f1
585,Zfp407
586,Gabpb1
587,Foxh1
588,Ctcfl
589,Klf17
590,Zfp341
591,Fli1
592,Obox3
593,Myb
594,Zhx3
595,Smad7
596,Scrt2
597,Hoxc4
598,Mafa
599,Gm4631
600,Hivep3
601,Ferd3l
602,Zfp866
603,Zfp35
604,Rax
605,Prdm14
606,Zfp870
607,Zfp78
608,Lmx1a
609,Prdm15
610,Anxa1
611,Zfp276
612,Gatad2a
613,Zfp712
614,Zfp768
615,Tcf4
616,Lhx5
617,Bcl11a
618,Pitx1
619,Hoxa4
620,Pura
621,Zfp184
622,Nkx2-3
623,Bhlhe41
624,Gsc2
625,Zfp91
626,Zbtb26
627,Foxn3
628,Tbx5
629,Rex2
630,Tcf24
631,Tfcp2l1
632,Six2
633,Zfp72
634,Ovol1
635,Pax6
636,Zfp872
637,Adnp
638,Mafk
639,Nkx6-1
640,9130019O22Rik
641,Gm14412
642,Zfp607a
643,Gatad1
644,Lin28a
645,Gm7145
646,Rxrg
647,Zfp352
648,Zfp937
649,Nkx2-9
650,Neurog2
651,Ncor2
652,Hnf4a
653,Zeb1
654,Rorb
655,Zfp160
656,Bhlhe22
657,Zfp263
658,Gli1
659,Zfp189
660,Elf5
661,Gm28168
662,Zfp219
663,Vezf1
664,Tcf15
665,Rela
666,Gtf2ird1
667,Zfp820
668,Gm2026
669,Sox14
670,Irx4
671,Fos
672,Hoxc5
673,Tfap2b
674,Zfp143
675,Zfp27
676,Dmbx1
677,Olig1
678,Foxj2
679,Epas1
680,Npas2
681,Tlx3
682,Nr5a1
683,Pitx3
684,E2f3
685,Trps1
686,Nr5a2
687,Rfx7
688,Zfp532
689,Cebpg
690,Ddit3
691,Zfp335
692,Dmrtb1
693,Sox4
694,Ppara
695,Nr4a1
696,Neurod1
697,Gcm1
698,Xpa
699,Foxe3
700,Rbak
701,Hsf4
702,Nr3c1
703,Zfp639
704,Nr1h5
705,Hoxc13
706,Mga
707,Zfp790
708,Prox1
709,Zkscan16
710,Zfp74
