pathway,pred_E18.25_pval,real_E18.0_pval,real_E18.5_pval,real_E18.25_pval,pred_E18.25_neg_log_pval,real_E18.0_neg_log_pval,real_E18.5_neg_log_pval,real_E18.25_neg_log_pval
SMALL MOLECULE METABOLIC PROCESS,0.04422333392077445,6.571974770676547e-05,0.006950659609226476,0.12014589982453198,1.354348519812108,4.1823041124580635,2.1579739794308552,0.9202910456171732
SKELETAL MUSCLE CONTRACTION,0.23370622237441008,0.0037622406330599253,0.6020437153888405,0.5297096703365436,0.6313297244631617,2.424553430405011,0.2203719727573713,0.2759620985473862
REGULATION OF RESPONSE TO STRESS,0.9344073833648961,0.0006136187598197437,0.00026332249273673187,0.667196914889477,0.02946373857289609,3.212101371416224,3.5795120423210975,0.17574597053814434
REGULATION OF DEFENSE RESPONSE,0.34583167429767725,0.0001950286950665155,0.00010313214427172357,0.15330917387652943,0.46113523274302787,3.7099014850876886,3.986605952523793,0.8144318565954115
ORGANIC ACID METABOLIC PROCESS,0.5438487117242532,0.0002874851168589592,0.00011516721966768685,0.0658686456102005,0.26452189589232633,3.541384633872914,3.93867111764289,1.1813212664213
MULTICELLULAR ORGANISMAL MOVEMENT,0.3552662623011652,0.010448218162679586,0.6691651048001543,0.5957187037479136,0.44944603313022985,1.9809577677440855,0.17446671443389938,0.2249587641667407
LIPID METABOLIC PROCESS,0.09167263235004208,1.707605878908781e-05,0.0005687192317756604,0.003018575680482505,1.0377602978450275,4.767612358685819,3.2451020854231882,2.5201979312221647
