time,reg_cluster,tgt_cluster,interaction_strength
8.0,0,0,0.0006591112481418343
8.0,0,1,0.00017179136270893775
8.0,0,2,0.0004250155459752515
8.0,0,3,0.00019856607615160838
8.0,1,0,0.00033747177083775826
8.0,1,1,8.234556976973222e-05
8.0,1,2,0.00020766076065613555
8.0,1,3,0.0001245456050860714
8.0,2,0,0.0002942899150905178
8.0,2,1,9.24308388169408e-05
8.0,2,2,0.00021267314503511242
8.0,2,3,0.00011394902088954545
8.0,3,0,0.00022241697159348253
8.0,3,1,7.599939700705e-05
8.0,3,2,0.0002073769462945839
8.0,3,3,0.00011999937926524794
9.0,0,0,0.0010075371138227427
9.0,0,1,0.00026591925363222957
9.0,0,2,0.000554889801230966
9.0,0,3,0.0003694230725330175
9.0,1,0,0.00028802088704792957
9.0,1,1,9.600826189621269e-05
9.0,1,2,0.00023538415932600732
9.0,1,3,0.00016317065598019394
9.0,2,0,0.0005100671271777367
9.0,2,1,0.00016733634424807481
9.0,2,2,0.0003066000491511538
9.0,2,3,0.00025484292761034967
9.0,3,0,0.00032902616150526224
9.0,3,1,0.00012912984569395718
9.0,3,2,0.00026848955518611015
9.0,3,3,0.00022124367403344186
10.0,0,0,0.0005552464910616829
10.0,0,1,0.0002593900387229611
10.0,0,2,0.0004678256956468823
10.0,0,3,0.00043332696434434135
10.0,1,0,0.0002825271222604152
10.0,1,1,0.0001109377591922496
10.0,1,2,0.00024421186056104884
10.0,1,3,0.00020519891416637852
10.0,2,0,0.0005356074340604269
10.0,2,1,0.0002532797237366419
10.0,2,2,0.0003803064517089645
10.0,2,3,0.0003557036074941276
10.0,3,0,0.0003689009703488743
10.0,3,1,0.00018788421322548548
10.0,3,2,0.0002993499690009756
10.0,3,3,0.0002521856175780312
11.0,0,0,0.00030506635117717837
11.0,0,1,0.00024631443450520734
11.0,0,2,0.00034131160595150643
11.0,0,3,0.00039746219769439396
11.0,1,0,0.00014934610196960265
11.0,1,1,0.00010357151539181152
11.0,1,2,0.0001627994095589652
11.0,1,3,0.00017030758907561405
11.0,2,0,0.00026709326739739403
11.0,2,1,0.00019929285181534656
11.0,2,2,0.00024953003756664064
11.0,2,3,0.0003704193557765306
11.0,3,0,0.0002190313698561172
11.0,3,1,0.0001493424723979762
11.0,3,2,0.00020582338878989947
11.0,3,3,0.00020426049655873835
12.0,0,0,0.00030166122684490766
12.0,0,1,0.00024892966288810406
12.0,0,2,0.0003318609335806891
12.0,0,3,0.00035853087931487425
12.0,1,0,0.00011523295883769117
12.0,1,1,9.149086655439075e-05
12.0,1,2,0.0001278526621978672
12.0,1,3,0.00013369272997818473
12.0,2,0,0.0002616603800106282
12.0,2,1,0.00021302397841404592
12.0,2,2,0.0002636641222879618
12.0,2,3,0.00029853558257651253
12.0,3,0,0.00018141532784326006
12.0,3,1,0.00014243101249633333
12.0,3,2,0.00019871287503655694
12.0,3,3,0.00017383238565785646
13.0,0,0,0.0002043517191223503
13.0,0,1,0.0001817595032667133
13.0,0,2,0.00020469228892940706
13.0,0,3,0.0003223529167118958
13.0,1,0,0.0001248213374817436
13.0,1,1,9.660287121908928e-05
13.0,1,2,0.00011143604638072666
13.0,1,3,0.0001579912844515272
13.0,2,0,0.00015114778446422434
13.0,2,1,0.00013811660115600706
13.0,2,2,0.00012370554021299364
13.0,2,3,0.0001988609682932875
13.0,3,0,0.00016270171477871296
13.0,3,1,0.00014205922393529966
13.0,3,2,0.00013098633791116323
13.0,3,3,0.00017657894782002864
