names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000058883,251680.0,27.589266,1.0220080789727634e-234,3.9878755241517224e-231
ENSMUSG00000066009,324294.0,4.7253504,2.7478029988830217e-218,5.360963650820775e-215
ENSMUSG00000074832,276356.0,4.0226073,1.7416376285237372e-70,2.2652900088332075e-67
ENSMUSG00000041420,384020.0,1.9023534,8.344430386646957e-60,8.139991842174107e-57
ENSMUSG00000101447,355802.0,2.6276588,1.7939753727534195e-59,1.4000183808967686e-56
ENSMUSG00000034981,383005.0,1.1910746,3.590395434962388e-59,2.3349538312038727e-56
ENSMUSG00000002996,382631.0,0.8497333,6.111218554128717e-59,3.4065678283157507e-56
ENSMUSG00000035357,381904.0,1.1255431,1.7131913070441396e-58,8.35609060010779e-56
ENSMUSG00000032228,381272.0,0.7004614,4.183730309149832e-58,1.8138795184780712e-55
ENSMUSG00000052305,14639.0,-6.767134,1.6282309796968548e-57,6.353357282777128e-55
ENSMUSG00000021318,379871.0,1.0423168,2.995191261730898e-57,1.0624760275703604e-54
ENSMUSG00000024548,379808.0,0.97234714,3.271248425003515e-57,1.0637009461969763e-54
ENSMUSG00000001435,378999.0,1.9540001,1.0120952421244434e-56,3.0378427959765984e-54
ENSMUSG00000033237,378710.0,0.72962725,1.513298575526192e-56,4.217779315502286e-54
ENSMUSG00000038679,377795.0,0.86485237,5.385448383803523e-56,1.4009346395734232e-53
ENSMUSG00000055639,377528.0,1.0413208,7.79059049132784e-56,1.8999302560725771e-53
ENSMUSG00000030551,377393.0,1.3463973,9.387625912469402e-56,1.9495507802299284e-53
ENSMUSG00000054640,377390.0,0.9521953,9.426594549804258e-56,1.9495507802299284e-53
ENSMUSG00000038721,373855.0,2.9398875,9.492943317367668e-56,1.9495507802299284e-53
ENSMUSG00000026826,377289.0,1.0794556,1.0835474057270804e-55,2.114000988573534e-53
ENSMUSG00000038580,376759.0,1.6713191,2.204121418650963e-55,4.0954675121790745e-53
ENSMUSG00000025255,376733.0,0.7185846,2.331400867741268e-55,4.135057357239285e-53
ENSMUSG00000019913,376444.0,1.2504159,3.468580410225352e-55,5.884522069869271e-53
ENSMUSG00000019899,376224.0,0.70199275,4.691472404827626e-55,7.627552218182249e-53
ENSMUSG00000029563,375941.0,1.494804,6.914950098232712e-55,1.0792854113321617e-52
ENSMUSG00000031097,19086.5,-5.120252,7.752583592709167e-55,1.1634838914904298e-52
ENSMUSG00000038156,375497.0,1.6180133,1.2693584296529234e-54,1.8344579972243362e-52
ENSMUSG00000024076,373532.0,2.1903076,2.255234391596463e-54,3.142830212860499e-52
ENSMUSG00000030064,374990.0,1.1230187,2.535204645185897e-54,3.411161560522541e-52
ENSMUSG00000040929,374855.0,0.96701765,3.0469521261018296e-54,3.96306906534978e-52
ENSMUSG00000069171,374814.0,1.8779732,3.221382723416119e-54,4.0547856086353855e-52
ENSMUSG00000022371,20210.0,-4.1363616,3.578620419010665e-54,4.363680273431129e-52
ENSMUSG00000089809,374652.0,1.2991047,4.016304048380498e-54,4.7489752717517286e-52
ENSMUSG00000026663,374606.0,0.6897103,4.275541597154129e-54,4.906812738851591e-52
ENSMUSG00000103428,20572.0,-4.6545978,5.779693459909663e-54,6.443532537305002e-52
ENSMUSG00000004661,373862.0,1.529517,1.1732013325198154e-53,1.2422855291581667e-51
ENSMUSG00000079277,373859.0,1.5949829,1.1779744894631513e-53,1.2422855291581667e-51
ENSMUSG00000027210,373753.0,1.3175588,1.3597071698821037e-53,1.3962045728631496e-51
ENSMUSG00000097071,373579.0,1.9119456,1.7204531939497364e-53,1.7213354776389412e-51
ENSMUSG00000038119,373385.0,0.8690638,2.2359947227246594e-53,2.1540302976544047e-51
ENSMUSG00000071064,373376.0,0.7507584,2.263332706402629e-53,2.1540302976544047e-51
ENSMUSG00000031712,373355.0,2.0406358,2.3245201961748134e-53,2.1595899536843148e-51
ENSMUSG00000075394,373291.0,1.4678314,2.538509141708404e-53,2.3035494583595795e-51
ENSMUSG00000004872,372395.0,1.578045,8.479033185691918e-53,7.519360793311333e-51
ENSMUSG00000026494,372376.0,1.3280021,8.699269041686326e-53,7.543232844591122e-51
ENSMUSG00000044647,372196.0,1.6096821,1.1076000548534648e-52,9.395337856604826e-51
ENSMUSG00000090015,372097.0,1.0303094,1.2648332279479556e-52,1.050080692649558e-50
ENSMUSG00000055917,371704.0,0.78195834,2.140754028706032e-52,1.740254629168945e-50
ENSMUSG00000045333,371525.0,1.0144567,2.7194932123233134e-52,2.1656045947929733e-50
ENSMUSG00000032452,370884.0,1.5073208,6.393828181526026e-52,4.970676994876982e-50
ENSMUSG00000003282,370872.0,0.80200875,6.496784385923272e-52,4.970676994876982e-50
ENSMUSG00000055737,370731.0,0.7540625,7.837529410362651e-52,5.8811614921605895e-50
ENSMUSG00000038056,370270.0,0.6111536,1.445844700679098e-51,1.0644690607641207e-49
ENSMUSG00000034488,370185.0,1.297269,1.6183753175100686e-51,1.1694260164674607e-49
ENSMUSG00000071856,370027.0,1.2046151,1.9953574062434267e-51,1.4156153816657912e-49
ENSMUSG00000060882,24961.0,-2.256751,2.1151044089862455e-51,1.4737745364043447e-49
ENSMUSG00000025089,369656.0,1.3500456,3.26013731233774e-51,2.2317641741652387e-49
ENSMUSG00000020542,369555.0,1.5137078,3.7256472134355544e-51,2.5064612804871608e-49
ENSMUSG00000021991,369490.0,0.98287886,4.0596559016490054e-51,2.684877513260071e-49
ENSMUSG00000032006,369389.0,1.305861,4.6387419999324706e-51,3.016728547289417e-49
ENSMUSG00000038151,369168.0,2.6760497,5.103424695175752e-51,3.2645185509140632e-49
ENSMUSG00000028289,369048.0,1.7200562,7.272298942671704e-51,4.576856528113707e-49
