names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000075046,274841.0,28.124088,0.0,0.0
ENSMUSG00000054325,287569.5,4.4292216,8.958646579573536e-249,1.7478319476747969e-245
ENSMUSG00000025163,278623.0,5.8563666,1.3024909022584924e-133,1.6941065002042124e-130
ENSMUSG00000073658,345292.0,1.924604,6.536780563116221e-121,6.376629439319874e-118
ENSMUSG00000059832,348278.5,3.4058485,5.276829754869887e-119,4.11803794070046e-116
ENSMUSG00000042092,349782.5,3.9609394,1.9328634773494959e-115,1.2570055481029554e-112
ENSMUSG00000102439,350402.0,3.4764955,2.217090473952999e-93,1.2358695756235145e-90
ENSMUSG00000030001,299016.0,3.202201,2.5669521268510635e-93,1.2520308998716061e-90
ENSMUSG00000068888,315308.5,3.0527987,1.5257556877595673e-89,6.614998548486479e-87
ENSMUSG00000028712,293045.0,4.120818,8.593647417221577e-88,3.3532412221998593e-85
ENSMUSG00000027912,346191.5,3.5485094,2.3101039193547364e-87,8.194568630292893e-85
ENSMUSG00000051176,258626.0,4.547099,2.429847620521111e-86,7.901054512727814e-84
ENSMUSG00000030651,269305.0,1.1098645,2.2194394174935404e-84,6.661732774661381e-82
ENSMUSG00000047586,350232.0,2.8573084,7.970766043546909e-81,2.22156636442286e-78
ENSMUSG00000027923,330221.0,3.7090242,5.4560622588957486e-80,1.4193036622807475e-77
ENSMUSG00000079186,258111.0,3.7461681,1.8395593588267702e-78,4.486225386338786e-76
ENSMUSG00000025431,285558.0,2.3172133,6.696645814382616e-75,1.5370771745718217e-72
ENSMUSG00000068890,341831.0,2.9905055,5.470231653752464e-72,1.1858246618301177e-69
ENSMUSG00000022598,344207.0,1.8207918,1.1707477707756532e-71,2.4043462113508415e-69
ENSMUSG00000061068,334688.5,1.8448751,3.056476413710642e-68,5.963185483149463e-66
ENSMUSG00000057609,352188.5,2.4410667,2.261372519382746e-65,4.2018455098245125e-63
ENSMUSG00000046676,283684.5,2.8732047,8.498797373876705e-65,1.507377606948496e-62
ENSMUSG00000044041,358584.0,2.961942,8.229123250502027e-63,1.3960886488460395e-60
ENSMUSG00000029343,327153.0,1.1855792,2.4503410174869257e-58,3.9838461042641603e-56
ENSMUSG00000029188,341894.5,0.7740421,1.5045875505393672e-57,2.3483602488818442e-55
ENSMUSG00000111840,258891.0,4.698326,8.021816237632072e-56,1.203889498432321e-53
ENSMUSG00000027913,320170.0,3.258634,3.1376305590199316e-55,4.39773395502488e-53
ENSMUSG00000050359,338752.0,2.1077275,3.155729132257731e-55,4.39773395502488e-53
ENSMUSG00000073608,346103.0,2.134677,3.809181026475634e-55,5.125318746657905e-53
ENSMUSG00000032452,20038.0,-3.200209,6.915436423749688e-55,8.99467764182376e-53
ENSMUSG00000022097,369683.0,1.8897841,7.507270910080976e-55,9.449474545527733e-53
ENSMUSG00000002996,24622.0,-1.1337452,3.3064770849326092e-52,4.0318354954397004e-50
ENSMUSG00000026494,25520.0,-2.426744,1.0869891140680063e-51,1.2852822797252607e-49
ENSMUSG00000079852,254971.0,0.854175,1.625419373817188e-51,1.8654077637160786e-49
ENSMUSG00000082361,361495.0,2.5326862,1.961169627847382e-51,2.1864239679601385e-49
ENSMUSG00000032080,348036.0,1.238432,6.926071608349895e-51,7.507092059939246e-49
ENSMUSG00000086147,259450.5,3.6600518,9.214901714015801e-50,9.71798553732153e-48
ENSMUSG00000032988,314076.0,2.8617995,1.5107019658525492e-49,1.5512523870412229e-47
ENSMUSG00000015437,255114.0,7.481967,1.714444322292522e-49,1.715323524509082e-47
ENSMUSG00000057123,29849.0,-3.1869638,3.0960104922712493e-49,3.0201582352106036e-47
ENSMUSG00000071561,347063.0,1.6600233,3.3645848218258345e-49,3.2020999938449773e-47
ENSMUSG00000022150,30544.5,-1.4707876,7.576176034261046e-49,7.038628306115858e-47
ENSMUSG00000036256,366737.0,1.511665,4.707843154010057e-48,4.272093950452847e-46
ENSMUSG00000044734,365005.0,1.7668065,5.89442080499868e-48,5.227279541160193e-46
ENSMUSG00000063903,258408.0,1.092118,7.42951043992824e-48,6.442211052577776e-46
ENSMUSG00000030551,32848.0,-2.0074985,1.4299076120635627e-47,1.2129346744069613e-45
ENSMUSG00000067786,32983.0,-2.2645607,1.696456434203194e-47,1.408419788566141e-45
ENSMUSG00000036731,296137.0,2.301369,4.738055353202459e-47,3.8516441642074986e-45
ENSMUSG00000009114,351513.0,2.252928,2.192958686467443e-46,1.7463111825706044e-44
ENSMUSG00000055053,363324.0,1.4971071,3.487914827011469e-46,2.72196873099975e-44
ENSMUSG00000019564,35512.0,-1.6916956,4.0660603054663366e-46,3.1109347670450287e-44
ENSMUSG00000052212,285340.0,0.42138562,4.439670905176076e-46,3.331460744614817e-44
ENSMUSG00000029700,335400.0,1.8600743,6.8306680768005606e-46,5.028918270882224e-44
ENSMUSG00000025945,281216.0,1.7120471,7.165435860146382e-46,5.177690875239108e-44
ENSMUSG00000055609,38255.0,-8.766294,5.065233982741716e-45,3.593553272846941e-43
ENSMUSG00000022383,360999.0,1.6611738,6.201482325943175e-45,4.321104292112548e-43
ENSMUSG00000063564,360728.0,1.4307231,8.670230929092908e-45,5.9353054535650045e-43
ENSMUSG00000047228,318726.0,0.7094265,1.2594126742400062e-44,8.472807336007765e-43
ENSMUSG00000015843,39113.0,-1.0183358,3.447529098420398e-44,2.2800438206841344e-42
ENSMUSG00000036181,359184.0,1.134116,5.62954664972353e-44,3.661081837870202e-42
ENSMUSG00000056476,40833.0,-1.1961976,2.7770938902091227e-43,1.776429567146885e-41
ENSMUSG00000030399,357453.0,1.5619879,4.644995372369758e-43,2.9233503133849666e-41
ENSMUSG00000025429,357280.0,1.5218812,5.704209298620364e-43,3.5329880449550255e-41
ENSMUSG00000022871,319004.0,0.96338093,6.216539180961954e-43,3.7901462318927414e-41
ENSMUSG00000026822,339502.0,1.6336671,7.485565166177625e-43,4.4281389112919236e-41
ENSMUSG00000055960,342467.0,2.5489306,7.489932551134468e-43,4.4281389112919236e-41
ENSMUSG00000059857,42003.0,-2.5569766,1.1334518963160579e-42,6.601088506604862e-41
