names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000041583,241247.5,5.888376,1.5017460182341617e-113,5.859812963149698e-110
ENSMUSG00000075063,246484.0,3.4862916,2.3053404552548294e-65,4.497719228202173e-62
ENSMUSG00000042448,374866.0,2.7926137,1.1568994197849942e-63,1.504740512000349e-60
ENSMUSG00000033016,7120.0,-9.893922,1.3944610925664443e-61,1.1539524090809387e-58
ENSMUSG00000016756,382442.0,2.7160501,1.478667874270808e-61,1.1539524090809387e-58
ENSMUSG00000090714,211032.0,10.838507,5.133117438758965e-61,3.33823737433958e-58
ENSMUSG00000035357,382724.0,1.2003523,9.919912068978079e-61,5.529642413307495e-58
ENSMUSG00000032033,8705.0,-4.030978,1.4354262347866374e-60,7.001291460171824e-58
ENSMUSG00000030222,8824.0,-4.8339987,1.706002524456328e-60,7.396468722698435e-58
ENSMUSG00000027210,381569.0,1.5147884,5.264767389991485e-60,2.054312235574677e-57
ENSMUSG00000106245,10535.0,-3.7123413,2.006432235151933e-59,7.117362346875311e-57
ENSMUSG00000024529,10618.5,-3.781846,2.2605761515380817e-59,7.350640119417996e-57
ENSMUSG00000038151,380331.0,3.2170331,2.4770671174979425e-59,7.435012224982286e-57
ENSMUSG00000038807,10920.0,-2.2967796,3.482280623410274e-59,9.70561356610492e-57
ENSMUSG00000027868,12406.0,-2.6807063,2.8932518549019436e-58,7.526312491884922e-56
ENSMUSG00000039519,378293.0,2.1658623,5.609150746997528e-58,1.3679316384240221e-55
ENSMUSG00000031712,377822.0,2.2596369,1.1003185761580517e-57,2.5255547553933635e-55
ENSMUSG00000052305,13505.0,-6.832948,1.3680699478120942e-57,2.965671631312662e-55
ENSMUSG00000029563,377405.0,1.54919,1.9847359504949097e-57,4.076020883595336e-55
ENSMUSG00000036030,376901.0,2.2219317,3.9170317109223466e-57,7.642128868009498e-55
ENSMUSG00000041482,376498.0,1.2217859,7.098989587260708e-57,1.3190598747376803e-54
ENSMUSG00000038156,376089.0,1.7103066,1.2586066793670614e-56,2.2323105740410336e-54
ENSMUSG00000037138,375575.0,1.3987377,2.5800974869402477e-56,4.377191475669933e-54
ENSMUSG00000020609,16008.5,-25.100035,3.9514795292269787e-56,6.424447134601529e-54
