names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000070524,261225.0,27.637741,9.561614217020534e-255,3.730941867481412e-251
ENSMUSG00000000394,329065.0,1.625511,2.4896516778199565e-138,4.857310423426735e-135
ENSMUSG00000058119,262537.5,-0.42848432,2.770621731856555e-94,3.6036553325680926e-91
ENSMUSG00000035804,305489.5,3.7811997,2.8178765092124153e-93,2.748838534736711e-90
ENSMUSG00000074502,251726.5,5.799249,6.993175528119114e-80,5.457474182144157e-77
ENSMUSG00000070360,248910.0,0.16787396,2.1708134822087483e-74,1.411752367929756e-71
ENSMUSG00000015437,270298.5,0.15515175,2.8999251310077804e-74,1.61650112302748e-71
ENSMUSG00000031957,376014.0,2.3697176,1.4208192662799682e-69,6.930045971280545e-67
ENSMUSG00000026068,358498.0,1.9162935,1.0922275197939911e-67,4.735413091373504e-65
ENSMUSG00000043366,308437.5,2.7126527,5.6787030311783704e-67,2.2158299227658e-64
ENSMUSG00000030866,312583.0,4.014078,6.606932275891655e-66,2.3436590673208396e-63
ENSMUSG00000075010,267952.0,2.382995,1.4995148450829376e-64,4.517711330563268e-62
ENSMUSG00000028244,284135.0,3.801442,1.5051319143342511e-64,4.517711330563268e-62
ENSMUSG00000029306,388359.0,2.1833618,2.3376923937727105e-64,6.515482657500797e-62
ENSMUSG00000019890,349107.0,2.0506775,5.290989226582708e-63,1.376362664141715e-60
ENSMUSG00000027871,369654.5,2.3000147,2.2085403799682537e-62,5.386077851647579e-60
ENSMUSG00000023802,359404.0,2.1776493,2.6341590130763333e-62,6.04616968766109e-60
ENSMUSG00000022797,392081.5,0.97128016,2.3048433955182884e-61,4.996388294062423e-59
ENSMUSG00000030724,290251.0,5.9769826,3.4116087296119706e-61,7.006366980497847e-59
ENSMUSG00000067594,363283.5,2.0998967,1.6346226099879949e-60,3.189148712086578e-58
ENSMUSG00000026532,390562.0,1.8921585,2.0112573606390127e-60,3.737107724387346e-58
ENSMUSG00000074199,364674.0,3.515248,2.5697419042745745e-60,4.557787686581541e-58
ENSMUSG00000030077,389371.0,1.6773126,1.0986376048803675e-59,1.8638625801057366e-57
ENSMUSG00000029368,388933.0,1.5532324,2.0449145712961482e-59,3.324690273832321e-57
ENSMUSG00000000197,388787.0,1.6783936,2.4520876083372947e-59,3.82721833909285e-57
ENSMUSG00000054932,388416.0,1.5973084,4.244518248415537e-59,6.37004238666055e-57
ENSMUSG00000006586,387656.0,0.92365915,1.2360368592585754e-58,1.7863021573433188e-56
ENSMUSG00000020609,387230.0,1.8001165,1.9298117945221657e-58,2.6893305793662467e-56
ENSMUSG00000031974,386918.0,1.1025907,3.4753803768125285e-58,4.676184217352581e-56
ENSMUSG00000064115,386619.0,1.2178863,5.2771577888360754e-58,6.863823230679455e-56
ENSMUSG00000032554,386204.0,1.4603962,9.357059556304986e-58,1.177782141571034e-55
ENSMUSG00000024588,386042.0,0.97780526,1.1793283296068011e-57,1.3868451501506349e-55
ENSMUSG00000027200,386035.0,1.0013506,1.1908714768415187e-57,1.3868451501506349e-55
ENSMUSG00000030149,291480.0,3.9971054,1.208424784857037e-57,1.3868451501506349e-55
ENSMUSG00000025128,372292.0,2.7875857,4.484272023268341e-57,4.9993226956551616e-55
ENSMUSG00000060131,381399.0,2.1037614,5.149538583764356e-57,5.5815276538468104e-55
ENSMUSG00000060807,383983.0,1.9378109,1.0148034123732583e-56,1.0702061932649876e-54
ENSMUSG00000044748,300985.5,4.2936153,1.2343215500897356e-56,1.2674533390658284e-54
ENSMUSG00000052305,383744.0,1.3670052,2.8263643884594425e-56,2.82781380609455e-54
ENSMUSG00000028465,383601.0,0.8440254,3.444440496689147e-56,3.3600517045202636e-54
ENSMUSG00000032028,382870.0,2.0946238,6.482142460343233e-56,6.16910240981934e-54
ENSMUSG00000070695,382901.0,1.5292089,8.983096632778337e-56,8.345724538357397e-54
ENSMUSG00000070498,382627.0,1.4590577,1.21239033719283e-55,1.100173743192191e-53
ENSMUSG00000049336,382540.0,1.3819958,1.4725640449290679e-55,1.3058965689348232e-53
ENSMUSG00000079015,376740.0,2.1976423,2.7955176242854293e-55,2.4240243933248322e-53
ENSMUSG00000028332,381804.0,1.8830603,3.3378456715952945e-55,2.831363871861922e-53
ENSMUSG00000022875,380460.0,1.7402717,4.302831788456903e-55,3.5722658805444337e-53
ENSMUSG00000020802,380584.0,0.7352581,2.0974706784301235e-54,1.7050688723404877e-52
ENSMUSG00000061603,380469.0,0.47757462,2.449824791308808e-54,1.95086047667081e-52
ENSMUSG00000022099,379613.0,1.7987206,5.642243873071573e-54,4.403207118545055e-52
ENSMUSG00000023484,378675.0,3.2116258,6.73659787507231e-54,5.133982286512353e-52
ENSMUSG00000051839,379569.0,1.9124229,6.841801099401394e-54,5.133982286512353e-52
ENSMUSG00000027582,379665.0,1.0436282,7.234024753230588e-54,5.263018829585334e-52
ENSMUSG00000026414,379660.0,0.74854267,7.28352170163014e-54,5.263018829585334e-52
ENSMUSG00000028645,379526.0,1.015561,8.719990099089175e-54,6.186436612117447e-52
ENSMUSG00000006574,379426.0,1.7246788,9.972803228101391e-54,6.948906820723505e-52
ENSMUSG00000028524,379329.0,1.404005,1.1308236963738713e-53,7.741182567106746e-52
ENSMUSG00000028356,379064.0,1.89174,1.2343603135965105e-53,8.304265420092386e-52
ENSMUSG00000040533,363148.0,2.1715868,1.6619149469683992e-53,1.0991173089950329e-51
ENSMUSG00000048756,378909.0,0.6131231,1.9939836291810883e-53,1.2967540201774344e-51
ENSMUSG00000078591,378327.0,1.3474939,4.33812830737337e-53,2.774979779568998e-51
ENSMUSG00000034127,376810.0,1.9886949,4.882089712581938e-53,3.0725667836281815e-51
ENSMUSG00000011118,362174.5,2.0001163,5.138334591679675e-53,3.182505012180015e-51
ENSMUSG00000074397,240965.0,0.8682053,6.017264587209506e-53,3.6686510030142957e-51
ENSMUSG00000042323,377919.0,0.5206125,7.473069420117835e-53,4.486141058046122e-51
ENSMUSG00000031517,377794.0,1.0287266,8.825090126612157e-53,5.217500253642521e-51
ENSMUSG00000065987,255962.5,3.5232852,1.284476120553902e-52,7.480635555822875e-51
ENSMUSG00000037029,377443.0,0.8618559,1.4068346141282478e-52,8.072748035777092e-51
ENSMUSG00000067028,377141.0,1.6007128,1.9442350705320915e-52,1.099479021045829e-50
ENSMUSG00000020598,377059.0,0.9988889,2.340728635208359e-52,1.2881164934453547e-50
ENSMUSG00000038244,377058.0,0.9928767,2.3438306262075906e-52,1.2881164934453547e-50
ENSMUSG00000041014,376906.0,1.5136483,2.8662135049738926e-52,1.5533284856122402e-50
ENSMUSG00000032564,376183.0,1.8669119,3.768755530511052e-52,2.014477271240291e-50
ENSMUSG00000054342,376057.0,1.9436883,4.1862133452040174e-52,2.207378982835956e-50
ENSMUSG00000030209,376587.0,1.2134564,4.369882589456442e-52,2.273504248541205e-50
ENSMUSG00000068614,376399.0,0.5585104,5.600955253367172e-52,2.8756483419261455e-50
ENSMUSG00000027583,376343.0,1.1236409,6.030394489072167e-52,3.0559219865402073e-50
ENSMUSG00000039419,376325.0,1.414413,6.1746694538016665e-52,3.088917975478731e-50
ENSMUSG00000034248,376042.0,1.2705495,8.966623626398133e-52,4.428831062051331e-50
ENSMUSG00000035456,375354.0,2.0582473,1.102443776370607e-51,5.377169519247636e-50
ENSMUSG00000059668,359960.0,1.7532972,1.132821363236745e-51,5.457122172036764e-50
ENSMUSG00000022742,375742.0,1.3649625,1.3305900492634226e-51,6.33166142954375e-50
ENSMUSG00000068748,375698.0,1.2831529,1.4097668028888708e-51,6.627602487798041e-50
ENSMUSG00000037001,375646.0,1.0615884,1.5078836982802972e-51,7.004478798440142e-50
ENSMUSG00000024109,375534.0,1.4264741,1.748738474720664e-51,8.02773826865886e-50
ENSMUSG00000038331,375441.0,1.0090698,1.975708143212521e-51,8.964201366064251e-50
ENSMUSG00000057609,336776.0,2.7009776,2.476223503017746e-51,1.1106004722730166e-49
ENSMUSG00000052581,375200.0,1.398974,2.707063632461026e-51,1.200336624302605e-49
ENSMUSG00000060961,374902.0,1.0505149,4.003718787775747e-51,1.7553382820113445e-49
ENSMUSG00000018501,374788.0,0.56959707,4.647455104565416e-51,2.014929979779361e-49
ENSMUSG00000038048,374282.0,1.8105673,4.9183885318411107e-51,2.1089617638729684e-49
ENSMUSG00000024268,374679.0,1.4186991,5.357421841693086e-51,2.272245655031133e-49
ENSMUSG00000035472,374647.0,2.0204563,5.563072939694804e-51,2.3340979151278628e-49
ENSMUSG00000024713,374593.0,1.051913,5.996205235943446e-51,2.4890630670905666e-49
ENSMUSG00000079013,256756.0,2.9283886,7.091343658484981e-51,2.912676100569305e-49
ENSMUSG00000061080,374455.0,1.061376,7.179868264852918e-51,2.9183172884850093e-49
ENSMUSG00000064293,374434.0,1.5417073,7.369954849428211e-51,2.9486750101838545e-49
ENSMUSG00000025504,373307.0,1.7680771,7.405693259815934e-51,2.9486750101838545e-49
ENSMUSG00000020923,374228.0,0.76650643,9.653413364122413e-51,3.7765930486766736e-49
ENSMUSG00000039126,374226.0,0.971081,9.67860853069368e-51,3.7765930486766736e-49
ENSMUSG00000053825,374212.0,1.3648969,9.856269239209091e-51,3.807837878355829e-49
ENSMUSG00000038843,374106.0,1.4143409,1.0017192906321231e-50,3.832067325535828e-49
ENSMUSG00000044322,337305.0,2.2638042,1.0213533954627613e-50,3.845145162764712e-49
ENSMUSG00000029245,374182.0,1.4526885,1.0248464811059201e-50,3.845145162764712e-49
ENSMUSG00000096054,373877.0,0.5905109,1.524563313844227e-50,5.665567667257308e-49
ENSMUSG00000070691,363532.0,2.324472,1.6156810890537335e-50,5.947535480648744e-49
ENSMUSG00000028906,373739.0,0.72062856,1.8241676242930445e-50,6.6067189711516016e-49
ENSMUSG00000024927,373737.0,0.8467451,1.8286151944755842e-50,6.6067189711516016e-49
ENSMUSG00000021700,373676.0,1.4869009,1.9284730356403873e-50,6.903579619329166e-49
ENSMUSG00000061911,373318.0,1.6361758,3.1207222678811598e-50,1.1070052990247531e-48
ENSMUSG00000049470,372969.0,0.6638776,4.95106155409361e-50,1.7404542508174112e-48
ENSMUSG00000024990,372356.0,1.6425426,9.93749643799396e-50,3.462152776879681e-48
ENSMUSG00000021972,372362.0,0.62054247,1.0843794644052354e-49,3.7444678496541844e-48
ENSMUSG00000001865,366701.0,2.0243926,1.2057241512962398e-49,4.1269610862788836e-48
ENSMUSG00000028176,372187.0,1.2444341,1.3586809314258902e-49,4.6100634734120203e-48
ENSMUSG00000049583,372118.0,1.571731,1.4050062068802378e-49,4.726150189005765e-48
ENSMUSG00000069919,371969.0,1.090875,1.7975471214385496e-49,5.994896468250616e-48
ENSMUSG00000039539,371925.0,1.465714,1.9026434619204226e-49,6.29162270204533e-48
ENSMUSG00000055022,371807.0,1.303614,2.204098034819196e-49,7.227218934339917e-48
ENSMUSG00000058589,371670.0,1.0631546,2.6416969707178846e-49,8.589917983117655e-48
ENSMUSG00000042331,371616.0,1.2107451,2.8313587020942924e-49,9.130546822786719e-48
ENSMUSG00000031921,371292.0,0.56074697,4.2900670399718115e-49,1.3721181631122956e-47
ENSMUSG00000017007,332593.0,1.0409112,4.365805736545525e-49,1.3849897547968e-47
ENSMUSG00000061808,371171.0,1.3784912,4.949098662215113e-49,1.5573695951583363e-47
ENSMUSG00000036814,352441.5,2.711,1.0156444649022551e-48,3.1704357616388793e-47
ENSMUSG00000100851,368785.0,1.7543445,1.2072845238715975e-48,3.73874937471982e-47
ENSMUSG00000078949,315081.0,3.8209267,1.2260656739493475e-48,3.767014377756184e-47
