names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000059230,292459.0,6.5348215,8.875897773912301e-208,3.4633753113805796e-204
ENSMUSG00000085484,275673.0,7.7588015,3.3141991102173533e-175,6.466002464034057e-172
ENSMUSG00000039264,258553.0,27.0559,2.662840206988296e-141,3.463467495889444e-138
ENSMUSG00000038179,395046.0,3.2652364,1.0787958680337499e-132,1.0523653692669231e-129
ENSMUSG00000051969,281799.0,2.546946,3.47236603011062e-127,2.709834449898328e-124
ENSMUSG00000068078,415260.0,2.7870083,5.471989805674151e-122,3.558617370290089e-119
ENSMUSG00000029646,375638.0,0.21596824,1.5159882902526234e-121,8.450551869379624e-119
ENSMUSG00000045539,387456.0,1.6279252,4.386198388833372e-121,2.139368264153477e-118
ENSMUSG00000095648,299963.0,-0.00083986373,7.92413417199731e-119,3.4355523932370556e-116
ENSMUSG00000074832,328224.0,2.7079117,8.468395252666223e-113,3.30436782759036e-110
ENSMUSG00000022931,399476.0,2.1435905,7.698449764697257e-112,2.7308500892589724e-109
ENSMUSG00000066704,396669.0,1.410567,4.018431512683885e-105,1.30665998020771e-102
ENSMUSG00000050224,398592.0,2.2701142,1.961009634610396e-101,5.886045841730589e-99
ENSMUSG00000092109,261664.0,1.34948,1.1803456642904369e-99,3.289791987186632e-97
ENSMUSG00000022986,318189.0,0.5015864,1.645611256058428e-98,4.280783414093324e-96
ENSMUSG00000073975,314062.0,2.7836766,2.671747107793984e-98,6.515723259132578e-96
ENSMUSG00000022598,400964.0,0.92815363,1.0968381105633816e-97,2.5175660631872442e-95
ENSMUSG00000044429,391937.0,0.8207545,1.3305534434208258e-97,2.8843441867933677e-95
ENSMUSG00000048455,366188.0,1.8119618,2.744076143559451e-97,5.6354658485099884e-95
ENSMUSG00000104846,342079.0,4.421474,4.249243842523721e-96,8.29027473676378e-94
ENSMUSG00000005339,265098.0,3.6926384,2.2226634757545567e-94,4.1299204201877527e-92
ENSMUSG00000057609,416272.5,3.1810389,3.7317616690420487e-94,6.618788196637307e-92
ENSMUSG00000027398,295865.0,2.20383,4.1045865032318193e-94,6.963520232874156e-92
ENSMUSG00000024619,360041.0,2.1046588,5.146057454007571e-94,8.366631743973976e-92
ENSMUSG00000063651,403663.0,2.520576,3.172173329501156e-93,4.951128132685405e-91
ENSMUSG00000042414,348827.0,1.2027025,4.4847580129139005e-92,6.730586833226938e-90
ENSMUSG00000026983,361357.0,2.0187585,1.7101011154407107e-91,2.471412797203575e-89
ENSMUSG00000043430,409741.0,2.5600963,6.161547768866504e-89,8.586556926470392e-87
ENSMUSG00000066797,266554.5,3.5599945,2.0360294491022887e-84,2.7395127277231484e-82
ENSMUSG00000090059,414301.0,2.6825037,2.151601853563104e-84,2.798516810867744e-82
ENSMUSG00000036594,332869.5,1.8823912,7.967895427555156e-84,1.0029267083329103e-81
ENSMUSG00000024402,308091.0,6.520089,1.920240902916503e-80,2.341493750993811e-78
ENSMUSG00000103523,268030.0,0.0047315587,6.894788700437122e-79,8.15256530578959e-77
ENSMUSG00000041052,348345.0,3.092664,3.3803850108104985e-78,3.8794889153478136e-76
ENSMUSG00000100106,342145.0,0.515369,2.5133538954718763e-76,2.802030542894646e-74
ENSMUSG00000041248,333254.0,-0.059267562,4.543397023211011e-75,4.924537551269268e-73
ENSMUSG00000094504,269521.5,0.89360297,8.238831563103788e-75,8.688627232224589e-73
ENSMUSG00000068885,333328.0,1.6379269,4.6971393164010056e-73,4.8232204243675594e-71
ENSMUSG00000032988,369483.5,1.7623295,8.565983195524046e-73,8.570376007419188e-71
ENSMUSG00000020581,373122.5,-0.01207152,2.4195909249220193e-72,2.3603109472614298e-70
ENSMUSG00000037263,375672.0,1.932462,3.9249906565664484e-72,3.7160197039341715e-70
ENSMUSG00000036480,400049.0,1.4228543,3.9998161856800413e-72,3.7160197039341715e-70
ENSMUSG00000067299,352592.0,0.02516931,4.2621510417602445e-72,3.86765427091825e-70
ENSMUSG00000050359,388067.0,1.8256733,5.2406632332012256e-70,4.647515439988905e-68
ENSMUSG00000053797,307486.5,3.158859,8.105499603004757e-70,7.028368766872125e-68
ENSMUSG00000048391,261101.0,5.0005116,1.1122542367632041e-69,9.434817460543527e-68
ENSMUSG00000032517,315539.5,3.249452,9.08044134753234e-69,7.53869832724919e-67
ENSMUSG00000030484,376052.0,1.1803162,3.348096079909402e-68,2.721723104959685e-66
ENSMUSG00000078249,274902.0,4.3156285,3.7063672239841693e-68,2.951478552650251e-66
ENSMUSG00000052234,294360.5,1.714363,2.213951561112301e-67,1.7277677982920397e-65
