names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000019866,274895.0,0.075502165,0.00038561168439682703,0.0006227884074985179
ENSMUSG00000026818,209160.0,-21.324915,0.00038902726902932384,0.0006277852043048111
ENSMUSG00000068888,209160.0,-20.312841,0.00038902732547643087,0.0006277852043048111
ENSMUSG00000033964,187369.0,-0.16722691,0.0003934415056404994,0.0006346460334887262
ENSMUSG00000029196,187383.0,-0.37456292,0.00039512738021534966,0.0006371020816530143
ENSMUSG00000067996,209220.0,-23.81903,0.00039690241065586237,0.000639699796108705
ENSMUSG00000024695,187401.0,-0.17642489,0.00039731783538746776,0.0006401049519743598
ENSMUSG00000008393,275041.0,0.1229008,0.00040196721243478876,0.0006473281316221814
ENSMUSG00000074283,274929.0,0.12672652,0.0004029376021996553,0.0006486231533758478
ENSMUSG00000038135,205616.0,-5.900289,0.00040691211226590897,0.0006547509534274543
ENSMUSG00000055609,187681.0,-2.6798606,0.0004082631176137538,0.0006566540333589726
ENSMUSG00000055214,274981.0,0.12642454,0.0004094120911305898,0.0006582307291271369
ENSMUSG00000029334,187560.0,-0.8576037,0.000411697712669818,0.0006616328150072611
ENSMUSG00000041248,209340.0,-24.190548,0.0004131257209444871,0.0006636544105085997
ENSMUSG00000030232,187531.0,-0.1596801,0.0004134351571872003,0.0006638781824462779
ENSMUSG00000059842,274858.0,0.1402472,0.0004250622083641445,0.0006822676828617408
ENSMUSG00000074771,272666.0,-0.88646543,0.00044263712833042155,0.0007101850636288261
ENSMUSG00000079215,274721.0,0.10792549,0.00044318594517764076,0.0007107733489860889
ENSMUSG00000026202,274695.0,-0.06087153,0.00044670268844478273,0.0007161191003745037
ENSMUSG00000022508,274676.0,0.19007725,0.0004492798105115181,0.0007199547517929953
ENSMUSG00000046242,203412.0,-3.9357316,0.00045402336737933427,0.0007272574628547464
ENSMUSG00000052430,187875.0,-0.07129026,0.0004590781737318173,0.0007350525375057657
ENSMUSG00000022987,187906.0,-0.59588426,0.000462785137302479,0.0007406840056416215
ENSMUSG00000055150,187947.0,-0.63899636,0.0004633598683169727,0.0007412997975288346
ENSMUSG00000061397,209700.0,-20.786613,0.0004658120757578933,0.0007449175080357785
ENSMUSG00000039967,274531.0,0.120699994,0.00046949244783952746,0.0007504955065423336
ENSMUSG00000000594,187970.0,-0.61718327,0.00047244801079489226,0.0007549107854716091
ENSMUSG00000020241,274462.0,0.030043207,0.0004794010557660566,0.0007657072941461944
ENSMUSG00000000215,266029.0,-1.1876808,0.00048548499367647926,0.0007751073835211219
ENSMUSG00000018143,274381.0,-0.07993633,0.0004879029099913694,0.0007786491430618909
ENSMUSG00000074824,273516.0,-0.46790788,0.00048824322497225444,0.0007788736974005465
ENSMUSG00000078870,188106.0,-0.291299,0.0004922999776442693,0.0007850243207061458
ENSMUSG00000004366,273142.0,-0.90207094,0.0004953973590992365,0.0007894061670148204
ENSMUSG00000025019,188127.0,-0.17132191,0.0004954525123063288,0.0007894061670148204
ENSMUSG00000037169,188177.0,-0.5985501,0.0005026078620545119,0.0008004799500966145
ENSMUSG00000000440,273807.0,-0.2503022,0.0005076935372132261,0.0008082497683419047
ENSMUSG00000063590,210000.0,-23.795897,0.0005147243187503219,0.0008191086018612381
ENSMUSG00000026327,261844.0,-1.2568617,0.0005292998773398547,0.0008419600984020029
ENSMUSG00000095576,210120.0,-24.027475,0.0005356746166798961,0.0008517532006051161
ENSMUSG00000035566,274052.0,0.20295793,0.0005424176826928149,0.0008621237465854843
ENSMUSG00000049093,203205.0,-3.8436346,0.000569292554345272,0.0009044704996153304
ENSMUSG00000031841,188610.0,-0.36929795,0.0005727946086587816,0.0009096640467995792
ENSMUSG00000074733,188647.0,-0.17637485,0.000579160689055197,0.0009193999221698042
ENSMUSG00000020429,273783.0,-0.25310624,0.0005877653478542942,0.0009326801087138902
ENSMUSG00000058400,264605.0,0.30225304,0.0005971841106412392,0.0009472408128951688
ENSMUSG00000068959,273687.0,0.13746227,0.0006049288092960354,0.0009591353977542179
ENSMUSG00000066798,188834.0,-0.21615078,0.0006123549896825745,0.0009705155035505303
ENSMUSG00000107011,273642.0,0.12301688,0.0006129749956126758,0.000971103708031125
ENSMUSG00000071858,249380.0,-2.562076,0.0006139143497844136,0.0009721971561926874
ENSMUSG00000030220,273594.0,0.15843897,0.0006218529984131539,0.0009843693305509641
ENSMUSG00000074151,273295.0,-0.16726969,0.0006270474830502029,0.0009921894885895747
ENSMUSG00000047603,188936.0,-0.40008944,0.0006309817144672156,0.0009980099918326208
ENSMUSG00000066108,210660.0,-22.950073,0.0006408201738902997,0.0010131605828686992
ENSMUSG00000038357,271007.0,-0.84599674,0.0006497594712857539,0.0010268778683503491
ENSMUSG00000068823,189040.0,-0.10565108,0.000650967097889333,0.0010283698850057398
ENSMUSG00000043102,255150.0,-1.6846675,0.0006573374284496988,0.0010380132115786018
ENSMUSG00000025229,273358.0,0.12157398,0.0006669575294249936,0.0010527784303464096
ENSMUSG00000034035,272874.0,-0.43621835,0.0006704633511315292,0.001057884349419825
ENSMUSG00000051980,269252.0,-0.70089066,0.0006761417805970134,0.0010664127841105684
ENSMUSG00000057469,189192.0,-0.43306926,0.0006808959793043424,0.0010734772166648664
ENSMUSG00000022676,273280.0,0.32777357,0.0006819078062075552,0.001074638230945832
ENSMUSG00000036461,273217.0,0.056928225,0.0006953100747656272,0.0010953168799900997
ENSMUSG00000053390,273215.0,0.13604394,0.0006957201635711103,0.0010955206126934916
ENSMUSG00000037996,273109.0,-0.3478535,0.0007170200520663975,0.0011286051807838174
ENSMUSG00000074665,211020.0,-24.128767,0.0007219498802318822,0.001135906626074518
ENSMUSG00000019878,189432.5,-0.09953889,0.0007308752175599278,0.0011494861341873593
ENSMUSG00000063296,189462.0,-0.4889557,0.0007372350377501543,0.0011590214010076961
ENSMUSG00000019338,273006.0,0.111199684,0.0007398367046675283,0.001162643101736889
ENSMUSG00000034673,272979.0,0.0927781,0.0007457218316110675,0.0011714197209929088
ENSMUSG00000030753,189618.0,-0.19167405,0.0007717297248816371,0.0012117864734358743
ENSMUSG00000024298,189620.0,-0.14753908,0.0007721815286108898,0.0012120081756394577
ENSMUSG00000039068,189650.0,-0.12809522,0.0007789882631841201,0.0012222003228566291
ENSMUSG00000064057,211260.0,-23.433796,0.0007815730931970528,0.0012257629460027733
ENSMUSG00000052414,271925.0,-0.27250275,0.0007875145791415494,0.0012345849288108984
ENSMUSG00000034438,270230.0,-0.6465411,0.0007901778411482016,0.001238262624963969
ENSMUSG00000059975,272708.0,0.085612334,0.0008072467327792093,0.001264502911001395
ENSMUSG00000009471,272700.0,0.17227001,0.0008091326061584102,0.0012669484065931447
ENSMUSG00000041731,189785.0,-0.16479008,0.0008103133454339008,0.001268288276728071
ENSMUSG00000020491,272675.0,0.21226111,0.0008150316067332836,0.0012751617199171102
ENSMUSG00000071757,272671.0,0.073556654,0.0008160031423076645,0.0012761700446030089
ENSMUSG00000096910,272649.0,0.23028201,0.0008210737927209704,0.0012835857128194017
ENSMUSG00000032978,211440.0,-23.66971,0.0008294487627023344,0.0012961590196493829
ENSMUSG00000035799,189879.0,-0.92691004,0.000830122093764012,0.0012966919174808547
ENSMUSG00000009394,272598.0,0.118653126,0.000833533440997515,0.0013009865195136622
