names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000017316,299612.0,5.2629666,2.165505673524392e-220,8.449803138092177e-217
ENSMUSG00000091350,329564.5,4.7009583,1.1706796637043757e-195,2.283996023887237e-192
ENSMUSG00000111449,282754.5,4.080352,5.317894675553089e-182,6.916808341336051e-179
ENSMUSG00000033837,258754.0,27.325434,7.261270253690412e-168,7.083369132474997e-165
ENSMUSG00000055942,291735.0,5.4422674,8.868154264630022e-162,6.92070758811727e-159
ENSMUSG00000075045,250965.0,6.319121,5.421761643184527e-130,3.5259523219510044e-127
ENSMUSG00000056293,287358.0,4.914705,1.9251154747072265e-110,1.0731143689010854e-107
ENSMUSG00000055874,277240.0,3.0635936,3.563375826995635e-109,1.738036559617121e-106
ENSMUSG00000025469,377133.0,3.0376527,2.8859468427053897e-86,1.2512182866929368e-83
ENSMUSG00000034968,368448.0,1.3220778,1.96755204652116e-84,7.677388085525566e-82
ENSMUSG00000070847,317567.5,4.970437,7.819106831280993e-84,2.773650441423494e-81
ENSMUSG00000028946,258970.5,1.299064,3.19011981638546e-76,1.0373206269613387e-73
ENSMUSG00000037335,377390.0,0.98307604,7.69830634128552e-75,2.310676257207392e-72
ENSMUSG00000068887,279430.0,-0.40599963,1.987476282098542e-71,5.539380323391794e-69
ENSMUSG00000109449,280939.5,0.76376027,8.052455237072443e-70,2.0947120223371113e-67
ENSMUSG00000032402,418911.0,0.8554121,2.7545576641540103e-64,6.717677503455593e-62
ENSMUSG00000030361,272495.0,2.4532914,4.070321860812231e-64,9.342585824052544e-62
ENSMUSG00000021765,417838.0,1.3815148,1.2579028237501887e-63,2.7268537879295757e-61
ENSMUSG00000076431,417049.0,0.80628103,3.8233693570396466e-63,7.851993279562475e-61
ENSMUSG00000027869,383509.5,1.9004258,7.906144718847892e-63,1.5424888346472238e-60
ENSMUSG00000079346,267019.0,3.9566975,4.069594300915337e-62,7.561693791510307e-60
ENSMUSG00000056091,414876.0,0.82016903,7.987421851785452e-62,1.416678184803038e-59
ENSMUSG00000079186,270007.0,3.2530231,6.411334915920319e-61,1.087696906170482e-58
ENSMUSG00000023991,412577.0,0.8256628,1.920338035309059e-60,3.1221495890733116e-58
ENSMUSG00000050587,412261.0,1.4495884,2.9644318067196973e-60,4.626885163928104e-58
ENSMUSG00000091898,411770.0,0.82377636,5.812253855681746e-60,8.72285174802699e-58
ENSMUSG00000030796,411013.0,0.8186389,1.6357753106736971e-59,2.3639982452773206e-57
ENSMUSG00000035566,410966.0,0.9964667,1.7440601853875606e-59,2.4304724440650933e-57
ENSMUSG00000063632,410214.0,0.75422806,4.854652687333449e-59,6.532018891715559e-57
ENSMUSG00000062175,409273.0,1.0888311,1.738125885765249e-58,2.260722402085334e-56
ENSMUSG00000039239,409126.0,0.6537821,2.120182762762629e-58,2.668694561387025e-56
ENSMUSG00000024985,407949.0,0.8096954,1.0349846290542605e-57,1.2620343820530388e-55
ENSMUSG00000044167,407889.0,0.79445046,1.1218185349553533e-57,1.2963251168171564e-55
ENSMUSG00000096630,277470.5,2.1568823,1.129550332439347e-57,1.2963251168171564e-55
ENSMUSG00000000861,406800.0,1.0191456,4.8203541848348555e-57,5.3740062940644596e-55
ENSMUSG00000028780,406180.0,0.74867326,1.1014233588110536e-56,1.193820540577981e-54
ENSMUSG00000023978,330204.0,1.9516816,1.578902546226365e-56,1.6651020906419667e-54
ENSMUSG00000033080,276347.0,-0.27435738,5.148561716156172e-56,5.286759951695101e-54
ENSMUSG00000042757,404963.0,1.055856,5.533708833249011e-56,5.536546632650678e-54
ENSMUSG00000099083,404594.0,0.7104448,9.009448144751748e-56,8.788716665205331e-54
ENSMUSG00000038872,404569.0,0.7797656,9.311612513097263e-56,8.86192976246476e-54
ENSMUSG00000021095,376976.0,2.0074086,1.1926097334807003e-55,1.10799123334326e-53
ENSMUSG00000044807,404276.0,0.8150493,1.3702286282768163e-55,1.2434028157060783e-53
ENSMUSG00000025885,403838.0,1.1224154,2.4383931633133044e-55,2.1624113916473894e-53
ENSMUSG00000032897,403747.0,0.6165856,2.7481236948543926e-55,2.3829285905159645e-53
