names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000092008,382137.0,5.199696,9.392382208018875e-177,3.664907537568965e-173
ENSMUSG00000067996,348524.0,2.792079,1.2176426100773533e-157,2.3756207322609164e-154
ENSMUSG00000095577,280533.0,3.2770689,1.5073406221624253e-114,1.9605477025592612e-111
ENSMUSG00000048391,240933.0,5.329034,9.294957537496696e-105,9.067231077828027e-102
ENSMUSG00000029630,309456.5,2.3113234,5.42441094479254e-86,4.233210301316098e-83
ENSMUSG00000024653,327811.0,2.5716362,2.887176993917282e-80,1.877627438377539e-77
ENSMUSG00000000204,311529.0,2.771925,8.666603777780088e-79,4.831012562985415e-76
ENSMUSG00000067998,240072.5,3.9188907,4.6407886911200154e-74,2.2635446840937877e-71
ENSMUSG00000074109,294307.5,2.6596527,8.422371453495741e-74,3.6515659346155985e-71
ENSMUSG00000042459,330960.0,1.3522074,9.537776998793244e-72,3.721640584929124e-69
ENSMUSG00000064057,291305.0,0.44066414,1.4593300123400415e-68,5.176641552864402e-66
ENSMUSG00000061068,327125.5,2.7629583,8.824919060153145e-66,2.8695695143931313e-63
ENSMUSG00000066224,256644.0,1.9583373,1.0095765601301547e-63,3.0302828750983567e-61
ENSMUSG00000062751,262844.0,0.448226,4.9586884886642e-62,1.3820573201976934e-59
ENSMUSG00000090059,349648.0,3.4317362,6.836699535189778e-62,1.7784534390873674e-59
ENSMUSG00000042323,6929.0,-1.5834218,1.0858633132933595e-61,2.6481491552941804e-59
ENSMUSG00000029580,7460.0,-1.6520126,2.3565488833109753e-61,5.408972789811426e-59
ENSMUSG00000078894,225517.5,4.4421735,4.8927864769413624e-61,1.060647379612511e-58
ENSMUSG00000015314,332225.0,2.9210162,6.182197625244306e-61,1.2696281649317517e-58
ENSMUSG00000032481,8484.0,-1.9622777,1.0436120737634772e-60,2.036087155912544e-58
ENSMUSG00000030167,209142.0,26.033064,2.060158049634518e-60,3.827969861749471e-58
ENSMUSG00000056091,8988.0,-1.4502225,2.1643901466619e-60,3.838841069215788e-58
ENSMUSG00000055639,9174.0,-2.2785232,2.831614916131474e-60,4.803896262063049e-58
ENSMUSG00000039219,10314.0,-1.4319717,1.4613705069413275e-59,2.3759448825354415e-57
ENSMUSG00000021318,10409.0,-2.1499522,1.6747812782486023e-59,2.6139986190904186e-57
ENSMUSG00000036158,11022.0,-1.4552191,4.029175607331918e-59,6.046862776849671e-57
ENSMUSG00000002997,11876.0,-2.586196,1.3623017343964733e-58,1.9687782843018661e-56
ENSMUSG00000025885,12131.0,-2.939586,1.9578295313561994e-58,2.728375296911389e-56
ENSMUSG00000021010,12458.5,-1.7506105,3.117008372623069e-58,4.193988506888006e-56
ENSMUSG00000044807,12868.0,-2.2111135,5.5688381551041194e-58,7.243202160405425e-56
ENSMUSG00000030067,12970.0,-1.2857894,6.433596140332879e-58,8.098029722444804e-56
ENSMUSG00000032006,13157.0,-2.4063153,8.380943275425155e-58,1.0219512706471547e-55
ENSMUSG00000024598,13284.0,-1.9124079,1.0028108001518136e-57,1.1857478006643566e-55
ENSMUSG00000053477,13901.0,-0.9886721,2.3935229488357334e-57,2.7469195724579505e-55
ENSMUSG00000022205,14460.0,-1.4524752,5.251004239905655e-57,5.854119584031962e-55
ENSMUSG00000026418,14499.0,-1.4527197,5.546367394868565e-57,6.01164599299365e-55
ENSMUSG00000028358,14666.0,-1.5003556,7.010010277926978e-57,7.392718947154343e-55
ENSMUSG00000094483,14730.0,-1.6692568,7.667834672831704e-57,7.873655498260345e-55
ENSMUSG00000035357,14849.0,-1.8442826,9.058713765168536e-57,9.063359259407084e-55
ENSMUSG00000040929,14912.0,-1.8873953,9.894036211370717e-57,9.651632324192134e-55
ENSMUSG00000028019,15135.0,-2.4345043,1.3516419093365038e-56,1.2863674951783019e-54
ENSMUSG00000035934,15169.0,-1.1689632,1.417439180417348e-56,1.3168684957115457e-54
ENSMUSG00000055409,15186.0,-3.867915,1.4515242272133785e-56,1.3171738452526983e-54
ENSMUSG00000028399,15803.0,-1.0750934,3.433403775504319e-56,3.0448048936404206e-54
ENSMUSG00000014542,300900.0,4.350724,3.816391981934913e-56,3.309235891891118e-54
ENSMUSG00000034751,15910.0,-1.8587294,3.9850824629455204e-56,3.3803895153072655e-54
