,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Krtap15,8.791685e-07,3.6153942e-06,1.3100915e-05,-6.3195825e-05,4.4927e-06,1.3799407e-05,-6.237347e-05,1.6741455e-05,-5.9632584e-05,-5.101692e-05,1.7420389e-05,-5.8704056e-05,-5.0536357e-05,-4.734844e-05
Lrrfip1,-3.4928322e-05,-3.027916e-05,-3.85046e-05,0.0001847744,-6.520748e-05,-7.247925e-05,0.00014579296,-6.7949295e-05,0.00014859438,0.00014537573,-0.00010228157,0.00010961294,0.000107347965,0.00011044741
Lce1g,6.121816e-06,9.209849e-06,8.879928e-06,-4.201033e-05,1.5311176e-05,1.4939113e-05,-3.5980484e-05,1.8312363e-05,-3.283075e-05,-3.26077e-05,2.4318928e-05,-2.6737573e-05,-2.664118e-05,-2.3009256e-05
Nr1d2,-3.385544e-05,-0.00012418628,-2.8789043e-05,-0.00010704994,-0.0001578331,-5.6266785e-05,-0.00013506413,-0.00015163422,-0.00022947788,-0.0001346767,-0.00017896295,-0.00025701523,-0.00015670061,-0.00025564432
D630045J12Rik,0.00021505356,0.00026094913,0.00028705597,-0.0013936758,0.00047522783,0.0005019307,-0.0011637211,0.0005495548,-0.0011361241,-0.0011225343,0.000764966,-0.00090801716,-0.0008933544,-0.00086307526
Mafk,1.2010336e-05,8.788705e-05,5.492568e-05,-8.312613e-05,0.00010025501,6.80238e-05,-7.289648e-05,0.00014331937,3.799796e-06,-2.8319657e-05,0.00015673041,1.4156103e-05,-1.6786158e-05,5.9485435e-05
Dmbx1,4.3958426e-05,0.00011805445,9.416044e-05,8.952618e-05,0.0001623705,0.0001405552,0.00013384968,0.00021417439,0.00020731986,0.00018694997,0.000261046,0.0002520159,0.00023332238,0.0003067702
Gm29478,-0.0018128455,0.0011813045,0.0009660423,-0.0017155111,-0.00063201785,-0.00083199143,-0.0035213828,0.002147764,-0.00052952766,-0.0007530749,0.0003489554,-0.002332896,-0.0025490224,0.00043344498
Wbscr17,-0.0020859838,-0.0005121827,-0.00081700087,0.0010762811,-0.002588153,-0.002912581,-0.00097471476,-0.0013300776,0.00059455633,0.00023567677,-0.0034160018,-0.0014482737,-0.0018219352,-0.00024563074
Pip,-3.0817464e-06,-4.345458e-05,2.2426248e-06,-8.5983425e-05,-4.6374742e-05,-8.1863254e-07,-8.681184e-05,-4.1036867e-05,-0.00012759911,-8.309679e-05,-4.3997075e-05,-0.0001282855,-8.3810184e-05,-0.00012469897
Trpv5,-7.973984e-06,1.1892989e-05,2.9275194e-05,-7.589534e-05,4.1872263e-06,2.3284927e-05,-8.3681196e-05,4.146248e-05,-6.452389e-05,-4.6676025e-05,3.5565346e-05,-7.2231516e-05,-5.2364543e-05,-3.5030767e-05
Olfr1264,-3.1753443e-05,4.096655e-05,2.6179943e-05,-3.3541583e-06,5.922746e-06,-5.7951547e-06,-3.5786536e-05,6.724149e-05,3.4731347e-05,2.279738e-05,3.21432e-05,-1.06683e-06,-9.725336e-06,6.114878e-05
2010315B03Rik,-0.00018161535,-0.0009856224,-0.00017952919,0.00030124187,-0.0011646152,-0.00035333633,0.0001128912,-0.0011605024,-0.000697732,0.00012242794,-0.0013318062,-0.0008844733,-5.9366226e-05,-0.0008713603
