,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Vsir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tspan18,0.0008301735,0.00050473213,0.00014293194,-2.2470951e-05,0.0013203025,0.0009264946,0.0008171797,0.00067931414,0.00051397085,8.9764595e-05,0.0014668703,0.0013175011,0.00086551905,0.0006760955
Zfp989,2.1196902e-06,3.9860606e-07,-6.7055225e-08,-9.056181e-06,2.5071204e-06,2.052635e-06,-7.1786344e-06,3.3900142e-07,-8.556992e-06,-9.04873e-06,2.4326146e-06,-6.7315996e-06,-7.171184e-06,-8.5532665e-06
Gm10283,-5.338341e-06,-8.367002e-06,7.428229e-06,3.4302473e-05,-1.3045967e-05,1.7210841e-06,3.1538308e-05,1.0058284e-07,2.6460737e-05,4.209578e-05,-4.8540533e-06,2.3689121e-05,3.877282e-05,3.4712255e-05
Cacna1c,0.0012698174,0.00116539,0.0029072762,-0.01747632,0.002403736,0.0041782856,-0.016221523,0.0040740967,-0.016391277,-0.014561415,0.005297661,-0.0151577,-0.013321161,-0.013454199
Bhlhe41,0.0,-4.4703484e-08,-1.937151e-07,2.5480986e-06,-4.4703484e-08,-1.937151e-07,2.5480986e-06,-1.937151e-07,2.5480986e-06,2.3543835e-06,-1.937151e-07,2.5480986e-06,2.3543835e-06,2.3692846e-06
Klf3,-1.31726265e-05,-7.966161e-05,-0.00013014674,-9.417534e-06,-0.00010162592,-0.00013253093,-1.5288591e-05,-0.00020682812,-7.939339e-05,-0.00014433265,-0.00021663308,-9.62913e-05,-0.00015059114,-0.00021928549
Zfp959,-9.506941e-06,-9.268522e-06,-1.4483929e-05,-5.7935715e-05,-1.680851e-05,-2.0295382e-05,-6.625056e-05,-2.1189451e-05,-6.41942e-05,-6.8604946e-05,-2.425909e-05,-7.0124865e-05,-7.4625015e-05,-7.387996e-05
Zscan2,-4.8428774e-05,-5.6236982e-05,4.708767e-06,-0.0001514554,-7.6800585e-05,-5.5402517e-05,-0.00019854307,-6.368756e-05,-0.00020647049,-0.00014230609,-8.350611e-05,-0.00022640824,-0.00020557642,-0.00021418929
Preb,7.5399876e-06,-8.6426735e-06,-5.6922436e-06,0.0016494989,3.874302e-06,2.592802e-06,0.0016592145,-1.4781952e-05,0.0016546845,0.0016413927,-2.3841858e-06,0.001665771,0.0016489625,0.0016428232
Arhgef4,-0.00011140108,-5.6624413e-05,2.9981136e-05,-0.0015400946,-0.00020676851,-0.00012919307,-0.0016213655,-2.9832125e-05,-0.0015996993,-0.0015168786,-0.00022551417,-0.0017217398,-0.0016440153,-0.001580894
Edil3,0.00016283989,0.0013074875,-1.001358e-05,-0.008297443,0.0014967918,0.00020813942,-0.008178234,0.001395464,-0.0069818497,-0.008366585,0.0015552044,-0.006882429,-0.008087158,-0.006923437
Ube2h,-0.00024425983,-0.0002232194,-0.00040221214,-0.00076442957,-0.00047069788,-0.0006595254,-0.0009964108,-0.0006276369,-0.0009920597,-0.0011579394,-0.0008856654,-0.0012295246,-0.0013948679,-0.0013843775
Fam163a,0.0003554225,0.0002182126,0.00042760372,0.0047594607,0.00044423342,0.0008561313,0.0051297247,0.0007275939,0.0050227046,0.005114615,0.0009936392,0.0052631497,0.0055864155,0.005484134
Dsg1a,-6.183982e-07,4.3227337e-06,5.583279e-07,1.5462749e-05,3.72692e-06,-3.7718564e-08,1.4297431e-05,4.9043447e-06,2.0189444e-05,1.609698e-05,4.311092e-06,1.9018305e-05,1.4985679e-05,2.0642066e-05
Creb3l4,-1.5769154e-05,-1.302734e-05,-3.3527613e-08,-1.3779849e-05,-2.7511269e-05,-1.22487545e-05,-2.9031187e-05,-1.2431294e-05,-2.7306378e-05,-1.4141202e-05,-2.348423e-05,-4.1585416e-05,-2.5518239e-05,-2.6945025e-05
Coch,1.7881393e-07,-5.9604645e-08,1.1920929e-07,8.285046e-06,1.1920929e-07,2.9802322e-07,8.46386e-06,0.0,8.225441e-06,8.404255e-06,1.7881393e-07,8.404255e-06,8.612871e-06,8.34465e-06
Sdr9c7,9.415671e-07,2.7157366e-06,-4.9360096e-08,-4.030764e-06,3.580004e-06,8.9779496e-07,-3.1925738e-06,2.6486814e-06,-1.44355e-06,-3.8649887e-06,3.5259873e-06,-5.3085387e-07,-3.028661e-06,-1.3057142e-06
Mitf,4.386902e-05,4.310906e-05,-7.645786e-05,8.991361e-05,8.8602304e-05,-3.5330653e-05,0.00014546514,-3.246963e-05,0.00013518333,5.8710575e-06,1.104176e-05,0.00019238889,6.407499e-05,5.3584576e-05
Ambp,0.0,2.1606684e-07,-1.8626451e-09,1.2479722e-07,2.1606684e-07,-1.8626451e-09,1.2479722e-07,2.1420419e-07,3.427267e-07,1.2479722e-07,2.1420419e-07,3.427267e-07,1.2479722e-07,3.427267e-07
Clca3a1,6.41942e-05,0.00011148304,9.469688e-05,0.0008395314,0.00017759204,0.00015318394,0.0009025112,0.00020468235,0.0009545684,0.0009312928,0.00026613474,0.0010173693,0.0009904504,0.0010463893
Gm10226,7.8231096e-08,-1.1824071e-05,2.9802322e-08,-2.8051436e-06,-1.186505e-05,1.0803342e-07,-2.745539e-06,-1.17868185e-05,-1.4655292e-05,-2.771616e-06,-1.1831522e-05,-1.4621764e-05,-2.708286e-06,-1.4621764e-05
Zfp61,-3.4570694e-06,2.682209e-07,0.0,-1.0818243e-05,-3.0398369e-06,-3.4570694e-06,-1.4275312e-05,2.682209e-07,-1.0192394e-05,-1.090765e-05,-2.95043e-06,-1.3649464e-05,-1.4334917e-05,-1.0251999e-05
Olfr745,-2.8219074e-07,2.563931e-06,2.3022294e-06,-3.7662685e-06,2.419576e-06,1.6475096e-06,-4.1322783e-06,4.406087e-06,-1.123175e-06,-9.52743e-07,4.226342e-06,-1.2544915e-06,-1.4416873e-06,1.3085082e-06
Zbtb21,-5.4955482e-05,-5.891919e-05,-0.0001425147,-0.00064343214,-0.000113487244,-0.00019162893,-0.0006941259,-0.00020617247,-0.00068354607,-0.00079363585,-0.00026106834,-0.0007403493,-0.0008429289,-0.0008428097
Zfp110,-1.874566e-05,-2.6524067e-05,-5.9962273e-05,0.0014493465,-5.275011e-05,-8.481741e-05,0.0014515519,-8.416176e-05,0.001437068,0.0013847053,-0.000115573406,0.0014255047,0.0013756752,0.0013712645
Myrf,-1.0430813e-07,-4.0233135e-07,2.2947788e-06,-2.0258129e-05,-5.066395e-07,2.1904707e-06,-2.0340085e-05,1.8849969e-06,-2.0742416e-05,-1.7911196e-05,1.7806888e-06,-2.0831823e-05,-1.8000603e-05,-1.8380582e-05
Gsdmc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thsd4,0.00086426735,0.0010944605,0.0005235672,-0.0013526678,0.002037406,0.0015082359,-0.00039494038,0.0015909672,-0.00023305416,-0.00078332424,0.0025510788,0.00079119205,0.00029802322,0.0003604889
Hc,7.197261e-06,1.4841557e-05,-9.521842e-06,-0.0003877133,3.2261014e-05,-2.5480986e-06,-0.00038075447,4.015863e-06,-0.0003710091,-0.00039838254,1.6704202e-05,-0.00035052001,-0.00038978457,-0.0003823787
Sp100,7.1786344e-06,-3.1292439e-07,3.7401915e-06,3.1158328e-05,6.854534e-06,1.0740012e-05,3.8266182e-05,3.4347177e-06,3.0860305e-05,3.5006553e-05,1.0427088e-05,3.7953258e-05,4.201755e-05,3.4749508e-05
Myo1h,-2.8088689e-06,-0.00013111159,-3.4529716e-05,9.7215176e-05,-0.00012952834,-3.0212104e-05,8.993596e-05,-0.00015430152,-3.4555793e-05,5.0209463e-05,-0.00015424192,-4.068762e-05,5.7704747e-05,-6.80238e-05
Pou6f2,0.00048547983,0.0012068152,0.0003053546,-0.008340061,0.0017698407,0.00075662136,-0.007852137,0.0015113354,-0.007118523,-0.008010745,0.0019930005,-0.006561458,-0.00755167,-0.006788075
Pax5,-0.0012068748,0.0009946227,0.00075909495,0.0017679334,-0.00023892522,-0.0004582405,0.00061544776,0.001560688,0.0027374625,0.002636522,0.00046631694,0.0016417503,0.0013785064,0.0034168959
Sftpb,-2.24635e-06,-1.0833144e-05,1.8939376e-05,0.00014947355,-1.4603138e-05,1.6406178e-05,0.0001479499,8.348376e-06,0.00013523176,0.00017102063,4.7162175e-06,0.00013331324,0.00016993284,0.00015671551
Hgf,9.454787e-06,-9.8496675e-05,-3.07858e-05,-6.3914806e-05,-9.0152025e-05,-1.8537045e-05,-5.3036958e-05,-0.0001308769,-0.00016203523,-9.582937e-05,-0.00011736527,-0.00015294924,-8.332729e-05,-0.0001947321
Stfa1,5.6345016e-07,-6.233342e-06,1.296401e-06,8.360483e-06,-2.456829e-06,5.2014366e-06,5.9120357e-06,-1.7108396e-06,-1.125969e-06,6.340444e-06,2.1457672e-06,2.5453046e-06,1.0167249e-05,2.9746443e-06
Pcdh17,0.00014179945,-0.0011306405,0.0001462102,-0.010665119,-0.000995934,0.00036114454,-0.010425866,-0.0009163022,-0.011808932,-0.010543168,-0.00075930357,-0.0116016865,-0.010247827,-0.011629522
Fcna,-2.514571e-08,-1.322478e-07,-5.401671e-08,-3.5902485e-06,-1.5832484e-07,-7.916242e-08,-3.6135316e-06,-1.8905848e-07,-3.756024e-06,-3.6312267e-06,-2.1420419e-07,-3.7858263e-06,-3.6563724e-06,-3.7988648e-06
Sntn,-2.4509616e-05,7.0848037e-06,-5.8558304e-05,-1.5255064e-05,-1.7482322e-05,-8.5134525e-05,-4.011602e-05,-5.1476993e-05,-7.988419e-06,-7.3413365e-05,-7.810979e-05,-3.292202e-05,-9.7201904e-05,-6.615138e-05
Zbtb43,-0.00010162592,-9.268522e-05,-4.6044588e-05,0.00069123507,-0.00021710992,-0.00015941262,0.00058558583,-0.00014925003,0.00059857965,0.00064244866,-0.00027370453,0.00047436357,0.0005187988,0.00054067373
Myo3a,1.6763806e-06,8.717179e-06,-1.3075769e-05,1.5482306e-05,5.6177378e-06,-1.35451555e-05,2.1517277e-05,-3.799796e-06,2.3417175e-05,2.4735928e-06,-4.7311187e-06,2.3372471e-05,6.5490603e-06,1.0930002e-05
Dsc3,-2.3411587e-05,-7.070415e-05,-1.0177493e-05,2.59839e-05,-8.715782e-05,-3.1065196e-05,1.3411045e-06,-8.201972e-05,-4.4466928e-05,1.5440397e-05,-9.641424e-05,-6.4393505e-05,-6.0955063e-06,-5.5238605e-05
Zfp941,4.61936e-05,-8.940697e-07,-4.5120716e-05,-8.177757e-05,5.1021576e-05,2.9802322e-07,-3.3140182e-05,-4.607439e-05,-8.100271e-05,-0.00012373924,7.0929527e-06,-2.7954578e-05,-7.44462e-05,-0.00012403727
Zfp668,-0.000114262104,-0.0002322793,7.033348e-05,-0.0002886057,-0.00034469366,-4.8220158e-05,-0.0004005432,-0.0001578927,-0.00051647425,-0.00023519993,-0.00027239323,-0.0006325245,-0.00035238266,-0.0004621148
Abca8b,0.000115156174,0.00011777878,-8.869171e-05,-0.0009855032,0.00023394823,1.8715858e-05,-0.00086283684,3.159046e-05,-0.0008659363,-0.0010733604,0.00013744831,-0.0007390976,-0.00095683336,-0.0009496808
Tcf7l2,-0.0011583567,-0.00043570995,-0.000110298395,0.00071421266,-0.0016322434,-0.0012618601,-0.00046148896,-0.00054875016,0.00028845668,0.00061509013,-0.0017144382,-0.0008915961,-0.00058838725,0.00022658706
Klrb1c,-1.8253922e-07,1.2405217e-06,1.3411045e-06,8.713454e-06,1.0430813e-06,1.2088567e-06,8.545816e-06,2.577901e-06,9.9428e-06,1.0419637e-05,2.4344772e-06,9.762123e-06,1.0261312e-05,1.1626631e-05
9130019O22Rik,0.0,-1.527369e-06,-1.4901161e-08,2.6077032e-07,-1.527369e-06,-1.4901161e-08,2.6077032e-07,-1.5348196e-06,-1.3038516e-06,2.5331974e-07,-1.5348196e-06,-1.3038516e-06,2.5331974e-07,-1.3113022e-06
Tox,-0.00019216537,0.003809452,0.0023908615,0.013606548,0.0037767887,0.0020515919,0.013551474,0.006031513,0.017443895,0.016162634,0.0059816837,0.017509937,0.015912771,0.01982236
Foxr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thrb,-0.000101298094,-0.00017479062,-0.00012268126,-5.90086e-06,-0.00027111173,-0.0002258122,-0.00011214614,-0.000301525,-0.00017555058,-0.00012734532,-0.00039960444,-0.00027897954,-0.00023649633,-0.0003017485
Zik1,-2.05338e-05,-9.196997e-05,2.6911497e-05,-0.0003823638,-0.00010764599,-4.827976e-06,-0.00040361285,-6.92904e-05,-0.0004748106,-0.0003671646,-9.858608e-05,-0.0004916191,-0.00039961934,-0.00046226382
Cdh20,-0.0009774566,1.0073185e-05,-0.00030833483,-0.016295135,-0.0010017157,-0.0013122559,-0.017200291,-0.00032687187,-0.016312957,-0.016517162,-0.0013206005,-0.017257214,-0.017481446,-0.016569316
Plcl1,0.0009950399,0.0024790764,0.0019091368,0.0046209097,0.0034973621,0.002925992,0.0056102276,0.004427552,0.0071111917,0.0065066814,0.005356908,0.008097768,0.0074909925,0.009006023
Zfp277,6.67572e-05,0.00014272332,-0.0001014173,-0.00022101402,0.00020715594,-3.46303e-05,-0.00015687943,4.068017e-05,-8.481741e-05,-0.0003131628,0.00010457635,-2.5182962e-05,-0.00024861097,-0.00017786026
Enpp2,-9.0792775e-05,-0.0001199767,-8.069724e-05,-0.0005053431,-0.00022789836,-0.00018906593,-0.0005970374,-0.00022124499,-0.00063271075,-0.00059752166,-0.0003453791,-0.0007391125,-0.0006965101,-0.00073414296
