cell_type,total_genes,deg_genes,same_genes,same_deg_genes,same_p_value,opposite_genes,opposite_deg_genes,opposite_p_value
Limb_mesenchyme_trajectory,3902,327,1958,143,0.9937340948482702,1944,184,0.008635933655912125
Chondrocyte_trajectory,3902,95,1704,54,0.0061250250292346825,2198,41,0.9966672258702806
Intermediate_mesoderm_trajectory,3902,232,1984,130,0.0589577152166871,1918,102,0.9553826061888575
Motor_neuron_trajectory,3902,174,2326,124,0.0007314659369338755,1576,50,0.9995921613914297
Spinal_cord_dorsal_trajectory,3902,79,1990,62,3.447199347905539e-07,1912,17,0.9999999078699264
Osteoblast_trajectory,3902,110,2470,82,0.007491291310523611,1432,28,0.9959241612126982
