,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Fbln2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfdp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ly6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col3a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nrcam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ros1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spock1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ssrp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slamf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcr6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col1a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdkn1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col5a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cebpb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gli1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irf7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gpx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncor2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nedd9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col6a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khsrp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rela,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lox,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col1a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hmox1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col4a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col6a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mylk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il7r,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smarcc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tacr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slit1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gp1ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcf7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plcb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc4a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lama3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdh11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stab1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnmb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ccl5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ddit3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smad7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gna14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dcn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mep1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Msx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myl9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calcrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hmgb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tgif1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il18rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ptpre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcl15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dab2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cebpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mxd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfyb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcf19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prrx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itgb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dpyd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
