cell_type,total_genes,deg_genes,same_genes,same_deg_genes,same_p_value,opposite_genes,opposite_deg_genes,opposite_p_value
Limb_mesenchyme_trajectory,3902,327,2211,203,0.02197449051821245,1691,124,0.9835183966634332
Chondrocyte_trajectory,3902,95,1808,53,0.03880688511996706,2094,42,0.975739078612452
Intermediate_mesoderm_trajectory,3902,232,2065,137,0.031062129465436433,1837,95,0.9773629042039651
Motor_neuron_trajectory,3902,174,2285,128,1.8279831273646705e-05,1617,46,0.9999912885938201
Spinal_cord_dorsal_trajectory,3902,79,1993,59,1.2543656763119702e-05,1909,20,0.9999958541436712
Osteoblast_trajectory,3902,110,2618,88,0.0017389482516501646,1284,22,0.9991789580844403
