cell_type,total_genes,deg_genes,same_genes,same_deg_genes,same_p_value,opposite_genes,opposite_deg_genes,opposite_p_value
Limb_mesenchyme_trajectory,3902,327,1044,91,0.34465172121990045,2858,236,0.7017000324386866
Chondrocyte_trajectory,3902,95,900,31,0.019817497091344463,3002,64,0.9888820420510722
Intermediate_mesoderm_trajectory,3902,232,1091,76,0.05591384651943331,2811,156,0.95876455421868
Motor_neuron_trajectory,3902,174,1397,92,1.8711225680364208e-06,2505,82,0.9999991293076954
Spinal_cord_dorsal_trajectory,3902,79,1018,35,0.0003061904474511391,2884,44,0.9998746869610771
Osteoblast_trajectory,3902,110,1723,65,0.0009987053704421061,2179,45,0.9994902311426707
