,0
Cd38,0.23981665
Zbtb12,0.28529963
Klf2,0.070149586
Myrfl,0.09143578
Mag,0.032864243
Crocc2,0.084603764
Tmem132b,0.14196391
Zic2,0.25082824
Irf2,0.7316663
Car6,0.024428653
Gm10130,0.285412
Zfp936,0.045288548
Col8a1,0.5058754
Ccdc162,0.107538424
Relb,0.21573073
Smoc1,0.5088589
Pax3,0.39552486
Ube2o,0.6715195
Pip5k1b,0.27206054
Mptx1,0.0010295617
Zfp335,0.42107472
Keg1,0.0074700173
Panx3,0.13730948
Lcor,0.99592453
A430033K04Rik,0.7947883
Zfp11,0.41056922
Ebf4,0.5310152
Gm21994,0.025923382
Cntnap5a,0.117106915
Cxcl13,0.06624552
Crygd,0.0054572662
Xcr1,0.027446687
Rgs22,0.34644172
Hsf1,0.64823073
Zfp574,0.416566
Ptprb,0.10466055
Jhy,0.03317397
A2m,0.15595612
Dgkg,0.037493166
Ckm,0.07172044
Zfp36l2,0.40142336
Fev,0.02586477
Gabrg3,0.1830223
Prg2,0.01149947
Nkx6-1,0.14804272
Cadm2,0.6152826
Olfr1437,0.015381775
Zfp219,0.42675996
Nts,0.05480408
S100a3,0.03661255
Trim9,0.13270503
Tnnc1,0.15177156
Msc,0.063042015
Zfp395,0.6904356
Sdk1,0.74577034
Nccrp1,0.008996069
Cx3cr1,0.19408476
Snai1,0.29550147
Ubtf,0.65825
Etv5,0.3261126
E2f1,0.699686
Irf3,0.48135316
Zfp592,0.8925749
Kcnq3,0.24897343
Eya4,0.9010015
Klk7,0.016123764
Alb,0.28499886
Sox17,0.064157546
Cldn6,0.099731445
Tchh,0.03835899
Foxb1,0.042625636
Myo16,0.117373765
Cxcr2,0.009901404
Pdzrn3,0.8862507
Ly6g,0.0046755318
Usp53,0.6236417
Zfp296,0.019555055
Hey2,0.16916062
Kcnh1,0.20908095
Zfp683,0.0051526455
Rimbp2,0.08510649
2210017I01Rik,0.0020580583
Alx1,0.3111245
Ncf2,0.052805096
Nxph1,0.338405
Gm12606,0.030412579
Zfp113,0.7083891
Il15,0.20248224
Rab27b,0.4584297
Ifng,0.0010287265
Hoxa9,0.6728387
Hpse2,0.462069
Tubb1,0.00958335
Elf5,0.052142
Serpina1a,0.0839252
Cd300lf,0.013766897
Tbx4,0.6505645
Ereg,0.031436425
Ovol2,0.09773122
Etv1,0.7137108
Trpm2,0.06299704
Ins1,0.0
Krt17,0.042102106
Mier1,0.9950888
Lyar,0.5213141
Ccser1,0.74602616
Pou5f2,0.24117158
D930020B18Rik,0.21353143
Slfn1,0.003609887
Tbr1,0.10004787
Zfp583,0.51636475
Susd1,0.20376484
Zbtb4,0.46051463
Dlgap2,0.14485855
Iqca,0.030918417
Stat5a,0.19423757
Nfe2l3,0.2551964
Atp6v0d2,0.052298646
Sctr,0.08017547
Ptprz1,0.20923036
Myo1g,0.04461427
H2-Eb1,0.032784186
Gm43020,0.02117906
D5Ertd615e,0.06973569
Zbtb48,0.24956098
Qrfpr,0.028891802
4930544I03Rik,0.14070168
Negr1,0.5328391
Zfp663,0.09334323
Ptprn2,0.13833122
Slc46a2,0.02640616
Gfi1b,0.035722163
Zfp641,0.09432564
Sntb1,0.24069054
Fam65b,0.19997674
Epb41,0.7621931
Krt16,0.005629123
Otof,0.09412237
Plin1,0.022352045
Clec12a,0.013449865
Chn2,0.3230776
Prg3,0.004757904
Tpm2,0.34679428
Ifi207,0.0129679525
Bmp5,0.623424
Nfia,1.0760937
Tmeff2,0.28976694
Mef2a,1.0714895
Duxbl1,0.06564489
Veph1,0.23149323
Hlx,0.1639751
Sox13,0.38839144
Junb,0.06243813
Aox3,0.054389924
Tulp3,0.7875783
Zfp14,0.52011293
Pard3b,0.7696575
Gm31784,0.015576776
Ptch1,0.67987823
Zfp30,0.41704166
Hopx,0.10975533
Msr1,0.049797162
Usp32,0.80801606
Nfil3,0.35718125
Lcn3,0.0076996554
Zfp707,0.20365255
Hspa1b,0.045293078
Myb,0.3557326
Fbn2,1.1476618
Zfp977,0.28246734
Kcnq5,0.5554701
Crtam,0.023653308
Rbpjl,0.102535024
Cntnap5c,0.09189467
Dcpp3,0.0049029677
Zfp979,0.16294537
RP23-384F19.1,0.029119808
Gm5141,0.79628944
Nkx3-2,0.05844046
Pbx1,0.88012314
Grxcr1,0.039521646
2310057N15Rik,0.0
Cldn5,0.07204549
Gp6,0.017320056
Ccdc175,0.056024257
Slc39a8,0.17704396
Fam198b,0.14404552
Themis,0.037643053
Cntn2,0.21822223
Lce1c,0.0056799017
Gfra1,0.35090324
Gm2007,0.0010285595
Zbtb45,0.286636
Onecut2,0.2162233
Rhag,0.063120745
Selenop,0.40899035
Cdh16,0.042246036
Zfp940,0.3547558
Limch1,0.66676134
Sele,0.010274588
Obox8,0.0
Mmp8,0.0109426025
Tspear,0.10324243
Figla,0.032575976
Zfp787,0.48278242
Zfp616,0.02263065
Foxj3,1.0494167
Ccl3,0.0016115741
Vwc2,0.31155956
9130023H24Rik,0.17327929
Crygc,0.009553259
Lama1,0.2246163
Lrrfip2,0.984602
Adarb2,0.4204965
Nfya,0.7296155
Tax1bp1,0.97907156
Cldn11,0.27810833
Etv3,0.4861751
Ccdc180,0.054336824
Fcrlb,0.021881962
Trf,0.21545246
Zfp988,0.01603833
Gm30978,0.0051517794
BC049730,0.0
Zfp41,0.35547113
Rerg,0.4427139
Ppm1h,0.39519057
Hey1,0.16106044
Rap1b,0.79109746
Srgn,0.049477283
Gm45455,0.3157955
1700027J07Rik,0.13496667
Usf3,0.88076675
Vav3,0.42105502
Slc12a1,0.022170871
Prkg1,0.60810584
Nr6a1,0.5349543
Gm13371,0.0010295546
Apob,0.15156472
Rhoh,0.047756962
Hsf2,1.0851731
Pbx2,0.36785397
Shisa9,0.11639056
Has2,0.5646596
Prdm4,0.6779253
Vmn1r220,0.0
Sall2,0.3845388
Adamts16,0.076042846
Tmprss11f,0.0279138
Neurod2,0.06694299
Ikzf2,0.4766956
Phb,0.479871
Hoxa2,0.22782142
Ksr2,0.16293532
Olfr32,0.0036713418
Camta1,0.73731196
Fabp4,0.0142467115
Mnx1,0.016866464
Slc34a1,0.0074549727
Foxl1,0.12501605
Ndst4,0.3117948
Cd93,0.045846954
Gm20754,0.2672787
Fam25c,0.005792385
Gbp8,0.099770956
Zbtb7c,0.31143963
Adamts5,0.6336079
Hesx1,0.013556362
Zfp750,0.06774538
Tspan8,0.09020731
Asic2,0.12342651
Nefl,0.17477174
Gm4724,0.029306851
Zfp53,0.5867966
E2f2,0.28607866
Nr4a2,0.613077
Zxdc,0.5688644
Bpifb9a,0.0063232617
Gm10542,0.0013592184
Zfp248,0.87243354
Vmn2r65,0.02377749
Hoxa6,0.3426598
Ccr7,0.055449646
Vcan,1.0037982
Zfp612,0.47866455
Adgrb3,0.50925964
Tshz3,0.46471524
Nrros,0.0788922
Gabrb3,0.3368679
Igfbp1,0.02027007
Tcfl5,0.11869014
Purg,0.89301765
Hmha1,0.12509926
Slc22a23,0.4038731
Zfp426,0.8142366
Ror1,0.81342745
Bpifc,0.03843145
Slc44a5,0.34721985
Rax,0.0207619
Cd7,0.021045445
Tenm2,0.7104432
Zfp287,0.64528906
Neurod1,0.07819633
Slco2b1,0.06752759
Nfatc4,0.7937132
Myom1,0.35765505
Mlxipl,0.22475027
Gatad2b,1.0214729
