,Gli2_Gli1_Gli3,Gli1_Gli3,Gli2_Gli3,Gli2_Gli1,Gli3,Gli1,Gli2
Col11a1,1.4263072875424885,1.0165387167563988,1.5739070938265118,0.3250723537120377,1.1329498975727326,0.07903750934330749,0.4349563283514503
Fmod,0.12606424976748673,0.10248472143808132,0.10454184061749437,0.046254234263489284,0.08058336777902038,0.021677080642973585,0.024329680788710697
Slc7a1,0.4178795568328192,0.2800259821135938,0.17525106203400204,0.3514317407239543,0.045366959013641454,0.22236103278219202,0.1202103373681468
Pitx2,1.1110464460431202,1.422720059066374,0.16969189150391034,1.0292060845488822,0.11787824378880407,1.3474773383510366,0.2951061356288197
Itga2,1.3635918478730553,1.6094098032915605,0.48473626185842916,0.612713238561589,0.7230028200461831,0.8742108478342937,0.2482377162236086
Tgfb2,1.1729310412439882,1.232114042400497,0.194477302052955,1.325081620335381,0.12546651115933544,1.392338242091567,0.07737281555666192
Mybl2,0.20282126972101097,0.1072017659250141,0.08002160723397385,0.20261320980012612,0.012164837587129529,0.10897031597787092,0.09007805627236024
Col4a2,0.9006636407707661,1.0933152002649191,1.2045989941747344,0.47385730879061877,1.3801506758546327,0.2730362073846187,0.18634299186674624
C3ar1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgms2,0.9417584280668247,0.7562341289640216,0.07073264738338975,1.040885221032756,0.09969224120113633,0.8671396401513657,0.15844761916434807
Timp3,0.2914954720745569,0.33515083091447345,0.24227557573420927,0.4705703486668802,0.18538012422630398,0.5277343006080211,0.07008002042995486
Lgals3,0.15299473317230008,0.13065405336773844,0.035947822657843104,0.12288717548232042,0.01947425390571968,0.10236569902911888,0.015325654466564621
Nrp1,0.24873449106057746,0.04976816723243926,0.7571168534963252,1.186354040093564,0.9579575005410922,0.970239986226542,0.2165127950318316
Comp,1.7551894122981817,1.9641912374557935,0.2539788529322656,1.8265265133459565,0.05563242091461728,2.039891853975117,0.20743130378101526
Xbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgcd,5.609079815160621,5.251833576410796,5.108490575590351,0.8462375583058296,4.73218624087163,0.5069761586928998,0.3588813848524472
Cd38,0.6802953257802602,0.6481220352439413,0.445874932890854,0.24427128535664694,0.4176501882667697,0.21562535674429056,0.024223559546049322
