,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Fam19a1,7.70092e-05,-0.006706834,0.014955044,-0.006528616,0.015210867,0.0082992315,0.008653998
Lrp1b,1.5377998e-05,-0.009314656,0.021023273,-0.009322882,0.021006942,0.011610389,0.01148653
Gramd1b,0.0023792088,0.0039206445,0.0026338398,0.006404817,0.005097866,0.0067133307,0.009293407
Pde1c,0.0030308366,0.010361671,0.013071716,0.013392687,0.016210616,0.02338177,0.02651006
Ttc29,-3.1981617e-05,-0.000101432204,0.00019692257,-0.00013889372,0.00016660988,8.85278e-05,5.244091e-05
A330033J07Rik,3.7178397e-06,0.00051221997,-0.0006198883,0.00051285326,-0.0006167367,-0.00013308972,-0.00013131648
Gm14409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gbx1,-1.6078353e-05,-2.6084483e-05,-4.36306e-05,-4.144758e-05,-6.3464046e-05,-6.9569796e-05,-8.7335706e-05
Slc22a27,3.7141144e-06,1.9330531e-05,-7.458031e-06,2.251938e-05,-2.6337802e-06,1.2435019e-05,1.656264e-05
Slc7a1,0.00036996603,0.0006843507,0.00013962388,0.0010815859,0.00053936243,0.00086182356,0.0012860894
Gm44511,-2.4002045e-05,-3.5583973e-05,4.7765672e-05,-5.8155507e-05,2.207607e-05,1.2654811e-05,-1.2047589e-05
Ank1,0.0003299713,0.0001347959,0.00026862323,0.00046509504,0.0006057322,0.00042571127,0.0007650852
Nupr1,-0.00013132393,-0.00023019314,0.00032956898,-0.00035260618,0.0002040565,9.427965e-05,-2.7045608e-05
Smyd1,3.6656857e-06,-5.8203936e-05,7.241964e-05,-5.6952238e-05,7.8856945e-05,2.2828579e-05,2.5957823e-05
Pitx2,-0.00059986115,0.0027390122,0.00023961067,0.0020920634,-0.00034493208,0.0028919578,0.00225842
Cpa1,2.6728958e-06,-1.1982396e-05,-1.527369e-06,-9.741634e-06,1.2610108e-06,-1.2747943e-05,-1.1080876e-05
Prkg2,0.00017949939,0.002298683,-0.0020526052,0.0024928749,-0.0018942952,0.00020128489,0.0003646016
Itga2,-0.0004937649,0.0017388761,0.0014381111,0.0012187362,0.00096417964,0.0032012463,0.0027122945
Sohlh2,1.1334196e-06,3.0063093e-06,1.0542572e-06,4.068017e-06,2.272427e-06,3.952533e-06,5.0719827e-06
Zfp647,-0.00019022822,0.0008817315,-0.001219213,0.0006657243,-0.001416713,-0.00039109588,-0.00061035156
Hoxc9,-0.0010102987,-0.0010358691,-0.00023460388,-0.0020512938,-0.001278162,-0.001319766,-0.0023564696
Olfr869,3.7811697e-07,-6.509945e-06,-6.8414956e-06,-6.8098307e-06,-6.943941e-06,-1.2803823e-05,-1.350604e-05
Hsf5,-0.00016373396,0.0005514324,6.467104e-05,0.0003953278,-9.196997e-05,0.0006337166,0.0004891753
Zfp57,0.00031352043,0.0009880662,-0.00017666817,0.0012809038,0.00012421608,0.0008211136,0.001102984
Ly6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ntrk2,-0.0054730177,-0.0017541647,-0.0010758638,-0.0073890686,-0.0064105988,-0.00304389,-0.008504391
S100a14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnj1,-3.3043325e-06,-3.1664968e-08,-1.0821968e-06,-3.3583492e-06,-4.7944486e-06,-1.206994e-06,-4.8838556e-06
Pkhd1,-6.839633e-06,0.0008351058,0.00022470951,0.00082084537,0.00021120906,0.0010680407,0.0010480061
Ednrb,-0.0010192245,-0.00029220432,-0.00011576712,-0.0013097525,-0.0011427999,-0.00045854598,-0.0014615506
Cela3b,-3.2000244e-06,-4.660338e-06,-1.013279e-06,-7.901341e-06,-4.3027103e-06,-5.6810677e-06,-8.970499e-06
Dnah8,-4.5120716e-05,-0.00082072616,0.00026246905,-0.0008793175,0.00021487474,-0.0005905628,-0.00064873695
Onecut3,-1.3746321e-06,-1.6335398e-06,-2.719462e-07,-3.4775585e-06,-1.7415732e-06,-2.456829e-06,-4.405156e-06
Slc7a13,3.056135e-06,1.18431635e-05,2.3418572e-05,1.470698e-05,2.6598107e-05,3.5327394e-05,3.759889e-05
Sbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otx2,-0.0003323853,-0.00019325316,0.00026727468,-0.00052164495,-6.400049e-05,6.697327e-05,-0.000254035
Lhx5,2.4151057e-05,7.238239e-05,-4.1790307e-05,9.851903e-05,-1.8190593e-05,2.7269125e-05,5.286932e-05
Hoxd12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc24a5,6.2704086e-05,0.00021019578,0.0011952519,0.00023439527,0.0012619495,0.001381427,0.0014024675
Gm14295,-2.9951334e-06,-6.3329935e-06,5.066395e-07,-8.970499e-06,-2.7269125e-06,-7.3611736e-06,-9.864569e-06
Runx3,5.7801604e-05,0.0013006777,-0.00059467554,0.0013600886,-0.0005570054,0.00069238245,0.0007365346
Gm2824,6.6110864e-05,-9.6092e-05,0.00021683238,-3.235042e-05,0.00028315745,0.00010897592,0.00017198734
Lmo3,0.00083979964,0.0053439736,0.0027556121,0.0062228143,0.0036126673,0.008106291,0.009005994
Pou2f3,-5.818531e-05,-0.00011179596,2.2433698e-05,-0.00016832724,-3.491342e-05,-8.304417e-05,-0.0001386255
Tmem232,0.00010005385,0.00023023784,-0.00013106316,0.00033590943,-3.1270087e-05,7.4625015e-05,0.00017987192
Emb,3.0010939e-05,0.00035180151,-0.0012439787,0.00039595366,-0.0012306273,-0.0009673089,-0.00093483925
Sned1,-0.0006287098,0.0074071884,0.013929367,0.0067853928,0.013373852,0.021188378,0.02064228
Esr2,-0.00013168156,0.00028167665,-0.0006803274,0.00014974177,-0.0008022785,-0.00040903687,-0.0005286038
Tgfb2,-0.0007677078,0.013815045,-0.0012449026,0.013147712,-0.0019296408,0.01222527,0.011638045
Egr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nefm,6.482005e-06,-4.7653913e-05,-3.8340688e-05,-4.232675e-05,-3.144145e-05,-8.40649e-05,-7.8976154e-05
Sox21,-1.0207295e-06,8.121133e-06,-4.0866435e-06,7.715076e-06,-4.8577785e-06,3.3639371e-06,3.2521784e-06
Hoxc13,0.00011128932,-7.95275e-05,-5.750358e-05,1.9058585e-05,4.3079257e-05,-0.00015122443,-6.5118074e-05
Zfp735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp809,0.0002874732,-0.00043013692,0.00010454655,-0.00015062094,0.00037294626,-0.00035095215,-8.8751316e-05
Grm1,1.3653189e-06,-1.6633421e-06,1.784414e-06,-2.7939677e-07,3.4980476e-06,1.3038516e-07,1.5199184e-06
Hoxc12,1.6652048e-06,2.2985041e-06,-1.7881393e-07,4.0605664e-06,1.4342368e-06,2.0489097e-06,3.6768615e-06
Nfic,0.000110685825,0.00345546,0.003083527,0.0035012364,0.0032447577,0.0065788627,0.0066758394
Astn2,0.005160451,-0.004988909,0.0028287172,0.00026118755,0.008256674,-0.0020513535,0.0034332275
Mx1,1.5217811e-06,-1.128763e-06,1.0244548e-06,5.606562e-07,2.4810433e-06,-2.644956e-07,1.4249235e-06
Hoxd11,6.496906e-05,-7.6800585e-05,-0.0007406473,-5.90086e-06,-0.0006889999,-0.00084233284,-0.000780046
Pnliprp1,-2.0638108e-06,-8.5681677e-07,3.080815e-06,-2.7958304e-06,6.891787e-07,2.194196e-06,-3.9301813e-07
Igf1,-0.0047775507,0.0029040575,0.00680089,-0.002008319,0.0020900965,0.009766221,0.004882455
Ppl,0.00015291199,0.0003199242,3.9171427e-05,0.00048213825,0.00018993765,0.00036440417,0.00052419305
Adpgk,-0.00033640862,0.0017094612,-0.00033158064,0.001362443,-0.0006569028,0.0013616085,0.0010241866
Nfib,-0.008471489,-0.0057446957,0.035964012,-0.014556646,0.027593613,0.02934432,0.020610332
Fcer1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfp969,4.1199382e-07,1.8513529e-06,1.5322585e-06,2.080109e-06,1.9766157e-06,3.4382101e-06,3.7616119e-06
Atp8b1,-0.0001437068,0.0003325194,-0.00013694167,0.00019678473,-0.00028149784,0.00019705296,5.5000186e-05
Esrp1,0.000101715326,0.00017268956,-0.00014154613,0.0002869889,-4.1022897e-05,1.3664365e-05,0.00011514872
Mybl2,-0.00038707256,-0.0004682541,5.2273273e-05,-0.00087064505,-0.0003438592,-0.0004606545,-0.0008715391
Cdsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacrg,-7.2568655e-05,-0.004314691,0.0028840601,-0.0043937266,0.0028063357,-0.0015508533,-0.0016208142
Clca1,-8.046627e-07,-6.221235e-07,7.469207e-07,-9.81614e-07,-1.9930303e-07,1.3038516e-07,-6.221235e-07
Zfp955b,-2.592802e-05,0.00034868717,0.00024023652,0.0003286302,0.00021389127,0.0005803406,0.00055909157
Bbx,0.0006825924,-0.00539124,-0.0002886653,-0.004719436,0.0004643798,-0.005984366,-0.00526762
Pla2g7,-0.000854671,0.00020930171,-0.00077292323,-0.0006108582,-0.0016462803,-0.00056776404,-0.0014036894
Zfp623,-0.00030589104,-8.672476e-06,-2.2828579e-05,-0.00032427907,-0.00032940507,-2.3186207e-05,-0.00033777952
Fam169b,7.4505806e-05,0.0002156198,5.13494e-05,0.0002894029,0.0001264885,0.0002714768,0.00034762174
Zeb1,-0.00059461594,-0.0017881393,0.040154934,-0.0024089813,0.039574623,0.037617683,0.03696394
Dpp10,0.0011969805,-0.00038024783,0.0043442845,0.0007750392,0.0056624115,0.0040956438,0.0053477883
Zfp763,0.0014146566,0.00068092346,-0.000605464,0.002063036,0.000805974,2.5510788e-05,0.0014052391
Col4a2,-0.00094896555,-0.0013904572,0.00702852,-0.0024131536,0.00613451,0.005567789,0.0045866966
Tmem178b,0.0001835525,-1.1347234e-05,0.00024042279,0.00017847121,0.00041855872,0.00020510703,0.00038850307
Mical2,8.498132e-05,-0.00018708408,-1.168251e-05,-0.00010032952,6.93053e-05,-0.00019039214,-0.00011022389
Cubn,0.00015549362,0.00032749772,-0.00026139617,0.0004857555,-0.00010749698,7.4222684e-05,0.00022731721
Stat5b,0.0005646944,0.003232181,0.0053394437,0.003614068,0.0058927536,0.008589804,0.008972347
Gpr141,9.408221e-06,-7.3267147e-06,2.3917295e-05,1.1678785e-06,3.3051707e-05,1.9260682e-05,2.6902184e-05
Foxa2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col9a1,0.0044201016,0.002012968,-0.01159668,0.006297946,-0.0071751475,-0.0096901655,-0.0054011345
BC048546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Padi2,2.2128224e-06,-1.4424324e-05,-3.3304095e-06,-1.27106905e-05,-8.754432e-07,-1.6748905e-05,-1.5035272e-05
Shroom3,0.00038158894,-0.0011381209,-0.00018718839,-0.00071942806,0.00020724535,-0.0012955368,-0.0008852184
6530403H02Rik,-0.00040526688,-0.0006593615,0.0010960996,-0.0010735393,0.0006968677,0.0003862679,-2.1100044e-05
