,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Plg,-6.0349703e-06,-6.109476e-07,-1.7493963e-05,-1.1436641e-05,-6.6384673e-06,-2.347678e-05,-1.7382205e-05,-1.8060207e-05,-1.1995435e-05,-2.8818846e-05,-2.4043024e-05,-1.79708e-05,-3.463775e-05,-2.9340386e-05
Zfp644,0.0005964041,-0.00031483173,0.00029718876,-0.00013554096,0.0002784729,0.000898242,0.00045394897,-1.66893e-05,-0.00045204163,0.00016522408,0.0005803108,0.00013446808,0.0007596016,-0.00014710426
Zfp239,-6.0796738e-05,-0.000109642744,3.4868717e-05,4.5001507e-05,-0.00017085671,-2.7358532e-05,-1.6391277e-05,-7.56979e-05,-6.598234e-05,8.445978e-05,-0.00013792515,-0.00012767315,2.2053719e-05,-2.7060509e-05
Cidea,-1.674518e-05,-4.0438026e-06,2.9560179e-06,-1.123175e-06,-2.0811334e-05,-1.39493495e-05,-1.7559156e-05,-1.128763e-06,-5.317852e-06,1.8365681e-06,-1.8041581e-05,-2.1755695e-05,-1.4651567e-05,-2.4158508e-06
Eya1,0.0002965927,-0.0006734133,-0.0004928112,0.0003733635,-0.00036990643,-0.000223279,0.0006824732,-0.0011581182,-0.00028979778,-0.000121474266,-0.00088119507,2.503395e-05,0.00017237663,-0.00078475475
Adgrg3,2.4743378e-05,1.854077e-05,-3.8847327e-05,-2.5644898e-05,4.322827e-05,-1.437217e-05,-1.206994e-06,-2.0220876e-05,-7.275492e-06,-6.406009e-05,4.0382147e-06,1.7121434e-05,-4.0147454e-05,-4.5888126e-05
Tead4,-4.36455e-05,-3.2663345e-05,1.5035272e-05,3.0204654e-05,-7.5653195e-05,-2.7820468e-05,-1.4588237e-05,-1.7881393e-05,-2.6524067e-06,5.0857663e-05,-5.9723854e-05,-4.656613e-05,1.00284815e-05,1.79559e-05
Wiz,0.00012379885,-2.1398067e-05,-0.000121712685,2.014637e-05,0.00010043383,1.5497208e-06,0.00014311075,-0.00014138222,-9.536743e-07,-0.00010073185,-1.92523e-05,0.00012028217,2.18153e-05,-0.00011962652
Zfp760,5.0604343e-05,-0.000113248825,0.0002799034,0.0002837181,-6.330013e-05,0.0003311634,0.0003311634,0.00016570091,0.00016862154,0.0005669594,0.00021636486,0.00021529198,0.0006170273,0.00045096874
Tbx10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkain3,-0.00053691864,-0.00036644936,0.0006390214,0.0011841655,-0.0008919239,9.661913e-05,0.0006236434,0.00027757883,0.00082319975,0.0017971992,-0.00025182962,0.00026887655,0.0012456775,0.0014398098
Col20a1,-0.00014998019,0.00015437603,9.6693635e-05,6.622076e-05,4.2021275e-06,-5.3741038e-05,-8.395314e-05,0.0002515763,0.0002208054,0.00016567111,0.00010099262,7.070601e-05,1.513958e-05,0.00032045692
